rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
l3s6, 2025-12-01T19:26:35Z, 151, 37, 25, 12, 8, 18, 12, 20, 13, 64, 42
s2om, 2025-12-08T19:10:55Z, 638, 75, 12, 41, 6, 73, 11, 135, 21, 314, 49
mkxc, 2025-12-01T19:34:50Z, 62, 15, 24, 3, 5, 8, 13, 6, 10, 30, 48
f4tf, 2025-12-21T19:03:05Z, 676, 97, 14, 27, 4, 73, 11, 112, 17, 367, 54
th8d, 2025-12-01T20:00:16Z, 2, 0, 0, 0, 0, 0, 0, 1, 50, 1, 50
cv8h, 2025-12-28T19:00:47Z, 347, 49, 14, 14, 4, 28, 8, 46, 13, 210, 61
gune, 2025-12-30T19:02:32Z, 1225, 173, 14, 70, 6, 142, 12, 213, 17, 627, 51
u6jz, 2025-12-27T19:15:42Z, 975, 99, 10, 39, 4, 104, 11, 172, 18, 561, 58
o1yu, 2025-12-30T19:07:21Z, 5916, 676, 11, 200, 3, 569, 10, 1133, 19, 3338, 56
s8mp, 2025-12-30T19:15:53Z, 3046, 214, 7, 95, 3, 222, 7, 393, 13, 2122, 70
s00k, 2025-12-16T19:10:17Z, 310, 19, 6, 8, 3, 20, 6, 47, 15, 216, 70
sqak, 2025-12-30T19:11:18Z, 1339, 470, 35, 133, 10, 188, 14, 178, 13, 370, 28
olmz, 2025-12-01T19:37:41Z, 546, 66, 12, 29, 5, 59, 11, 89, 16, 303, 55
qtek, 2025-12-13T19:07:41Z, 231, 39, 17, 13, 6, 36, 16, 38, 16, 105, 45
pz6t, 2025-12-30T19:13:31Z, 4753, 438, 9, 197, 4, 422, 9, 782, 16, 2914, 61
duvw, 2025-12-30T19:04:06Z, 2496, 251, 10, 110, 4, 198, 8, 496, 20, 1441, 58
pojr, 2025-12-30T19:08:20Z, 4024, 321, 8, 171, 4, 394, 10, 840, 21, 2298, 57
p66p, 2025-12-30T19:06:29Z, 8178, 500, 6, 212, 3, 506, 6, 1168, 14, 5792, 71
c4vv, 2025-12-01T19:07:41Z, 6850, 645, 9, 323, 5, 708, 10, 1387, 20, 3787, 55
rbiy, 2025-12-30T19:14:36Z, 6358, 724, 11, 302, 5, 701, 11, 1365, 21, 3266, 51
k0lc, 2025-12-08T19:05:24Z, 209, 56, 27, 19, 9, 27, 13, 29, 14, 78, 37
uvpm, 2025-12-09T19:17:07Z, 89, 5, 6, 5, 6, 7, 8, 17, 19, 55, 62
klch, 2025-12-30T19:07:42Z, 2076, 259, 12, 127, 6, 229, 11, 367, 18, 1094, 53
lh6q, 2025-12-30T19:05:23Z, 645, 45, 7, 24, 4, 57, 9, 91, 14, 428, 66
erpq, 2025-12-01T19:13:36Z, 988, 155, 16, 60, 6, 108, 11, 155, 16, 510, 52
xg4y, 2025-12-30T19:14:43Z, 680, 71, 10, 26, 4, 61, 9, 126, 19, 396, 58
f1w5, 2025-12-01T19:12:48Z, 70, 12, 17, 8, 11, 9, 13, 8, 11, 33, 47
tx5y, 2025-12-01T19:54:17Z, 333, 30, 9, 17, 5, 37, 11, 72, 22, 177, 53
s6nc, 2025-12-27T19:11:40Z, 1191, 180, 15, 30, 3, 85, 7, 224, 19, 672, 56
n2qt, 2025-12-30T19:11:48Z, 738, 54, 7, 38, 5, 72, 10, 107, 15, 467, 63
uzzh, 2025-12-01T20:11:44Z, 831, 211, 25, 64, 8, 135, 16, 137, 16, 284, 34
oh2h, 2025-12-24T19:08:18Z, 76, 23, 30, 7, 9, 8, 11, 12, 16, 26, 34
t8xa, 2025-12-01T19:58:38Z, 475, 60, 13, 37, 8, 55, 12, 67, 14, 256, 54
wphd, 2025-12-30T19:19:00Z, 561, 38, 7, 24, 4, 37, 7, 112, 20, 350, 62
u8xl, 2025-12-30T19:16:58Z, 1927, 272, 14, 109, 6, 230, 12, 429, 22, 887, 46
bwtk, 2025-12-30T19:03:32Z, 1859, 162, 9, 90, 5, 179, 10, 328, 18, 1100, 59
s3dj, 2025-12-30T19:15:47Z, 15283, 2128, 14, 844, 6, 1587, 10, 2999, 20, 7725, 51
zwpd, 2025-12-30T19:19:17Z, 1492, 211, 14, 74, 5, 176, 12, 321, 22, 710, 48
ph2k, 2025-12-01T19:37:20Z, 285, 60, 21, 29, 10, 47, 16, 44, 15, 105, 37
dkot, 2025-12-30T19:01:25Z, 8874, 804, 9, 367, 4, 814, 9, 1553, 18, 5336, 60
vdrs, 2025-12-01T20:02:59Z, 91, 9, 10, 5, 5, 11, 12, 15, 16, 51, 56
g35l, 2025-12-30T19:01:41Z, 150, 23, 15, 5, 3, 22, 15, 31, 21, 69, 46
hl01, 2025-12-01T19:16:07Z, 45, 5, 11, 8, 18, 9, 20, 8, 18, 15, 33
dbll, 2025-12-30T19:03:15Z, 1176, 118, 10, 63, 5, 111, 9, 261, 22, 623, 53
s0pl, 2025-12-01T19:43:49Z, 218, 23, 11, 13, 6, 27, 12, 51, 23, 104, 48
z614, 2025-12-30T19:18:46Z, 4255, 422, 10, 164, 4, 359, 8, 783, 18, 2527, 59
sqhd, 2025-12-30T19:11:18Z, 838, 132, 16, 53, 6, 106, 13, 153, 18, 394, 47
toy2, 2025-12-30T19:14:48Z, 3757, 460, 12, 160, 4, 342, 9, 644, 17, 2151, 57
t2ml, 2025-12-30T19:09:49Z, 17813, 1432, 8, 742, 4, 1759, 10, 3589, 20, 10291, 58
s8ea, 2025-12-29T19:07:39Z, 1949, 127, 7, 56, 3, 167, 9, 314, 16, 1285, 66
