rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
s2dj, 2025-01-17T19:13:36Z, 3943, 330, 8, 174, 4, 397, 10, 761, 19, 2281, 58
o3ss, 2025-01-17T19:07:22Z, 444, 42, 9, 19, 4, 31, 7, 66, 15, 286, 64
ujq1, 2025-01-16T19:22:20Z, 152, 62, 41, 12, 8, 20, 13, 28, 18, 30, 20
s9de, 2025-01-17T19:19:36Z, 1038, 156, 15, 41, 4, 128, 12, 221, 21, 492, 47
j7qe, 2025-01-16T19:04:25Z, 32, 8, 25, 4, 13, 1, 3, 4, 13, 15, 47
qjga, 2025-01-17T19:08:18Z, 1079, 62, 6, 29, 3, 102, 9, 209, 19, 677, 63
pw9e, 2025-01-17T19:07:01Z, 433, 31, 7, 7, 2, 35, 8, 73, 17, 287, 66
kh1q, 2025-01-04T19:06:05Z, 5, 1, 20, 0, 0, 0, 0, 0, 0, 4, 80
wphd, 2025-01-16T19:16:49Z, 35, 0, 0, 1, 3, 2, 6, 6, 17, 26, 74
xw7b, 2025-01-01T20:15:04Z, 7, 0, 0, 0, 0, 1, 14, 1, 14, 5, 71
l88b, 2025-01-17T19:07:14Z, 2021, 229, 11, 129, 6, 171, 8, 353, 17, 1139, 56
y5ch, 2025-01-17T19:23:25Z, 3266, 345, 11, 183, 6, 340, 10, 619, 19, 1779, 54
t8dz, 2025-01-17T19:23:08Z, 1324, 153, 12, 68, 5, 139, 11, 273, 21, 691, 52
s7hi, 2025-01-17T19:19:27Z, 1455, 126, 9, 67, 5, 143, 10, 304, 21, 815, 56
izvp, 2025-01-12T19:04:47Z, 159, 62, 39, 11, 7, 18, 11, 14, 9, 54, 34
iyrm, 2025-01-17T19:05:21Z, 205, 59, 29, 15, 7, 26, 13, 30, 15, 75, 37
u6fs, 2025-01-17T19:25:35Z, 592, 58, 10, 20, 3, 54, 9, 96, 16, 364, 61
bm7c, 2025-01-14T19:00:22Z, 5, 2, 40, 2, 40, 0, 0, 1, 20, 0, 0
s3kp, 2025-01-17T19:17:54Z, 6318, 653, 10, 288, 5, 646, 10, 1209, 19, 3522, 56
s8lk, 2025-01-17T19:14:33Z, 7291, 2017, 28, 581, 8, 996, 14, 1135, 16, 2562, 35
u6jz, 2025-01-17T19:25:21Z, 773, 77, 10, 33, 4, 88, 11, 140, 18, 435, 56
s3et, 2025-01-17T19:11:59Z, 1625, 239, 15, 97, 6, 189, 12, 285, 18, 815, 50
u4nd, 2025-01-17T19:25:01Z, 607, 53, 9, 31, 5, 79, 13, 133, 22, 311, 51
l21b, 2025-01-04T19:08:41Z, 309, 95, 31, 21, 7, 51, 17, 33, 11, 109, 35
z30a, 2025-01-17T19:24:24Z, 57, 7, 12, 4, 7, 4, 7, 13, 23, 29, 51
ptbp, 2025-01-17T19:14:06Z, 365, 33, 9, 11, 3, 24, 7, 68, 19, 229, 63
duvw, 2025-01-17T19:03:13Z, 1920, 192, 10, 83, 4, 159, 8, 408, 21, 1078, 56
cqb1, 2025-01-13T19:02:42Z, 9, 1, 11, 3, 33, 0, 0, 0, 0, 5, 56
cqe6, 2025-01-17T19:02:12Z, 141, 38, 27, 16, 11, 15, 11, 12, 9, 60, 43
k5du, 2025-01-17T19:06:29Z, 946, 145, 15, 69, 7, 110, 12, 177, 19, 445, 47
y925, 2025-01-17T19:24:38Z, 2410, 164, 7, 94, 4, 246, 10, 439, 18, 1467, 61
c1i0, 2025-01-01T19:04:15Z, 15, 1, 7, 0, 0, 1, 7, 0, 0, 13, 87
rbiy, 2025-01-17T19:14:16Z, 5134, 546, 11, 248, 5, 560, 11, 1138, 22, 2642, 51
acn9, 2025-01-17T19:00:48Z, 471, 44, 9, 27, 6, 44, 9, 80, 17, 276, 59
lh6q, 2025-01-16T19:09:40Z, 466, 35, 8, 17, 4, 45, 10, 71, 15, 298, 64
jc93, 2025-01-01T19:16:45Z, 17, 1, 6, 3, 18, 5, 29, 4, 24, 4, 24
e2fm, 2025-01-01T19:08:27Z, 321, 25, 8, 19, 6, 27, 8, 61, 19, 189, 59
pojr, 2025-01-17T19:09:58Z, 3741, 299, 8, 162, 4, 371, 10, 795, 21, 2114, 57
foia, 2025-01-17T19:03:26Z, 1462, 87, 6, 65, 4, 141, 10, 301, 21, 868, 59
yo5g, 2025-01-17T19:26:36Z, 4101, 239, 6, 116, 3, 302, 7, 753, 18, 2691, 66
xmxx, None, 0, TypeError('cannot unpack non-iterable NoneType object')
m3hk, 2025-01-14T19:05:40Z, 3, 0, 0, 0, 0, 1, 33, 1, 33, 1, 33
iw9k, 2025-01-17T19:06:47Z, 1256, 278, 22, 90, 7, 206, 16, 264, 21, 418, 33
s2om, 2025-01-10T19:11:14Z, 574, 62, 11, 38, 7, 66, 12, 126, 22, 282, 49
tiz6, 2025-01-17T19:17:16Z, 653, 66, 10, 30, 5, 68, 10, 111, 17, 378, 58
w227, 2025-01-17T19:22:02Z, 2700, 438, 16, 196, 7, 286, 11, 487, 18, 1293, 48
ndec, 2025-01-15T19:07:55Z, 1117, 156, 14, 59, 5, 137, 12, 200, 18, 565, 51
oy5p, 2025-01-17T19:09:04Z, 670, 76, 11, 33, 5, 72, 11, 134, 20, 355, 53
f7ht, 2025-01-17T19:02:49Z, 4466, 639, 14, 258, 6, 578, 13, 962, 22, 2029, 45
p7au, 2025-01-14T19:10:31Z, 490, 65, 13, 20, 4, 45, 9, 83, 17, 277, 57
