rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
uj76, 2025-08-27T19:16:55Z, 598, 66, 11, 30, 5, 87, 15, 117, 20, 298, 50
v7iw, 2025-08-13T19:16:48Z, 168, 11, 7, 9, 5, 7, 4, 23, 14, 118, 70
t6zm, 2025-08-27T19:10:54Z, 1180, 79, 7, 49, 4, 91, 8, 182, 15, 779, 66
s2ti, 2025-08-27T19:11:05Z, 5000, 457, 9, 234, 5, 539, 11, 1052, 21, 2718, 54
ki9u, 2025-08-01T19:21:48Z, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100
ipop, 2025-08-01T19:17:17Z, 10, 3, 30, 0, 0, 0, 0, 2, 20, 5, 50
uzzh, 2025-08-24T19:13:16Z, 831, 211, 25, 64, 8, 135, 16, 137, 16, 284, 34
kwzq, 2025-08-25T19:06:44Z, 515, 53, 10, 31, 6, 73, 14, 83, 16, 275, 53
s9it, 2025-08-27T19:11:20Z, 8068, 1108, 14, 435, 5, 918, 11, 1567, 19, 4040, 50
rbiy, 2025-08-27T19:10:17Z, 5977, 662, 11, 286, 5, 665, 11, 1294, 22, 3070, 51
qo3m, 2025-08-01T19:33:07Z, 315, 15, 5, 10, 3, 18, 6, 50, 16, 222, 70
zy4g, 2025-08-27T19:17:09Z, 141, 10, 7, 2, 1, 10, 7, 26, 18, 93, 66
skhi, 2025-08-01T19:41:13Z, 298, 52, 17, 28, 9, 43, 14, 41, 14, 134, 45
jhdc, 2025-08-27T19:04:45Z, 799, 71, 9, 27, 3, 70, 9, 110, 14, 521, 65
s0pl, 2025-08-01T19:39:41Z, 218, 23, 11, 13, 6, 27, 12, 51, 23, 104, 48
t8dz, 2025-08-27T19:15:55Z, 1464, 179, 12, 73, 5, 151, 10, 297, 20, 764, 52
suds, 2025-08-01T19:50:45Z, 817, 50, 6, 48, 6, 104, 13, 217, 27, 398, 49
s7hw, 2025-08-27T19:11:57Z, 3862, 245, 6, 134, 3, 333, 9, 796, 21, 2354, 61
f7c4, 2025-08-01T19:08:05Z, 3, 2, 67, 0, 0, 0, 0, 1, 33, 0, 0
s2yh, 2025-08-27T19:10:18Z, 13664, 1467, 11, 594, 4, 1378, 10, 2624, 19, 7601, 56
w227, 2025-08-27T19:17:33Z, 3180, 546, 17, 238, 7, 332, 10, 554, 17, 1510, 47
t0bz, 2025-08-06T19:14:31Z, 249, 24, 10, 19, 8, 29, 12, 36, 14, 141, 57
h5lo, 2025-08-01T19:16:53Z, 6, 0, 0, 3, 50, 1, 17, 1, 17, 1, 17
t0qo, 2025-08-27T19:12:23Z, 18105, 2125, 12, 933, 5, 1977, 11, 3712, 21, 9358, 52
u3bd, 2025-08-27T19:16:37Z, 14593, 1387, 10, 582, 4, 1236, 8, 2532, 17, 8856, 61
t0va, 2025-08-27T19:11:21Z, 14334, 3430, 24, 1063, 7, 1935, 14, 2366, 17, 5540, 39
rqek, 2025-08-27T19:09:54Z, 104, 18, 17, 8, 8, 9, 9, 15, 14, 54, 52
u2ky, 2025-08-27T19:14:01Z, 6523, 308, 5, 115, 2, 296, 5, 854, 13, 4950, 76
kfni, 2025-08-19T19:05:28Z, 202, 27, 13, 11, 5, 20, 10, 41, 20, 103, 51
e2fm, 2025-08-01T19:08:09Z, 322, 25, 8, 19, 6, 27, 8, 61, 19, 190, 59
s5bo, 2025-08-27T19:10:19Z, 2815, 167, 6, 80, 3, 173, 6, 478, 17, 1917, 68
hl01, 2025-08-01T19:15:53Z, 45, 5, 11, 8, 18, 9, 20, 8, 18, 15, 33
c1i0, 2025-08-01T19:06:33Z, 18, 1, 6, 0, 0, 1, 6, 1, 6, 15, 83
bccp, 2025-08-27T19:01:32Z, 2367, 184, 8, 114, 5, 259, 11, 502, 21, 1308, 55
t5h7, 2025-08-21T19:14:09Z, 127, 18, 14, 7, 6, 25, 20, 18, 14, 59, 46
s3et, 2025-08-27T19:11:57Z, 1981, 293, 15, 124, 6, 229, 12, 349, 18, 986, 50
gs3j, 2025-08-27T19:03:37Z, 661, 46, 7, 13, 2, 54, 8, 117, 18, 431, 65
k5du, 2025-08-27T19:04:57Z, 1045, 163, 16, 75, 7, 120, 11, 199, 19, 488, 47
s1og, 2025-08-01T19:46:09Z, 808, 137, 17, 45, 6, 94, 12, 157, 19, 375, 46
tiz6, 2025-08-16T19:15:54Z, 757, 75, 10, 33, 4, 77, 10, 124, 16, 448, 59
s8ea, 2025-08-26T19:11:00Z, 1894, 125, 7, 55, 3, 163, 9, 305, 16, 1246, 66
s4nw, 2025-08-27T19:09:26Z, 2432, 154, 6, 80, 3, 180, 7, 381, 16, 1637, 67
h0ow, 2025-08-27T19:04:10Z, 572, 62, 11, 22, 4, 40, 7, 84, 15, 364, 64
s8lk, 2025-08-25T19:11:52Z, 7548, 2138, 28, 604, 8, 1020, 14, 1154, 15, 2632, 35
atyu, 2025-08-27T19:01:18Z, 666, 98, 15, 29, 4, 64, 10, 126, 19, 349, 52
styd, 2025-08-27T19:12:23Z, 679, 236, 35, 41, 6, 80, 12, 76, 11, 246, 36
z614, 2025-08-27T19:15:21Z, 3633, 365, 10, 142, 4, 301, 8, 669, 18, 2156, 59
k0fy, 2025-08-04T19:04:17Z, 304, 11, 4, 14, 5, 22, 7, 52, 17, 205, 67
sj6j, 2025-08-27T19:13:09Z, 67, 9, 13, 1, 1, 6, 9, 13, 19, 38, 57
pw9e, 2025-08-27T19:08:44Z, 945, 61, 6, 19, 2, 77, 8, 169, 18, 619, 66
