rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
jhdc, 2025-08-15T19:05:13Z, 793, 71, 9, 27, 3, 69, 9, 106, 13, 520, 66
t6zm, 2025-08-15T19:15:30Z, 1171, 79, 7, 48, 4, 91, 8, 180, 15, 773, 66
k8nj, 2025-08-14T19:06:14Z, 66, 20, 30, 8, 12, 5, 8, 7, 11, 26, 39
s0wl, 2025-08-15T19:09:14Z, 13087, 1078, 8, 441, 3, 1047, 8, 2215, 17, 8306, 63
y5ch, 2025-08-14T19:17:20Z, 3499, 367, 10, 191, 5, 362, 10, 666, 19, 1913, 55
xmxx, None, 0, TypeError('cannot unpack non-iterable NoneType object')
s5fk, 2025-08-13T19:08:59Z, 149, 19, 13, 9, 6, 23, 15, 19, 13, 79, 53
s2rx, 2025-08-01T19:40:23Z, 3130, 358, 11, 172, 6, 396, 13, 665, 21, 1539, 49
wy5x, 2025-08-01T19:57:15Z, 29, 7, 24, 4, 14, 5, 17, 2, 7, 11, 38
t5dw, 2025-08-15T19:15:22Z, 4333, 552, 13, 239, 6, 511, 12, 882, 20, 2149, 50
bm7c, 2025-08-01T19:02:53Z, 5, 2, 40, 2, 40, 0, 0, 1, 20, 0, 0
p66p, 2025-08-15T19:08:40Z, 7418, 450, 6, 187, 3, 466, 6, 1071, 14, 5244, 71
vc3r, 2025-08-13T19:12:55Z, 923, 115, 12, 56, 6, 154, 17, 235, 25, 363, 39
u9xd, 2025-08-15T19:11:01Z, 2370, 191, 8, 66, 3, 207, 9, 372, 16, 1534, 65
s8lk, 2025-08-15T19:08:01Z, 7529, 2128, 28, 604, 8, 1019, 14, 1152, 15, 2626, 35
k0lc, 2025-08-15T19:05:25Z, 189, 50, 26, 19, 10, 25, 13, 27, 14, 68, 36
rjbp, 2025-08-01T19:34:30Z, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
s7hi, 2025-08-11T19:08:16Z, 1547, 136, 9, 67, 4, 152, 10, 321, 21, 871, 56
xx0k, 2025-08-15T19:16:49Z, 264, 61, 23, 29, 11, 25, 9, 26, 10, 123, 47
ndec, 2025-08-12T19:07:13Z, 1234, 169, 14, 62, 5, 152, 12, 220, 18, 631, 51
reaq, 2025-08-13T19:11:29Z, 235, 44, 19, 8, 3, 39, 17, 45, 19, 99, 42
ea63, 2025-08-15T19:03:16Z, 361, 24, 7, 14, 4, 30, 8, 58, 16, 235, 65
u06s, 2025-08-01T20:00:30Z, 6, 1, 17, 0, 0, 0, 0, 1, 17, 4, 67
wvzp, 2025-08-15T19:16:09Z, 1485, 70, 5, 32, 2, 104, 7, 174, 12, 1105, 74
t8dz, 2025-08-14T19:11:44Z, 1454, 179, 12, 73, 5, 150, 10, 297, 20, 755, 52
s5lv, 2025-08-15T19:07:23Z, 95, 20, 21, 2, 2, 15, 16, 17, 18, 41, 43
s2ll, 2025-08-15T19:09:56Z, 4610, 319, 7, 147, 3, 319, 7, 746, 16, 3079, 67
dws9, 2025-08-01T19:07:05Z, 74, 8, 11, 3, 4, 5, 7, 17, 23, 41, 55
n7us, 2025-08-07T19:09:28Z, 729, 61, 8, 29, 4, 87, 12, 141, 19, 411, 56
atyu, 2025-08-15T19:00:13Z, 649, 94, 14, 28, 4, 63, 10, 123, 19, 341, 53
xg4y, 2025-08-15T19:16:14Z, 514, 51, 10, 20, 4, 46, 9, 87, 17, 310, 60
c1i0, 2025-08-01T19:06:33Z, 18, 1, 6, 0, 0, 1, 6, 1, 6, 15, 83
zwpd, 2025-08-15T19:17:45Z, 1285, 180, 14, 65, 5, 155, 12, 271, 21, 614, 48
m8yt, 2025-08-09T19:05:09Z, 476, 81, 17, 37, 8, 64, 13, 84, 18, 210, 44
s2nl, 2025-08-13T19:10:29Z, 1774, 96, 5, 68, 4, 146, 8, 347, 20, 1117, 63
lf2o, 2025-08-08T19:07:11Z, 194, 42, 22, 14, 7, 23, 12, 42, 22, 73, 38
u2rc, 2025-08-03T19:12:33Z, 978, 118, 12, 55, 6, 99, 10, 158, 16, 548, 56
mm4y, 2025-08-15T19:06:10Z, 2527, 427, 17, 155, 6, 279, 11, 358, 14, 1308, 52
z30a, 2025-08-15T19:17:03Z, 112, 15, 13, 5, 4, 14, 13, 22, 20, 56, 50
b6i9, 2025-08-07T19:01:02Z, 191, 20, 10, 10, 5, 8, 4, 31, 16, 122, 64
s9it, 2025-08-15T19:11:05Z, 8032, 1099, 14, 435, 5, 911, 11, 1561, 19, 4026, 50
s5vb, 2025-08-15T19:11:48Z, 6089, 473, 8, 273, 4, 689, 11, 1248, 21, 3406, 56
kd7l, 2025-08-15T19:04:15Z, 372, 29, 8, 13, 3, 32, 9, 79, 21, 219, 59
fvjp, 2025-08-01T19:13:47Z, 126, 20, 16, 11, 9, 20, 16, 29, 23, 46, 37
qbvn, 2025-08-15T19:09:14Z, 1046, 76, 7, 51, 5, 94, 9, 170, 16, 655, 63
hl01, 2025-08-01T19:15:53Z, 45, 5, 11, 8, 18, 9, 20, 8, 18, 15, 33
s2yh, 2025-08-15T19:09:48Z, 13608, 1459, 11, 590, 4, 1373, 10, 2616, 19, 7570, 56
lb5h, 2025-08-15T19:06:55Z, 4095, 659, 16, 242, 6, 444, 11, 583, 14, 2167, 53
v83g, 2025-08-15T19:17:32Z, 175, 17, 10, 6, 3, 8, 5, 28, 16, 116, 66
s6so, 2025-08-15T19:10:22Z, 7464, 646, 9, 292, 4, 638, 9, 1271, 17, 4617, 62
