rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
zwpd, 2026-04-10T19:19:23Z, 1546, 224, 14, 76, 5, 180, 12, 332, 21, 734, 47
l21b, 2026-04-10T19:08:27Z, 372, 112, 30, 24, 6, 61, 16, 46, 12, 129, 35
s4nw, 2026-04-09T19:13:33Z, 2667, 176, 7, 87, 3, 194, 7, 416, 16, 1794, 67
jymf, 2026-04-01T19:28:32Z, 31, 9, 29, 2, 6, 5, 16, 6, 19, 9, 29
s2xc, 2026-04-10T19:09:01Z, 3070, 238, 8, 107, 3, 261, 9, 574, 19, 1890, 62
bccp, 2026-04-10T19:01:29Z, 2530, 213, 8, 120, 5, 284, 11, 529, 21, 1384, 55
z1hj, 2026-04-09T19:16:48Z, 1707, 338, 20, 135, 8, 224, 13, 274, 16, 736, 43
y16s, 2026-04-10T19:18:18Z, 1198, 77, 6, 40, 3, 78, 7, 177, 15, 826, 69
bcjg, 2026-04-01T19:03:50Z, 5, 1, 20, 0, 0, 0, 0, 0, 0, 4, 80
u2rc, 2026-04-06T19:19:27Z, 1007, 122, 12, 55, 5, 100, 10, 162, 16, 568, 56
fvjp, 2026-04-01T19:14:32Z, 132, 22, 17, 12, 9, 21, 16, 29, 22, 48, 36
iw9k, 2026-04-01T19:28:17Z, 1416, 315, 22, 97, 7, 240, 17, 299, 21, 465, 33
pm5l, 2026-04-10T19:07:58Z, 816, 135, 17, 43, 5, 102, 13, 137, 17, 399, 49
t7lv, 2026-04-10T19:12:41Z, 3440, 593, 17, 212, 6, 521, 15, 671, 20, 1443, 42
rzst, 2026-04-01T19:55:45Z, 108, 11, 10, 4, 4, 9, 8, 11, 10, 73, 68
h0ow, 2026-04-01T19:20:34Z, 635, 66, 10, 25, 4, 45, 7, 94, 15, 405, 64
u9xd, 2026-04-10T19:18:58Z, 2615, 214, 8, 76, 3, 226, 9, 403, 15, 1696, 65
fzqa, 2026-04-01T19:14:42Z, 104, 16, 15, 2, 2, 14, 13, 18, 17, 54, 52
r26z, 2026-04-10T19:09:46Z, 1294, 495, 38, 97, 8, 155, 12, 134, 10, 413, 32
tk6d, 2026-04-03T19:14:30Z, 62, 13, 21, 3, 5, 5, 8, 9, 15, 32, 52
l3s6, 2026-04-01T19:30:35Z, 151, 37, 25, 12, 8, 18, 12, 20, 13, 64, 42
m92a, 2026-04-01T19:32:40Z, 579, 254, 44, 60, 10, 62, 11, 57, 10, 146, 25
f1w5, 2026-04-01T19:15:45Z, 70, 12, 17, 8, 11, 9, 13, 8, 11, 33, 47
filb, 2026-04-01T19:14:04Z, 163, 9, 6, 4, 2, 17, 10, 33, 20, 100, 61
yy3d, 2026-04-01T20:29:02Z, 42, 10, 24, 4, 10, 4, 10, 11, 26, 13, 31
v9l6, 2026-04-01T20:21:37Z, 31, 3, 10, 0, 0, 8, 26, 4, 13, 16, 52
u6jz, 2026-04-07T19:11:30Z, 1007, 102, 10, 41, 4, 108, 11, 176, 17, 580, 58
otkz, 2026-04-10T19:08:21Z, 2429, 150, 6, 88, 4, 222, 9, 470, 19, 1499, 62
u2qd, 2026-04-10T19:13:50Z, 4903, 390, 8, 187, 4, 351, 7, 865, 18, 3110, 63
an57, 2026-04-01T19:01:15Z, 107, 12, 11, 6, 6, 15, 14, 14, 13, 60, 56
zhbi, 2026-04-01T20:22:34Z, 151, 60, 40, 14, 9, 19, 13, 13, 9, 45, 30
jhdc, 2026-04-03T19:05:23Z, 892, 75, 8, 31, 3, 83, 9, 124, 14, 579, 65
gldd, 2026-04-10T19:05:03Z, 510, 81, 16, 33, 6, 62, 12, 125, 25, 209, 41
rqek, 2026-04-10T19:08:21Z, 198, 35, 18, 14, 7, 15, 8, 29, 15, 105, 53
z30a, 2026-04-01T20:22:02Z, 147, 21, 14, 7, 5, 20, 14, 25, 17, 74, 50
x3aw, 2026-04-01T20:28:38Z, 159, 25, 16, 18, 11, 31, 20, 25, 16, 60, 38
oy5p, 2026-04-04T19:07:24Z, 1038, 118, 11, 49, 5, 113, 11, 189, 18, 569, 55
s2pr, 2026-04-10T19:08:07Z, 262, 21, 8, 19, 7, 32, 12, 39, 15, 151, 58
hubq, 2026-04-01T19:26:49Z, 136, 42, 31, 15, 11, 20, 15, 13, 10, 46, 34
st1p, 2026-04-10T19:12:54Z, 4066, 675, 17, 283, 7, 516, 13, 738, 18, 1854, 46
s2an, 2026-04-01T19:54:48Z, 748, 64, 9, 29, 4, 71, 9, 132, 18, 452, 60
ln0c, 2026-04-01T19:27:48Z, 7, 4, 57, 0, 0, 0, 0, 1, 14, 2, 29
mm4y, 2026-04-08T19:06:26Z, 2760, 497, 18, 166, 6, 300, 11, 385, 14, 1412, 51
atyu, 2026-04-09T19:00:33Z, 936, 150, 16, 42, 4, 99, 11, 178, 19, 467, 50
zen3, 2026-04-06T19:20:52Z, 380, 52, 14, 22, 6, 59, 16, 77, 20, 170, 45
wphd, 2026-04-10T19:19:26Z, 765, 52, 7, 29, 4, 59, 8, 144, 19, 481, 63
foia, 2026-04-10T19:02:39Z, 1736, 99, 6, 76, 4, 172, 10, 340, 20, 1049, 60
vc3r, 2026-04-06T19:17:17Z, 954, 119, 12, 59, 6, 160, 17, 239, 25, 377, 40
hbgy, 2026-04-01T19:25:17Z, 54, 21, 39, 4, 7, 5, 9, 5, 9, 19, 35
reaq, 2026-04-01T19:58:50Z, 242, 47, 19, 8, 3, 40, 17, 47, 19, 100, 41
