rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
g35l, 2025-05-02T19:03:52Z, 62, 13, 21, 2, 3, 11, 18, 11, 18, 25, 40
otkz, 2025-05-02T19:06:23Z, 2053, 117, 6, 75, 4, 178, 9, 401, 20, 1282, 62
t1gq, 2025-05-01T19:39:23Z, 683, 101, 15, 50, 7, 79, 12, 133, 19, 320, 47
b6i9, 2025-05-01T19:02:30Z, 145, 17, 12, 8, 6, 5, 3, 20, 14, 95, 66
t547, 2025-05-01T19:40:32Z, 692, 66, 10, 28, 4, 76, 11, 121, 17, 401, 58
ps7w, 2025-05-02T19:06:59Z, 4116, 152, 4, 95, 2, 279, 7, 613, 15, 2977, 72
ba49, 2025-05-01T19:03:05Z, 4, 0, 0, 1, 25, 0, 0, 0, 0, 3, 75
wvzp, 2025-05-02T19:14:02Z, 1309, 63, 5, 28, 2, 94, 7, 145, 11, 979, 75
ujq1, 2025-05-02T19:15:15Z, 182, 73, 40, 13, 7, 21, 12, 31, 17, 44, 24
posn, 2025-05-01T19:33:55Z, 6, 0, 0, 1, 17, 0, 0, 0, 0, 5, 83
p0pg, 2025-05-01T19:27:00Z, 115, 13, 11, 8, 7, 7, 6, 22, 19, 65, 57
vc3r, 2025-05-02T19:14:22Z, 885, 104, 12, 53, 6, 150, 17, 231, 26, 347, 39
injz, 2025-05-01T19:14:17Z, 39, 5, 13, 1, 3, 2, 5, 9, 23, 22, 56
iw9k, 2025-05-02T19:03:36Z, 1288, 284, 22, 90, 7, 210, 16, 274, 21, 430, 33
s9mg, 2025-05-02T19:11:58Z, 9834, 875, 9, 455, 5, 1011, 10, 2137, 22, 5356, 54
lh6q, 2025-05-01T19:17:15Z, 510, 39, 8, 18, 4, 48, 9, 75, 15, 330, 65
hl01, 2025-05-01T19:12:06Z, 45, 5, 11, 8, 18, 9, 20, 8, 18, 15, 33
ptbp, 2025-05-01T19:33:55Z, 387, 35, 9, 13, 3, 24, 6, 72, 19, 243, 63
u9sa, 2025-05-02T19:14:11Z, 2207, 128, 6, 49, 2, 152, 7, 364, 16, 1514, 69
s0pl, 2025-05-01T19:39:02Z, 218, 23, 11, 13, 6, 27, 12, 51, 23, 104, 48
tey3, 2025-05-02T19:13:07Z, 869, 52, 6, 23, 3, 69, 8, 129, 15, 596, 69
x8em, 2025-05-02T19:14:52Z, 8489, 928, 11, 406, 5, 920, 11, 1657, 20, 4578, 54
x3aw, 2025-05-02T19:15:34Z, 147, 23, 16, 16, 11, 29, 20, 24, 16, 55, 37
d9xl, 2025-05-02T19:02:46Z, 1379, 177, 13, 58, 4, 113, 8, 218, 16, 813, 59
p945, 2025-05-02T19:08:18Z, 183, 18, 10, 8, 4, 13, 7, 37, 20, 107, 58
xw7b, 2025-05-01T20:00:52Z, 16, 2, 13, 0, 0, 2, 13, 2, 13, 10, 63
u8xl, 2025-05-01T19:48:39Z, 1843, 261, 14, 102, 6, 227, 12, 421, 23, 832, 45
s7hw, 2025-05-02T19:09:49Z, 3593, 228, 6, 125, 3, 314, 9, 756, 21, 2170, 60
d9jk, 2025-05-01T19:06:42Z, 34, 6, 18, 3, 9, 7, 21, 6, 18, 12, 35
iyrm, 2025-05-01T19:13:58Z, 226, 63, 28, 16, 7, 28, 12, 31, 14, 88, 39
u6fs, 2025-05-02T19:12:00Z, 680, 69, 10, 20, 3, 57, 8, 109, 16, 425, 63
atyu, 2025-05-02T19:00:54Z, 456, 64, 14, 17, 4, 45, 10, 85, 19, 245, 54
s2pr, 2025-05-02T19:09:32Z, 150, 13, 9, 15, 10, 17, 11, 25, 17, 80, 53
hdr3, 2025-05-01T19:19:09Z, 27, 7, 26, 2, 7, 5, 19, 2, 7, 11, 41
psty, 2025-05-02T19:07:14Z, 1136, 51, 4, 41, 4, 104, 9, 198, 17, 742, 65
s6ua, 2025-05-02T19:10:13Z, 6166, 469, 8, 219, 4, 498, 8, 1115, 18, 3865, 63
haa1, 2025-05-01T19:14:11Z, 310, 27, 9, 7, 2, 40, 13, 59, 19, 177, 57
gn0j, 2025-05-02T19:02:57Z, 62, 7, 11, 2, 3, 6, 10, 5, 8, 42, 68
t6zm, 2025-05-01T19:41:28Z, 1112, 76, 7, 47, 4, 86, 8, 165, 15, 738, 66
x2t4, None, 0, TypeError('cannot unpack non-iterable NoneType object')
t5dw, 2025-05-02T19:11:35Z, 4050, 515, 13, 226, 6, 491, 12, 828, 20, 1990, 49
kdop, 2025-05-02T19:04:21Z, 1003, 105, 10, 55, 5, 91, 9, 182, 18, 570, 57
qjga, 2025-05-02T19:06:50Z, 1198, 72, 6, 32, 3, 109, 9, 228, 19, 757, 63
filb, 2025-05-01T19:11:38Z, 163, 9, 6, 4, 2, 17, 10, 33, 20, 100, 61
u9xd, 2025-05-02T19:12:47Z, 2265, 181, 8, 66, 3, 204, 9, 355, 16, 1459, 64
kwzq, 2025-05-01T19:16:25Z, 484, 50, 10, 28, 6, 72, 15, 75, 16, 259, 54
x8xi, 2025-05-02T19:16:23Z, 1165, 94, 8, 50, 4, 146, 13, 247, 21, 628, 54
fzqa, 2025-05-01T19:13:52Z, 104, 16, 15, 2, 2, 14, 13, 18, 17, 54, 52
ph2k, 2025-05-01T19:28:57Z, 242, 49, 20, 25, 10, 43, 18, 40, 17, 85, 35
d6kv, 2025-05-02T19:02:24Z, 1755, 130, 7, 66, 4, 210, 12, 378, 22, 971, 55
