rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
s6ea, 2025-11-29T19:12:11Z, 4552, 841, 18, 303, 7, 603, 13, 876, 19, 1929, 42
kh1q, 2025-11-01T19:23:22Z, 13, 2, 15, 1, 8, 0, 0, 3, 23, 7, 54
x4mi, None, 0, TypeError('cannot unpack non-iterable NoneType object')
pny2, 2025-11-01T19:34:37Z, 67, 4, 6, 0, 0, 4, 6, 10, 15, 49, 73
d9xl, 2025-11-27T19:02:38Z, 1618, 197, 12, 68, 4, 133, 8, 254, 16, 966, 60
pz5g, 2025-11-01T19:43:47Z, 48, 9, 19, 5, 10, 4, 8, 6, 13, 24, 50
o3ss, 2025-11-29T19:08:43Z, 682, 58, 9, 24, 4, 45, 7, 95, 14, 460, 67
lpag, 2025-11-16T19:06:20Z, 92, 22, 24, 9, 10, 16, 17, 17, 18, 28, 30
d4t8, 2025-11-29T19:02:05Z, 46, 5, 11, 1, 2, 2, 4, 4, 9, 34, 74
t1gq, 2025-11-29T19:14:31Z, 747, 111, 15, 53, 7, 83, 11, 140, 19, 360, 48
jzby, 2025-11-01T19:21:52Z, 1, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0
qk62, 2025-11-28T19:08:40Z, 228, 57, 25, 15, 7, 28, 12, 34, 15, 94, 41
u2ky, 2025-11-29T19:13:54Z, 6707, 320, 5, 118, 2, 301, 4, 889, 13, 5079, 76
reaq, 2025-11-01T19:51:14Z, 237, 44, 19, 8, 3, 40, 17, 45, 19, 100, 42
f80g, 2025-11-01T19:10:41Z, 124, 11, 9, 8, 6, 11, 9, 17, 14, 77, 62
ho0l, 2025-11-12T19:03:21Z, 157, 11, 7, 9, 6, 13, 8, 32, 20, 92, 59
t7tu, 2025-11-01T19:50:55Z, 1907, 186, 10, 93, 5, 200, 10, 383, 20, 1045, 55
y33d, 2025-11-29T19:18:22Z, 82, 9, 11, 7, 9, 8, 10, 13, 16, 45, 55
s7hi, 2025-11-23T19:11:03Z, 1613, 142, 9, 68, 4, 157, 10, 327, 20, 919, 57
lfyq, 2025-11-01T19:27:31Z, 1, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0
n2qc, 2025-11-29T19:07:16Z, 1377, 142, 10, 63, 5, 127, 9, 250, 18, 795, 58
s685, 2025-11-27T19:10:10Z, 1200, 178, 15, 72, 6, 157, 13, 228, 19, 565, 47
yo5g, 2025-11-29T19:17:27Z, 4660, 282, 6, 136, 3, 339, 7, 841, 18, 3062, 66
m92a, 2025-11-16T19:06:41Z, 579, 254, 44, 60, 10, 62, 11, 57, 10, 146, 25
a2ni, 2025-11-29T19:00:09Z, 321, 57, 18, 15, 5, 21, 7, 39, 12, 189, 59
b6i9, 2025-11-21T19:00:45Z, 217, 28, 13, 10, 5, 9, 4, 36, 17, 134, 62
m3hk, 2025-11-01T19:34:25Z, 5, 0, 0, 0, 0, 2, 40, 2, 40, 1, 20
zly8, 2025-11-25T19:15:19Z, 82, 16, 20, 6, 7, 12, 15, 8, 10, 40, 49
gn0j, 2025-11-29T19:04:05Z, 148, 17, 11, 6, 4, 15, 10, 18, 12, 92, 62
u5sa, 2025-11-29T19:13:14Z, 3962, 874, 22, 297, 8, 495, 12, 693, 17, 1603, 40
eo3p, 2025-11-26T19:03:25Z, 694, 202, 29, 60, 9, 87, 13, 99, 14, 246, 35
s2dj, 2025-11-29T19:09:56Z, 4490, 369, 8, 205, 5, 444, 10, 844, 19, 2628, 59
x2t4, None, 0, TypeError('cannot unpack non-iterable NoneType object')
s8dn, 2025-11-29T19:12:57Z, 2101, 379, 18, 168, 8, 249, 12, 405, 19, 900, 43
s8ev, 2025-11-01T19:53:25Z, 2971, 210, 7, 90, 3, 236, 8, 539, 18, 1896, 64
s6nc, 2025-11-28T19:12:31Z, 1181, 180, 15, 30, 3, 84, 7, 221, 19, 666, 56
s3et, 2025-11-29T19:08:31Z, 2128, 317, 15, 135, 6, 250, 12, 379, 18, 1047, 49
qpt6, 2025-11-01T19:47:51Z, 243, 40, 16, 15, 6, 22, 9, 42, 17, 124, 51
posn, 2025-11-01T19:33:57Z, 6, 0, 0, 1, 17, 0, 0, 0, 0, 5, 83
kwzq, 2025-11-27T19:06:19Z, 538, 54, 10, 33, 6, 74, 14, 88, 16, 289, 54
s2pr, 2025-11-28T19:09:56Z, 226, 18, 8, 18, 8, 25, 11, 36, 16, 129, 57
twyj, 2025-11-29T19:15:34Z, 2017, 236, 12, 87, 4, 199, 10, 423, 21, 1072, 53
s8ea, 2025-11-29T19:10:48Z, 1940, 127, 7, 56, 3, 166, 9, 311, 16, 1280, 66
t5h7, 2025-11-27T19:15:33Z, 145, 22, 15, 7, 5, 26, 18, 20, 14, 70, 48
aqc5, 2025-11-01T19:01:22Z, 3, 1, 33, 0, 0, 0, 0, 0, 0, 2, 67
otkz, 2025-11-29T19:08:43Z, 2312, 139, 6, 84, 4, 210, 9, 450, 19, 1429, 62
pusc, 2025-11-29T19:07:47Z, 541, 57, 11, 16, 3, 75, 14, 88, 16, 305, 56
wy5x, 2025-11-01T20:07:34Z, 29, 7, 24, 4, 14, 5, 17, 2, 7, 11, 38
cxdq, 2025-11-29T19:02:06Z, 803, 155, 19, 61, 8, 94, 12, 118, 15, 375, 47
s5gr, 2025-11-23T19:16:42Z, 858, 68, 8, 26, 3, 75, 9, 163, 19, 526, 61
