rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
e2fm, 2024-12-01T19:08:45Z, 321, 25, 8, 19, 6, 27, 8, 61, 19, 189, 59
d4t8, 2024-12-28T19:02:54Z, 1, 1, 100, 0, 0, 0, 0, 0, 0, 0, 0
u9uk, 2024-12-30T19:23:32Z, 1856, 170, 9, 74, 4, 212, 11, 439, 24, 961, 52
tey3, 2024-12-29T19:12:21Z, 646, 39, 6, 18, 3, 58, 9, 95, 15, 436, 67
aus6, 2024-12-30T19:00:52Z, 1059, 84, 8, 45, 4, 113, 11, 191, 18, 626, 59
klch, 2024-12-30T19:05:38Z, 975, 121, 12, 69, 7, 108, 11, 189, 19, 488, 50
o1yu, 2024-12-30T19:08:25Z, 3305, 337, 10, 113, 3, 358, 11, 690, 21, 1807, 55
rzst, 2024-12-27T19:08:19Z, 73, 9, 12, 3, 4, 7, 10, 9, 12, 45, 62
hdr3, 2024-12-01T19:15:21Z, 21, 6, 29, 2, 10, 2, 10, 2, 10, 9, 43
nsan, 2024-12-30T19:05:36Z, 1077, 79, 7, 32, 3, 72, 7, 176, 16, 718, 67
t5rz, 2024-12-30T19:17:16Z, 14358, 891, 6, 427, 3, 1168, 8, 2793, 19, 9079, 63
w227, 2024-12-30T19:20:56Z, 2645, 426, 16, 192, 7, 279, 11, 482, 18, 1266, 48
ba49, 2024-12-01T19:02:06Z, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 100
s2yh, 2024-12-30T19:10:59Z, 12253, 1291, 11, 539, 4, 1251, 10, 2412, 20, 6760, 55
fvjp, 2024-12-22T19:04:54Z, 107, 19, 18, 11, 10, 16, 15, 25, 23, 36, 34
mkxc, 2024-12-01T19:32:54Z, 59, 15, 25, 2, 3, 8, 14, 6, 10, 28, 47
lf2o, 2024-12-26T19:05:42Z, 172, 38, 22, 13, 8, 20, 12, 40, 23, 61, 35
s685, 2024-12-30T19:13:58Z, 948, 138, 15, 54, 6, 137, 14, 188, 20, 431, 45
tiz6, 2024-12-30T19:20:53Z, 644, 66, 10, 29, 5, 67, 10, 109, 17, 373, 58
tk6d, 2024-12-28T19:14:23Z, 16, 4, 25, 1, 6, 2, 13, 2, 13, 7, 44
kwzq, 2024-12-29T19:09:21Z, 456, 45, 10, 28, 6, 71, 16, 68, 15, 244, 54
qjga, 2024-12-30T19:07:44Z, 1064, 62, 6, 28, 3, 100, 9, 207, 19, 667, 63
v2vg, 2024-12-30T19:23:30Z, 1758, 174, 10, 90, 5, 160, 9, 293, 17, 1041, 59
n5aj, 2024-12-29T19:11:11Z, 41, 8, 20, 5, 12, 3, 7, 4, 10, 21, 51
e5sg, 2024-12-30T19:03:35Z, 2298, 265, 12, 120, 5, 213, 9, 456, 20, 1244, 54
q0ji, 2024-12-27T19:09:25Z, 469, 43, 9, 21, 4, 53, 11, 94, 20, 258, 55
qbvn, 2024-12-29T19:04:52Z, 940, 64, 7, 46, 5, 83, 9, 158, 17, 589, 63
r7h7, 2024-12-01T19:28:15Z, 32, 5, 16, 3, 9, 2, 6, 3, 9, 19, 59
u7ou, 2024-12-15T19:18:37Z, 3922, 524, 13, 204, 5, 426, 11, 765, 20, 2003, 51
u9xd, 2024-12-30T19:16:36Z, 2165, 174, 8, 65, 3, 189, 9, 340, 16, 1397, 65
s7zv, 2024-12-29T19:13:15Z, 7410, 1002, 14, 484, 7, 917, 12, 1574, 21, 3433, 46
jc93, 2024-12-19T19:04:23Z, 17, 1, 6, 3, 18, 5, 29, 4, 24, 4, 24
s8mp, 2024-12-29T19:13:59Z, 2457, 162, 7, 76, 3, 188, 8, 326, 13, 1705, 69
v0uh, 2024-12-26T19:23:01Z, 437, 95, 22, 27, 6, 65, 15, 66, 15, 184, 42
hpso, 2024-12-30T19:03:16Z, 846, 136, 16, 51, 6, 94, 11, 119, 14, 446, 53
u6fs, 2024-12-30T19:20:52Z, 587, 58, 10, 20, 3, 54, 9, 96, 16, 359, 61
w1v1, 2024-12-28T19:22:58Z, 247, 15, 6, 3, 1, 15, 6, 29, 12, 185, 75
a2y0, None, 0, TypeError('cannot unpack non-iterable NoneType object')
t7tu, 2024-12-30T19:13:18Z, 1899, 186, 10, 91, 5, 198, 10, 383, 20, 1041, 55
s00k, 2024-12-26T19:10:13Z, 246, 14, 6, 6, 2, 15, 6, 39, 16, 172, 70
eph0, 2024-12-25T19:03:17Z, 148, 9, 6, 10, 7, 22, 15, 23, 16, 84, 57
yy3d, 2024-12-22T19:15:29Z, 3, 1, 33, 0, 0, 0, 0, 0, 0, 2, 67
bm7c, 2024-12-29T19:01:24Z, 3, 2, 67, 1, 33, 0, 0, 0, 0, 0, 0
t0qo, 2024-12-30T19:18:02Z, 16718, 1968, 12, 869, 5, 1837, 11, 3472, 21, 8572, 51
d9xl, 2024-12-30T19:01:24Z, 1275, 164, 13, 57, 4, 107, 8, 205, 16, 742, 58
lmzn, 2024-12-13T19:07:40Z, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100
x4mi, None, 0, TypeError('cannot unpack non-iterable NoneType object')
irmi, 2024-12-16T19:03:20Z, 44, 1, 2, 3, 7, 2, 5, 5, 11, 33, 75
wvzp, 2024-12-30T19:23:13Z, 1109, 49, 4, 27, 2, 85, 8, 129, 12, 819, 74
injz, 2024-12-11T19:07:55Z, 28, 2, 7, 0, 0, 1, 4, 7, 25, 18, 64
