rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
cpbk, 2026-02-14T19:01:47Z, 546, 222, 41, 45, 8, 64, 12, 67, 12, 148, 27
v9l6, 2026-02-01T20:13:08Z, 30, 3, 10, 0, 0, 8, 27, 4, 13, 15, 50
nij5, 2026-02-15T19:06:58Z, 27, 6, 22, 2, 7, 2, 7, 2, 7, 15, 56
wvzp, 2026-02-20T19:15:17Z, 1663, 78, 5, 32, 2, 109, 7, 196, 12, 1248, 75
nrbc, 2026-02-01T19:33:28Z, 90, 12, 13, 7, 8, 14, 16, 16, 18, 41, 46
s8ev, 2026-02-01T20:03:12Z, 2971, 210, 7, 90, 3, 236, 8, 539, 18, 1896, 64
a2ni, 2026-02-03T19:00:07Z, 372, 70, 19, 15, 4, 25, 7, 48, 13, 214, 58
s6nh, 2026-02-01T19:58:17Z, 3532, 390, 11, 131, 4, 301, 9, 571, 16, 2139, 61
s8lk, 2026-02-20T19:09:03Z, 7749, 2210, 29, 619, 8, 1041, 13, 1179, 15, 2700, 35
y33d, 2026-02-02T19:15:57Z, 94, 10, 11, 9, 10, 8, 9, 17, 18, 50, 53
qtek, 2026-02-15T19:08:48Z, 238, 41, 17, 15, 6, 37, 16, 39, 16, 106, 45
uj76, 2026-02-20T19:10:00Z, 670, 73, 11, 33, 5, 105, 16, 129, 19, 330, 49
j1l8, 2026-02-01T19:26:54Z, 248, 58, 23, 18, 7, 25, 10, 41, 17, 106, 43
x3wx, 2026-02-13T19:13:24Z, 554, 113, 20, 48, 9, 70, 13, 95, 17, 228, 41
d3o8, 2026-02-13T19:02:44Z, 461, 146, 32, 52, 11, 46, 10, 67, 15, 150, 33
mkxc, 2026-02-01T19:30:44Z, 62, 15, 24, 3, 5, 8, 13, 6, 10, 30, 48
k22m, 2026-02-01T19:24:38Z, 7639, 747, 10, 314, 4, 690, 9, 1297, 17, 4591, 60
wuxi, 2026-02-01T20:14:38Z, 47, 6, 13, 2, 4, 6, 13, 7, 15, 26, 55
mdea, 2026-02-20T19:04:46Z, 3925, 463, 12, 240, 6, 477, 12, 741, 19, 2004, 51
jhdc, 2026-02-12T19:04:56Z, 884, 75, 8, 30, 3, 82, 9, 123, 14, 574, 65
w632, 2026-02-19T19:16:07Z, 895, 80, 9, 51, 6, 85, 10, 171, 19, 508, 57
k0pm, 2026-02-05T19:06:28Z, 498, 150, 30, 39, 8, 51, 10, 66, 13, 192, 39
k5te, 2026-02-20T19:04:39Z, 771, 284, 37, 59, 8, 85, 11, 74, 10, 269, 35
haa1, 2026-02-19T19:03:24Z, 449, 42, 9, 16, 4, 57, 13, 95, 21, 239, 53
s5vb, 2026-02-20T19:12:11Z, 6385, 487, 8, 283, 4, 712, 11, 1294, 20, 3609, 57
klch, 2026-02-20T19:05:30Z, 2144, 272, 13, 131, 6, 239, 11, 374, 17, 1128, 53
lmzn, 2026-02-19T19:05:07Z, 47, 1, 2, 1, 2, 4, 9, 6, 13, 35, 74
e2fm, 2026-02-01T19:12:53Z, 322, 25, 8, 19, 6, 27, 8, 61, 19, 190, 59
u2mp, 2026-02-18T19:10:36Z, 1773, 178, 10, 89, 5, 212, 12, 366, 21, 928, 52
i1kn, 2026-02-01T19:23:08Z, 4, 1, 25, 0, 0, 0, 0, 0, 0, 3, 75
gune, 2026-02-20T19:04:15Z, 1477, 217, 15, 93, 6, 176, 12, 238, 16, 753, 51
iw9k, 2026-02-01T19:25:36Z, 1416, 315, 22, 97, 7, 240, 17, 299, 21, 465, 33
otkz, 2026-02-19T19:09:25Z, 2379, 145, 6, 87, 4, 220, 9, 463, 19, 1464, 62
cqb1, 2026-02-18T19:01:17Z, 46, 11, 24, 6, 13, 5, 11, 4, 9, 20, 43
j7qe, 2026-02-20T19:05:59Z, 137, 16, 12, 5, 4, 10, 7, 24, 18, 82, 60
ecdn, 2026-02-01T19:13:17Z, 208, 37, 18, 21, 10, 25, 12, 38, 18, 87, 42
twyj, 2026-02-01T20:12:01Z, 2019, 236, 12, 87, 4, 199, 10, 423, 21, 1074, 53
ejzc, 2026-02-01T19:12:10Z, 411, 56, 14, 18, 4, 57, 14, 86, 21, 194, 47
s2pr, 2026-02-18T19:11:35Z, 248, 21, 8, 19, 8, 28, 11, 39, 16, 141, 57
tk6d, 2026-02-15T19:14:49Z, 60, 13, 22, 3, 5, 4, 7, 9, 15, 31, 52
s5bo, 2026-02-17T19:07:33Z, 3002, 179, 6, 87, 3, 178, 6, 510, 17, 2048, 68
sqak, 2026-02-18T19:12:03Z, 1392, 494, 35, 136, 10, 195, 14, 181, 13, 386, 28
esde, 2026-02-01T19:12:40Z, 12, 1, 8, 0, 0, 0, 0, 4, 33, 7, 58
u4zo, 2026-02-19T19:09:37Z, 1610, 133, 8, 54, 3, 141, 9, 280, 17, 1002, 62
v0uh, 2026-02-01T20:16:00Z, 521, 128, 25, 31, 6, 71, 14, 73, 14, 218, 42
irmi, 2026-02-01T19:21:27Z, 63, 3, 5, 4, 6, 9, 14, 6, 10, 41, 65
p0pg, 2026-02-01T19:38:10Z, 175, 19, 11, 12, 7, 13, 7, 33, 19, 98, 56
s6fq, 2026-02-20T19:12:17Z, 619, 66, 11, 40, 6, 74, 12, 151, 24, 288, 47
tx5y, 2026-02-01T19:53:04Z, 333, 30, 9, 17, 5, 37, 11, 72, 22, 177, 53
p8xn, 2026-02-19T19:10:19Z, 698, 105, 15, 41, 6, 74, 11, 150, 21, 328, 47
