rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
gs3j, 2026-09-10T19:07:53Z, 1373, 129, 9, 44, 3, 127, 9, 242, 18, 831, 61
jzby, 2026-09-01T19:31:16Z, 1, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0
v7iw, 2026-09-07T19:18:41Z, 201, 17, 8, 10, 5, 10, 5, 26, 13, 138, 69
s2nb, 2026-09-10T19:14:59Z, 1295, 119, 9, 52, 4, 124, 10, 243, 19, 757, 58
hfvz, 2026-09-01T19:23:54Z, 8, 2, 25, 1, 13, 1, 13, 0, 0, 4, 50
p186, 2026-09-10T19:12:03Z, 865, 66, 8, 25, 3, 66, 8, 119, 14, 589, 68
xqmm, 2026-09-10T19:19:56Z, 489, 95, 19, 22, 5, 52, 11, 89, 18, 231, 47
s8lk, 2026-09-10T19:14:11Z, 8120, 2369, 29, 647, 8, 1075, 13, 1203, 15, 2826, 35
s4lt, 2026-09-10T19:12:22Z, 5568, 449, 8, 264, 5, 575, 10, 1112, 20, 3168, 57
jx0o, 2026-09-01T19:32:05Z, 66, 14, 21, 5, 8, 5, 8, 6, 9, 36, 55
s3wh, 2026-09-01T20:01:12Z, 230, 57, 25, 12, 5, 28, 12, 50, 22, 83, 36
tknf, 2026-09-01T20:16:54Z, 54, 7, 13, 2, 4, 12, 22, 7, 13, 26, 48
qk62, 2026-09-01T20:00:19Z, 240, 60, 25, 15, 6, 31, 13, 35, 15, 99, 41
v9l6, 2026-09-10T19:19:06Z, 44, 4, 9, 0, 0, 9, 20, 10, 23, 21, 48
s5cj, 2026-09-10T19:18:25Z, 46374, 3402, 7, 1669, 4, 4226, 9, 9585, 21, 27492, 59
l88b, 2026-09-10T19:07:44Z, 3157, 354, 11, 203, 6, 269, 9, 523, 17, 1808, 57
o3ss, 2026-09-10T19:09:32Z, 911, 75, 8, 30, 3, 70, 8, 137, 15, 599, 66
b41r, 2026-09-10T19:01:55Z, 6779, 357, 5, 180, 3, 398, 6, 883, 13, 4961, 73
btyr, 2026-09-01T19:04:51Z, 106, 14, 13, 8, 8, 12, 11, 18, 17, 54, 51
k0fy, 2026-09-01T19:29:34Z, 306, 12, 4, 14, 5, 22, 7, 52, 17, 206, 67
s5bo, 2026-09-09T19:10:40Z, 3198, 190, 6, 92, 3, 184, 6, 535, 17, 2197, 69
pwi1, 2026-09-10T19:12:09Z, 1134, 110, 10, 54, 5, 141, 12, 202, 18, 627, 55
h0ow, 2026-09-01T19:22:23Z, 636, 66, 10, 25, 4, 45, 7, 94, 15, 406, 64
ra54, 2026-09-10T19:12:43Z, 2533, 147, 6, 90, 4, 204, 8, 439, 17, 1653, 65
u9uk, 2026-09-10T19:19:52Z, 3170, 275, 9, 118, 4, 321, 10, 696, 22, 1760, 56
f7c4, 2026-09-01T19:20:05Z, 3, 2, 67, 0, 0, 0, 0, 1, 33, 0, 0
uj76, 2026-09-09T19:19:01Z, 746, 81, 11, 38, 5, 113, 15, 145, 19, 369, 49
s0pl, 2026-09-01T20:13:34Z, 218, 23, 11, 13, 6, 27, 12, 51, 23, 104, 48
s8dn, 2026-09-10T19:17:13Z, 2411, 438, 18, 193, 8, 282, 12, 449, 19, 1049, 44
tey3, 2026-09-01T20:19:13Z, 1121, 63, 6, 28, 3, 81, 7, 154, 14, 795, 71
kwzq, 2026-09-01T19:34:50Z, 625, 65, 10, 39, 6, 89, 14, 108, 17, 324, 52
t5h7, 2026-09-01T20:24:44Z, 149, 22, 15, 8, 5, 26, 17, 20, 13, 73, 49
oy0s, 2026-09-01T19:53:16Z, 278, 39, 14, 22, 8, 35, 13, 48, 17, 134, 48
e3ze, 2026-09-03T19:03:46Z, 293, 64, 22, 17, 6, 42, 14, 43, 15, 127, 43
u9xd, 2026-09-10T19:20:57Z, 2783, 224, 8, 81, 3, 243, 9, 427, 15, 1808, 65
u6fs, 2026-09-10T19:20:51Z, 860, 85, 10, 27, 3, 66, 8, 137, 16, 545, 63
haa1, 2026-09-08T19:05:50Z, 591, 54, 9, 19, 3, 66, 11, 132, 22, 320, 54
d5bl, 2026-09-10T19:03:03Z, 1870, 257, 14, 111, 6, 230, 12, 357, 19, 915, 49
bvf1, 2026-09-01T19:09:12Z, 7, 1, 14, 0, 0, 1, 14, 0, 0, 5, 71
d3o8, 2026-09-01T19:11:59Z, 478, 155, 32, 52, 11, 47, 10, 69, 14, 155, 32
lf2o, 2026-09-01T19:35:38Z, 195, 42, 22, 14, 7, 22, 11, 42, 22, 75, 38
u0ni, 2026-09-08T19:20:23Z, 639, 68, 11, 40, 6, 75, 12, 110, 17, 346, 54
wld1, 2026-09-01T20:40:15Z, 321, 47, 15, 19, 6, 40, 12, 58, 18, 157, 49
lfyq, 2026-09-01T19:39:53Z, 1, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0
wils, 2026-09-05T19:23:48Z, 326, 52, 16, 17, 5, 43, 13, 81, 25, 133, 41
t5xx, 2026-09-03T19:12:27Z, 2755, 462, 17, 173, 6, 360, 13, 517, 19, 1243, 45
d4t8, 2026-09-09T19:01:32Z, 109, 19, 17, 3, 3, 12, 11, 9, 8, 66, 61
dbll, 2026-09-09T19:01:57Z, 1386, 139, 10, 70, 5, 138, 10, 304, 22, 735, 53
s6ua, 2026-09-10T19:15:17Z, 7955, 609, 8, 265, 3, 634, 8, 1400, 18, 5047, 63
s5lv, 2026-09-07T19:12:57Z, 113, 21, 19, 2, 2, 19, 17, 21, 19, 50, 44
