rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
gune, 2026-01-07T19:03:04Z, 1251, 176, 14, 72, 6, 147, 12, 214, 17, 642, 51
zly8, 2026-01-01T20:23:25Z, 85, 16, 19, 6, 7, 13, 15, 9, 11, 41, 48
y2dl, 2026-01-01T20:24:50Z, 4, 0, 0, 0, 0, 0, 0, 2, 50, 2, 50
s00k, 2026-01-02T19:09:33Z, 311, 19, 6, 8, 3, 20, 6, 47, 15, 217, 70
x8em, 2026-01-07T19:14:56Z, 9643, 1099, 11, 459, 5, 1027, 11, 1855, 19, 5203, 54
s3dj, 2026-01-07T19:09:16Z, 15313, 2137, 14, 849, 6, 1591, 10, 3005, 20, 7731, 50
irmi, 2026-01-01T19:23:02Z, 63, 3, 5, 4, 6, 9, 14, 6, 10, 41, 65
psty, 2026-01-07T19:07:31Z, 1315, 72, 5, 50, 4, 114, 9, 221, 17, 858, 65
sqak, 2026-01-07T19:12:07Z, 1349, 475, 35, 133, 10, 189, 14, 179, 13, 373, 28
wy5x, 2026-01-01T20:11:18Z, 29, 7, 24, 4, 14, 5, 17, 2, 7, 11, 38
r26z, 2026-01-07T19:08:53Z, 1182, 443, 37, 91, 8, 148, 13, 117, 10, 383, 32
erpq, 2026-01-01T19:12:58Z, 988, 155, 16, 60, 6, 108, 11, 155, 16, 510, 52
g3hv, 2026-01-06T19:03:57Z, 396, 116, 29, 29, 7, 59, 15, 56, 14, 136, 34
f1w5, 2026-01-01T19:12:26Z, 70, 12, 17, 8, 11, 9, 13, 8, 11, 33, 47
eo3p, 2026-01-01T19:15:29Z, 695, 202, 29, 60, 9, 88, 13, 99, 14, 246, 35
hl01, 2026-01-01T19:17:13Z, 45, 5, 11, 8, 18, 9, 20, 8, 18, 15, 33
pz5g, 2026-01-01T19:41:11Z, 48, 9, 19, 5, 10, 4, 8, 6, 13, 24, 50
w1v1, 2026-01-05T19:13:13Z, 387, 21, 5, 3, 1, 25, 6, 51, 13, 287, 74
s7zv, 2026-01-07T19:11:13Z, 8104, 1165, 14, 530, 7, 985, 12, 1677, 21, 3747, 46
s8lk, 2026-01-07T19:11:21Z, 7685, 2188, 28, 614, 8, 1034, 13, 1174, 15, 2675, 35
s8dn, 2026-01-06T19:13:52Z, 2151, 387, 18, 175, 8, 254, 12, 411, 19, 924, 43
s3xz, 2026-01-07T19:11:17Z, 14466, 2657, 18, 951, 7, 1861, 13, 2590, 18, 6407, 44
s7kn, 2026-01-07T19:11:36Z, 2504, 183, 7, 93, 4, 222, 9, 497, 20, 1509, 60
s6fq, 2026-01-06T19:09:36Z, 614, 65, 11, 40, 7, 74, 12, 149, 24, 286, 47
uzzh, 2026-01-01T20:11:50Z, 831, 211, 25, 64, 8, 135, 16, 137, 16, 284, 34
l21b, 2026-01-01T19:31:29Z, 363, 112, 31, 24, 7, 58, 16, 42, 12, 127, 35
gn0j, 2026-01-01T19:20:25Z, 156, 20, 13, 6, 4, 15, 10, 21, 13, 94, 60
l835, 2026-01-02T19:05:54Z, 720, 43, 6, 23, 3, 60, 8, 100, 14, 494, 69
tknf, 2026-01-01T20:06:22Z, 54, 7, 13, 2, 4, 12, 22, 7, 13, 26, 48
wphd, 2026-01-07T19:17:17Z, 570, 38, 7, 24, 4, 40, 7, 112, 20, 356, 62
mj26, 2026-01-01T19:31:15Z, 113, 39, 35, 12, 11, 15, 13, 9, 8, 38, 34
uj76, 2026-01-07T19:16:49Z, 657, 72, 11, 33, 5, 103, 16, 128, 19, 321, 49
eq10, 2026-01-01T19:13:16Z, 2258, 217, 10, 82, 4, 188, 8, 378, 17, 1393, 62
aqc5, 2026-01-01T19:02:44Z, 3, 1, 33, 0, 0, 0, 0, 0, 0, 2, 67
s2rx, 2026-01-01T19:53:07Z, 3130, 358, 11, 172, 6, 396, 13, 665, 21, 1539, 49
nij5, 2026-01-04T19:08:27Z, 25, 6, 24, 2, 8, 2, 8, 2, 8, 13, 52
yo5g, 2026-01-07T19:18:01Z, 4724, 284, 6, 139, 3, 343, 7, 851, 18, 3107, 66
k9of, 2026-01-07T19:02:15Z, 2442, 562, 23, 178, 7, 298, 12, 363, 15, 1041, 43
lh6q, 2026-01-07T19:05:16Z, 653, 45, 7, 24, 4, 57, 9, 92, 14, 435, 67
nmgs, 2026-01-01T19:29:07Z, 516, 121, 23, 58, 11, 64, 12, 65, 13, 208, 40
mm4y, 2026-01-05T19:06:24Z, 2673, 465, 17, 163, 6, 294, 11, 377, 14, 1374, 51
u2qd, 2026-01-07T19:13:36Z, 4695, 365, 8, 181, 4, 332, 7, 840, 18, 2977, 63
f7c4, 2026-01-01T19:11:43Z, 3, 2, 67, 0, 0, 0, 0, 1, 33, 0, 0
oh2h, 2026-01-03T19:11:25Z, 78, 25, 32, 7, 9, 8, 10, 12, 15, 26, 33
s9az, 2026-01-01T19:55:59Z, 292, 35, 12, 17, 6, 26, 9, 50, 17, 164, 56
jjxw, 2026-01-07T19:06:10Z, 3934, 439, 11, 180, 5, 331, 8, 696, 18, 2288, 58
s6ua, 2026-01-07T19:12:07Z, 7127, 551, 8, 242, 3, 580, 8, 1257, 18, 4497, 63
wld1, 2026-01-01T20:04:58Z, 321, 47, 15, 19, 6, 40, 12, 58, 18, 157, 49
upge, 2026-01-01T20:05:13Z, 31, 10, 32, 5, 16, 1, 3, 2, 6, 13, 42
s4nw, 2026-01-06T19:09:23Z, 2589, 170, 7, 85, 3, 189, 7, 407, 16, 1738, 67
