rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
rzst, 2026-07-01T19:54:07Z, 116, 11, 9, 4, 3, 9, 8, 12, 10, 80, 69
t8xa, 2026-07-01T20:10:08Z, 475, 60, 13, 37, 8, 55, 12, 67, 14, 256, 54
y16s, 2026-07-15T19:21:22Z, 1372, 81, 6, 45, 3, 90, 7, 201, 15, 955, 70
t5dw, 2026-07-15T19:16:40Z, 4876, 620, 13, 265, 5, 588, 12, 977, 20, 2426, 50
s2rx, 2026-07-01T19:55:48Z, 3130, 358, 11, 172, 6, 396, 13, 665, 21, 1539, 49
t0bz, 2026-07-01T20:03:21Z, 250, 24, 10, 19, 8, 29, 12, 36, 14, 142, 57
m371, 2026-07-13T19:08:23Z, 349, 95, 27, 25, 7, 37, 11, 38, 11, 154, 44
y33d, 2026-07-01T20:27:13Z, 94, 9, 10, 9, 10, 9, 10, 17, 18, 50, 53
s6so, 2026-07-15T19:13:07Z, 8003, 709, 9, 310, 4, 686, 9, 1357, 17, 4941, 62
x2t4, None, 0, TypeError('cannot unpack non-iterable NoneType object')
s7kn, 2026-07-15T19:16:18Z, 2757, 199, 7, 107, 4, 233, 8, 553, 20, 1665, 60
s4ki, 2026-07-15T19:13:03Z, 19800, 1408, 7, 845, 4, 1885, 10, 3964, 20, 11698, 59
w227, 2026-07-15T19:24:04Z, 4231, 774, 18, 318, 8, 447, 11, 708, 17, 1984, 47
oy0s, 2026-07-01T19:39:43Z, 278, 39, 14, 22, 8, 35, 13, 48, 17, 134, 48
s1id, 2026-07-15T19:12:45Z, 5076, 662, 13, 299, 6, 629, 12, 1050, 21, 2436, 48
bwtk, 2026-07-15T19:02:27Z, 2208, 204, 9, 101, 5, 208, 9, 376, 17, 1319, 60
ea63, 2026-07-07T19:03:01Z, 557, 39, 7, 20, 4, 44, 8, 82, 15, 372, 67
x6wl, 2026-07-01T20:25:42Z, 1101, 276, 25, 110, 10, 170, 15, 170, 15, 375, 34
pusc, 2026-07-01T19:45:43Z, 579, 63, 11, 21, 4, 79, 14, 96, 17, 320, 55
c1i0, 2026-07-01T19:06:52Z, 18, 1, 6, 0, 0, 1, 6, 1, 6, 15, 83
lvn8, None, 0, TypeError('cannot unpack non-iterable NoneType object')
u9xd, 2026-07-15T19:19:15Z, 2716, 221, 8, 79, 3, 239, 9, 416, 15, 1761, 65
s6ua, 2026-07-15T19:14:51Z, 7727, 599, 8, 262, 3, 619, 8, 1364, 18, 4883, 63
f1w5, 2026-07-01T19:14:53Z, 70, 12, 17, 8, 11, 9, 13, 8, 11, 33, 47
otkz, 2026-07-15T19:08:49Z, 2605, 176, 7, 91, 3, 243, 9, 495, 19, 1600, 61
u7ou, 2026-07-01T20:16:58Z, 4029, 550, 14, 208, 5, 441, 11, 783, 19, 2047, 51
t7yr, 2026-07-01T20:07:36Z, 1756, 248, 14, 143, 8, 236, 13, 402, 23, 727, 41
s5lv, 2026-07-01T19:52:53Z, 109, 21, 19, 2, 2, 18, 17, 20, 18, 48, 44
t5h7, 2026-07-01T19:59:32Z, 150, 23, 15, 8, 5, 26, 17, 20, 13, 73, 49
tiz6, 2026-07-15T19:14:32Z, 935, 91, 10, 44, 5, 94, 10, 160, 17, 546, 58
tx5y, 2026-07-01T20:14:37Z, 333, 30, 9, 17, 5, 37, 11, 72, 22, 177, 53
tk6d, 2026-07-15T19:17:24Z, 71, 17, 24, 5, 7, 5, 7, 9, 13, 35, 49
btyr, 2026-07-01T19:06:14Z, 105, 14, 13, 7, 7, 12, 11, 18, 17, 54, 51
xx0k, 2026-07-15T19:20:43Z, 759, 163, 21, 75, 10, 69, 9, 70, 9, 382, 50
bvf1, 2026-07-01T19:04:43Z, 7, 1, 14, 0, 0, 1, 14, 0, 0, 5, 71
s9sd, 2026-07-01T19:55:06Z, 2006, 99, 5, 75, 4, 157, 8, 451, 22, 1224, 61
esde, 2026-07-01T19:13:43Z, 12, 1, 8, 0, 0, 0, 0, 4, 33, 7, 58
s2dj, 2026-07-15T19:12:37Z, 4960, 411, 8, 226, 5, 488, 10, 909, 18, 2926, 59
zhbi, 2026-07-01T20:32:42Z, 153, 61, 40, 14, 9, 19, 12, 13, 9, 46, 30
s8mp, 2026-07-15T19:13:33Z, 3298, 232, 7, 105, 3, 240, 7, 430, 13, 2291, 69
x3ui, 2026-07-01T20:30:09Z, 277, 68, 25, 20, 7, 25, 9, 37, 13, 127, 46
s6nh, 2026-07-15T19:14:29Z, 3598, 392, 11, 134, 4, 306, 9, 580, 16, 2186, 61
iqiv, 2026-07-01T19:25:10Z, 13, 4, 31, 1, 8, 1, 8, 0, 0, 7, 54
kd7l, 2026-07-15T19:06:38Z, 456, 43, 9, 16, 4, 39, 9, 93, 20, 265, 58
d4t8, 2026-07-12T19:04:26Z, 95, 16, 17, 3, 3, 9, 9, 7, 7, 60, 63
p945, 2026-07-01T19:45:07Z, 193, 21, 11, 9, 5, 16, 8, 37, 19, 110, 57
t5xx, 2026-07-13T19:18:42Z, 2742, 461, 17, 173, 6, 359, 13, 508, 19, 1241, 45
ar6y, 2026-07-15T19:00:34Z, 516, 54, 10, 28, 5, 56, 11, 90, 17, 288, 56
klch, 2026-07-15T19:08:34Z, 2404, 306, 13, 145, 6, 266, 11, 415, 17, 1272, 53
cqb1, 2026-07-15T19:01:30Z, 80, 12, 15, 7, 9, 9, 11, 10, 13, 42, 53
