rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
k9of, 2025-09-09T19:05:18Z, 2362, 539, 23, 171, 7, 290, 12, 351, 15, 1011, 43
k0lc, 2025-09-01T19:20:47Z, 193, 50, 26, 19, 10, 25, 13, 28, 15, 71, 37
u3bd, 2025-09-09T19:14:36Z, 14655, 1393, 10, 582, 4, 1244, 8, 2541, 17, 8895, 61
nmgs, 2025-09-09T19:08:26Z, 504, 114, 23, 58, 12, 63, 13, 64, 13, 205, 41
evp2, 2025-09-09T19:02:59Z, 1416, 158, 11, 74, 5, 139, 10, 293, 21, 752, 53
s2yh, 2025-09-09T19:13:53Z, 13731, 1473, 11, 601, 4, 1385, 10, 2629, 19, 7643, 56
ghtn, 2025-09-01T19:17:23Z, 14, 1, 7, 0, 0, 3, 21, 1, 7, 9, 64
s1qf, 2025-09-07T19:11:02Z, 3122, 282, 9, 163, 5, 396, 13, 615, 20, 1666, 53
jc93, 2025-09-01T19:21:43Z, 56, 3, 5, 6, 11, 9, 16, 5, 9, 33, 59
u6fs, 2025-09-05T19:14:40Z, 771, 78, 10, 23, 3, 58, 8, 119, 15, 493, 64
b41r, 2025-09-09T19:00:32Z, 5789, 312, 5, 160, 3, 349, 6, 765, 13, 4203, 73
z1hj, 2025-09-09T19:17:59Z, 1493, 311, 21, 127, 9, 204, 14, 244, 16, 607, 41
l88b, 2025-09-09T19:06:28Z, 2385, 282, 12, 144, 6, 198, 8, 401, 17, 1360, 57
iyuu, 2025-09-01T19:19:12Z, 74, 8, 11, 4, 5, 8, 11, 14, 19, 40, 54
s6so, 2025-09-09T19:13:07Z, 7494, 652, 9, 294, 4, 642, 9, 1276, 17, 4630, 62
u4nd, 2025-09-09T19:17:06Z, 661, 61, 9, 32, 5, 84, 13, 140, 21, 344, 52
q5du, 2025-09-09T19:07:20Z, 292, 102, 35, 21, 7, 42, 14, 35, 12, 92, 32
u4zo, 2025-09-09T19:14:38Z, 1558, 127, 8, 54, 3, 139, 9, 273, 18, 965, 62
wols, 2025-09-01T20:05:34Z, 481, 19, 4, 15, 3, 39, 8, 63, 13, 345, 72
t2ul, 2025-09-08T19:13:55Z, 5381, 868, 16, 378, 7, 792, 15, 1100, 20, 2243, 42
s0pl, 2025-09-01T19:36:16Z, 218, 23, 11, 13, 6, 27, 12, 51, 23, 104, 48
s6ua, 2025-09-09T19:11:31Z, 6676, 512, 8, 232, 3, 551, 8, 1187, 18, 4194, 63
p0pg, 2025-09-05T19:10:50Z, 135, 13, 10, 10, 7, 9, 7, 27, 20, 76, 56
s6ea, 2025-09-09T19:10:56Z, 4460, 826, 19, 299, 7, 595, 13, 860, 19, 1880, 42
s4ve, 2025-09-09T19:07:51Z, 7746, 1229, 16, 487, 6, 1003, 13, 1609, 21, 3418, 44
ndec, 2025-09-09T19:09:04Z, 1242, 171, 14, 62, 5, 152, 12, 220, 18, 637, 51
yo5g, 2025-09-09T19:17:53Z, 4500, 268, 6, 129, 3, 327, 7, 813, 18, 2963, 66
foia, 2025-09-01T19:11:22Z, 1673, 95, 6, 74, 4, 168, 10, 330, 20, 1006, 60
bm7c, 2025-09-01T19:05:22Z, 5, 2, 40, 2, 40, 0, 0, 1, 20, 0, 0
xg4y, 2025-09-07T19:19:19Z, 549, 55, 10, 22, 4, 50, 9, 95, 17, 327, 60
v83g, 2025-09-01T19:59:30Z, 178, 17, 10, 6, 3, 9, 5, 29, 16, 117, 66
l21b, 2025-09-08T19:09:31Z, 354, 109, 31, 24, 7, 55, 16, 41, 12, 125, 35
kh1q, 2025-09-01T19:23:18Z, 13, 2, 15, 1, 8, 0, 0, 3, 23, 7, 54
pusc, 2025-09-09T19:09:30Z, 487, 48, 10, 14, 3, 68, 14, 78, 16, 279, 57
o75t, 2025-09-01T19:31:01Z, 86, 6, 7, 7, 8, 3, 3, 8, 9, 62, 72
gldd, 2025-09-09T19:04:04Z, 481, 78, 16, 28, 6, 62, 13, 117, 24, 196, 41
erpq, 2025-09-01T19:09:08Z, 988, 155, 16, 60, 6, 108, 11, 155, 16, 510, 52
wld1, 2025-09-01T20:07:08Z, 321, 47, 15, 19, 6, 40, 12, 58, 18, 157, 49
s3kp, 2025-09-09T19:12:50Z, 6982, 755, 11, 314, 5, 695, 10, 1300, 19, 3918, 56
e5sg, 2025-09-09T19:01:33Z, 3046, 348, 11, 149, 5, 267, 9, 611, 20, 1671, 55
d4t8, 2025-09-08T19:01:27Z, 25, 3, 12, 0, 0, 2, 8, 3, 12, 17, 68
s3dj, 2025-09-09T19:10:54Z, 14791, 2008, 14, 812, 5, 1535, 10, 2934, 20, 7502, 51
oh2h, 2025-09-03T19:06:47Z, 60, 14, 23, 7, 12, 6, 10, 12, 20, 21, 35
sqak, 2025-09-09T19:10:46Z, 1157, 391, 34, 119, 10, 167, 14, 166, 14, 314, 27
iw9k, 2025-09-09T19:03:37Z, 1409, 313, 22, 97, 7, 238, 17, 298, 21, 463, 33
wvzp, 2025-09-09T19:15:27Z, 1520, 72, 5, 32, 2, 104, 7, 178, 12, 1134, 75
f1w5, 2025-09-01T19:13:13Z, 70, 12, 17, 8, 11, 9, 13, 8, 11, 33, 47
a2ni, 2025-09-03T19:00:08Z, 227, 32, 14, 8, 4, 17, 7, 21, 9, 149, 66
u9uk, 2025-09-09T19:17:05Z, 2516, 230, 9, 93, 4, 266, 11, 565, 22, 1362, 54
p186, 2025-09-08T19:12:17Z, 475, 43, 9, 15, 3, 37, 8, 70, 15, 310, 65
