rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
r26z, 2026-07-20T19:10:02Z, 1379, 517, 37, 103, 7, 170, 12, 145, 11, 444, 32
d6kv, 2026-07-20T19:01:58Z, 1969, 159, 8, 86, 4, 229, 12, 409, 21, 1086, 55
nij5, 2026-07-18T19:10:11Z, 50, 10, 20, 2, 4, 7, 14, 4, 8, 27, 54
o1yu, 2026-07-20T19:08:39Z, 6781, 763, 11, 233, 3, 647, 10, 1279, 19, 3859, 57
sqhd, 2026-07-17T19:18:09Z, 1039, 161, 16, 68, 7, 131, 13, 182, 18, 497, 48
n2qc, 2026-07-20T19:09:57Z, 1642, 182, 11, 75, 5, 147, 9, 282, 17, 956, 58
c9m0, 2026-07-01T19:07:30Z, 2646, 954, 36, 258, 10, 335, 13, 331, 13, 768, 29
w8cg, 2026-07-01T20:25:34Z, 1337, 432, 32, 135, 10, 164, 12, 181, 14, 425, 32
u0fu, 2026-07-18T19:19:33Z, 1287, 135, 10, 64, 5, 136, 11, 273, 21, 679, 53
o75t, 2026-07-01T19:46:13Z, 90, 8, 9, 7, 8, 4, 4, 9, 10, 62, 69
mm4y, 2026-07-20T19:09:57Z, 2884, 538, 19, 172, 6, 317, 11, 398, 14, 1459, 51
u0mi, 2026-07-20T19:18:20Z, 920, 76, 8, 37, 4, 70, 8, 129, 14, 608, 66
s5fk, 2026-07-16T19:10:20Z, 183, 22, 12, 14, 8, 28, 15, 25, 14, 94, 51
sj6j, 2026-07-20T19:12:33Z, 103, 12, 12, 5, 5, 13, 13, 16, 16, 57, 55
h2f2, 2026-07-20T19:06:48Z, 1363, 142, 10, 72, 5, 187, 14, 280, 21, 682, 50
ejzc, 2026-07-01T19:13:27Z, 411, 56, 14, 18, 4, 57, 14, 86, 21, 194, 47
zen3, 2026-07-19T19:21:29Z, 407, 56, 14, 24, 6, 64, 16, 84, 21, 179, 44
kfni, 2026-07-12T19:07:43Z, 260, 33, 13, 12, 5, 27, 10, 51, 20, 137, 53
jymf, 2026-07-01T19:30:10Z, 31, 9, 29, 2, 6, 5, 16, 6, 19, 9, 29
k0pm, 2026-07-19T19:09:52Z, 505, 151, 30, 40, 8, 53, 11, 66, 13, 195, 39
wld1, 2026-07-01T20:24:41Z, 321, 47, 15, 19, 6, 40, 12, 58, 18, 157, 49
hl01, 2026-07-01T19:20:58Z, 45, 5, 11, 8, 18, 9, 20, 8, 18, 15, 33
zwpd, 2026-07-20T19:21:35Z, 1626, 218, 13, 78, 5, 193, 12, 351, 22, 786, 48
t1bc, 2026-07-20T19:12:03Z, 10131, 885, 9, 364, 4, 785, 8, 1731, 17, 6366, 63
cv8h, 2026-07-20T19:03:03Z, 563, 82, 15, 31, 6, 49, 9, 79, 14, 322, 57
f7ht, 2026-07-20T19:04:54Z, 6059, 872, 14, 335, 6, 739, 12, 1270, 21, 2843, 47
ho0l, 2026-07-20T19:05:09Z, 195, 11, 6, 9, 5, 15, 8, 39, 20, 121, 62
s1id, 2026-07-20T19:15:48Z, 5084, 665, 13, 299, 6, 630, 12, 1052, 21, 2438, 48
yy3d, 2026-07-01T20:34:19Z, 40, 9, 23, 3, 8, 4, 10, 11, 28, 13, 33
rjbp, 2026-07-01T19:51:40Z, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
b41r, 2026-07-20T19:00:54Z, 6606, 345, 5, 175, 3, 387, 6, 866, 13, 4833, 73
t8dz, 2026-07-20T19:19:16Z, 1795, 215, 12, 85, 5, 174, 10, 376, 21, 945, 53
x6wl, 2026-07-01T20:25:42Z, 1101, 276, 25, 110, 10, 170, 15, 170, 15, 375, 34
u3bd, 2026-07-20T19:15:52Z, 15952, 1504, 9, 623, 4, 1341, 8, 2730, 17, 9754, 61
yegr, 2026-07-01T20:33:47Z, 115, 21, 18, 2, 2, 12, 10, 15, 13, 65, 57
s9az, 2026-07-01T19:59:39Z, 292, 35, 12, 17, 6, 26, 9, 50, 17, 164, 56
q0ji, 2026-07-20T19:09:20Z, 903, 89, 10, 38, 4, 105, 12, 171, 19, 500, 55
jc93, 2026-07-01T19:27:29Z, 56, 3, 5, 6, 11, 9, 16, 5, 9, 33, 59
vc3r, 2026-07-12T19:22:02Z, 962, 120, 12, 60, 6, 162, 17, 240, 25, 380, 40
t7tu, 2026-07-01T20:02:04Z, 1907, 186, 10, 93, 5, 200, 10, 383, 20, 1045, 55
v4kd, 2026-07-20T19:21:22Z, 1270, 116, 9, 52, 4, 112, 9, 235, 19, 755, 59
tknf, 2026-07-01T20:14:13Z, 54, 7, 13, 2, 4, 12, 22, 7, 13, 26, 48
u06s, 2026-07-01T20:15:02Z, 6, 1, 17, 0, 0, 0, 0, 1, 17, 4, 67
s3ny, 2026-07-19T19:11:10Z, 1523, 127, 8, 46, 3, 113, 7, 200, 13, 1037, 68
s3wh, 2026-07-01T19:52:15Z, 230, 57, 25, 12, 5, 28, 12, 50, 22, 83, 36
ki9u, 2026-07-01T19:29:07Z, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100
s8dn, 2026-07-19T19:11:34Z, 2335, 426, 18, 187, 8, 276, 12, 439, 19, 1007, 43
k0lc, 2026-07-18T19:08:19Z, 245, 69, 28, 22, 9, 29, 12, 33, 13, 92, 38
haa1, 2026-07-18T19:04:12Z, 549, 51, 9, 17, 3, 64, 12, 119, 22, 298, 54
qk62, 2026-07-01T19:47:15Z, 237, 59, 25, 15, 6, 30, 13, 35, 15, 98, 41
