rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
nc8g, 2025-06-14T19:05:46Z, 317, 39, 12, 20, 6, 34, 11, 46, 15, 178, 56
u4nd, 2025-06-02T19:10:58Z, 639, 56, 9, 32, 5, 83, 13, 135, 21, 333, 52
k5ww, 2025-06-01T19:16:59Z, 748, 198, 26, 65, 9, 101, 14, 118, 16, 266, 36
k5du, 2025-06-13T19:04:47Z, 975, 151, 15, 71, 7, 112, 11, 181, 19, 460, 47
bvf1, 2025-06-01T19:05:02Z, 7, 1, 14, 0, 0, 1, 14, 0, 0, 5, 71
kd7l, 2025-06-11T19:05:39Z, 365, 28, 8, 13, 4, 32, 9, 78, 21, 214, 59
u2mp, 2025-06-14T19:13:03Z, 1561, 164, 11, 78, 5, 191, 12, 322, 21, 806, 52
e5sg, 2025-06-14T19:01:50Z, 2794, 332, 12, 135, 5, 247, 9, 558, 20, 1522, 54
filb, 2025-06-01T19:11:00Z, 163, 9, 6, 4, 2, 17, 10, 33, 20, 100, 61
n6af, 2025-06-01T19:29:08Z, 455, 27, 6, 14, 3, 45, 10, 83, 18, 286, 63
u0ni, 2025-06-14T19:10:14Z, 533, 61, 11, 30, 6, 59, 11, 90, 17, 293, 55
kpds, 2025-06-14T19:05:17Z, 415, 54, 13, 29, 7, 53, 13, 70, 17, 209, 50
toy2, 2025-06-14T19:11:41Z, 2804, 353, 13, 111, 4, 253, 9, 481, 17, 1606, 57
d9jk, 2025-06-01T19:09:56Z, 35, 6, 17, 3, 9, 7, 20, 6, 17, 13, 37
qo3m, 2025-06-01T19:30:10Z, 315, 15, 5, 10, 3, 18, 6, 50, 16, 222, 70
s2nb, 2025-06-14T19:13:27Z, 759, 69, 9, 33, 4, 76, 10, 133, 18, 448, 59
m92a, 2025-06-01T19:26:26Z, 569, 249, 44, 59, 10, 60, 11, 57, 10, 144, 25
u06s, 2025-06-01T19:49:29Z, 6, 1, 17, 0, 0, 0, 0, 1, 17, 4, 67
s3ny, 2025-06-12T19:09:17Z, 1338, 118, 9, 43, 3, 105, 8, 182, 14, 890, 67
u6fs, 2025-06-13T19:14:49Z, 722, 75, 10, 22, 3, 57, 8, 114, 16, 454, 63
t8xa, 2025-06-01T19:41:42Z, 475, 60, 13, 37, 8, 55, 12, 67, 14, 256, 54
gs3j, 2025-06-14T19:02:38Z, 567, 38, 7, 9, 2, 48, 8, 94, 17, 378, 67
iw9k, 2025-06-04T19:04:16Z, 1323, 291, 22, 91, 7, 219, 17, 285, 22, 437, 33
s7hi, 2025-06-14T19:11:03Z, 1510, 133, 9, 67, 4, 149, 10, 313, 21, 848, 56
cqb1, 2025-06-14T19:01:03Z, 26, 6, 23, 4, 15, 1, 4, 1, 4, 14, 54
k8nj, 2025-06-14T19:04:53Z, 59, 17, 29, 8, 14, 5, 8, 7, 12, 22, 37
u8xl, 2025-06-14T19:11:09Z, 1856, 265, 14, 103, 6, 227, 12, 421, 23, 840, 45
s2yh, 2025-06-14T19:10:42Z, 13238, 1420, 11, 576, 4, 1336, 10, 2562, 19, 7344, 55
s8mp, 2025-06-14T19:08:19Z, 2748, 191, 7, 86, 3, 199, 7, 362, 13, 1910, 70
rbiy, 2025-06-14T19:09:06Z, 5733, 633, 11, 275, 5, 637, 11, 1253, 22, 2935, 51
mdea, 2025-06-14T19:06:45Z, 3544, 424, 12, 208, 6, 437, 12, 663, 19, 1812, 51
lf2o, 2025-06-10T19:04:42Z, 191, 41, 21, 14, 7, 22, 12, 42, 22, 72, 38
wgm6, 2025-06-01T20:00:17Z, 37, 3, 8, 1, 3, 1, 3, 2, 5, 30, 81
btyr, 2025-06-14T19:01:12Z, 39, 3, 8, 3, 8, 5, 13, 7, 18, 21, 54
a2y0, None, 0, TypeError('cannot unpack non-iterable NoneType object')
s3qa, 2025-06-14T19:09:56Z, 6232, 448, 7, 213, 3, 536, 9, 1084, 17, 3951, 63
zen3, 2025-06-14T19:16:37Z, 298, 42, 14, 19, 6, 51, 17, 62, 21, 124, 42
th8d, 2025-06-01T19:43:47Z, 2, 0, 0, 0, 0, 0, 0, 1, 50, 1, 50
s00k, 2025-06-14T19:07:42Z, 285, 18, 6, 8, 3, 17, 6, 43, 15, 199, 70
f4hh, 2025-06-07T19:02:33Z, 28, 4, 14, 0, 0, 2, 7, 4, 14, 18, 64
uzzh, 2025-06-14T19:15:02Z, 815, 205, 25, 64, 8, 133, 16, 133, 16, 280, 34
h0ow, 2025-06-14T19:03:59Z, 543, 59, 11, 20, 4, 37, 7, 83, 15, 344, 63
pny2, 2025-06-01T19:30:36Z, 67, 4, 6, 0, 0, 4, 6, 10, 15, 49, 73
esde, 2025-06-01T19:10:20Z, 12, 1, 8, 0, 0, 0, 0, 4, 33, 7, 58
k0fy, 2025-06-10T19:04:00Z, 294, 10, 3, 14, 5, 20, 7, 51, 17, 199, 68
f7c4, 2025-06-01T19:08:51Z, 3, 2, 67, 0, 0, 0, 0, 1, 33, 0, 0
ps7w, 2025-06-14T19:08:34Z, 4286, 158, 4, 103, 2, 292, 7, 625, 15, 3108, 73
s3dj, 2025-06-14T19:07:56Z, 14410, 1924, 13, 796, 6, 1495, 10, 2887, 20, 7308, 51
s2dj, 2025-06-14T19:09:56Z, 4188, 349, 8, 187, 4, 418, 10, 792, 19, 2442, 58
t5rz, 2025-06-14T19:15:11Z, 15306, 928, 6, 450, 3, 1227, 8, 2933, 19, 9768, 64
