rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
jzby, 2025-11-01T19:21:52Z, 1, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0
p7au, 2025-11-09T19:09:52Z, 525, 79, 15, 22, 4, 48, 9, 87, 17, 289, 55
p186, 2025-11-17T19:07:42Z, 583, 53, 9, 17, 3, 45, 8, 81, 14, 387, 66
g3hv, 2025-11-14T19:04:16Z, 386, 114, 30, 29, 8, 58, 15, 55, 14, 130, 34
k0fy, 2025-11-01T19:27:10Z, 306, 12, 4, 14, 5, 22, 7, 52, 17, 206, 67
j7qe, 2025-11-17T19:04:23Z, 97, 15, 15, 4, 4, 8, 8, 17, 18, 53, 55
hfvz, 2025-11-01T19:17:27Z, 8, 2, 25, 1, 13, 1, 13, 0, 0, 4, 50
s2pr, 2025-11-17T19:11:41Z, 224, 18, 8, 18, 8, 25, 11, 36, 16, 127, 57
qtek, 2025-11-15T19:09:27Z, 226, 37, 16, 13, 6, 33, 15, 38, 17, 105, 46
cpbk, 2025-11-14T19:02:01Z, 538, 220, 41, 45, 8, 63, 12, 66, 12, 144, 27
kpds, 2025-11-17T19:08:42Z, 602, 73, 12, 41, 7, 76, 13, 98, 16, 314, 52
twyj, 2025-11-17T19:16:14Z, 1980, 230, 12, 83, 4, 195, 10, 416, 21, 1056, 53
zy4g, 2025-11-17T19:17:19Z, 222, 12, 5, 5, 2, 19, 9, 39, 18, 147, 66
e2fm, 2025-11-01T19:12:19Z, 322, 25, 8, 19, 6, 27, 8, 61, 19, 190, 59
x6wl, 2025-11-01T20:14:26Z, 1101, 276, 25, 110, 10, 170, 15, 170, 15, 375, 34
sqak, 2025-11-17T19:14:57Z, 1268, 436, 34, 128, 10, 178, 14, 172, 14, 354, 28
t2ul, 2025-11-16T19:12:32Z, 5402, 875, 16, 379, 7, 795, 15, 1102, 20, 2251, 42
r7h7, 2025-11-15T19:10:15Z, 57, 7, 12, 4, 7, 3, 5, 6, 11, 37, 65
s6nc, 2025-11-16T19:11:54Z, 1180, 180, 15, 30, 3, 84, 7, 221, 19, 665, 56
u6fs, 2025-11-15T19:16:13Z, 783, 78, 10, 23, 3, 60, 8, 120, 15, 502, 64
vc3r, 2025-11-13T19:13:46Z, 939, 118, 13, 59, 6, 158, 17, 238, 25, 366, 39
jjxw, 2025-11-17T19:04:12Z, 3684, 418, 11, 172, 5, 312, 8, 646, 18, 2136, 58
irmi, 2025-11-01T19:20:38Z, 63, 3, 5, 4, 6, 9, 14, 6, 10, 41, 65
g35l, 2025-11-11T19:01:34Z, 138, 22, 16, 5, 4, 22, 16, 28, 20, 61, 44
fzqa, 2025-11-01T19:14:20Z, 104, 16, 15, 2, 2, 14, 13, 18, 17, 54, 52
acn9, 2025-11-01T19:02:42Z, 581, 51, 9, 31, 5, 58, 10, 92, 16, 349, 60
p945, 2025-11-09T19:06:38Z, 189, 20, 11, 9, 5, 13, 7, 37, 20, 110, 58
zen3, 2025-11-17T19:17:14Z, 352, 46, 13, 20, 6, 57, 16, 74, 21, 155, 44
b41r, 2025-11-17T19:00:35Z, 5964, 322, 5, 164, 3, 356, 6, 779, 13, 4343, 73
qjga, 2025-11-16T19:07:45Z, 1371, 93, 7, 36, 3, 131, 10, 270, 20, 841, 61
filb, 2025-11-01T19:14:05Z, 163, 9, 6, 4, 2, 17, 10, 33, 20, 100, 61
luzf, 2025-11-01T19:26:05Z, 17, 6, 35, 1, 6, 2, 12, 1, 6, 7, 41
s2zn, 2025-11-17T19:17:37Z, 20850, 1160, 6, 613, 3, 1632, 8, 4018, 19, 13427, 64
ho0l, 2025-11-12T19:03:21Z, 157, 11, 7, 9, 6, 13, 8, 32, 20, 92, 59
s9ed, 2025-11-17T19:11:49Z, 25162, 2891, 11, 1179, 5, 2502, 10, 4656, 19, 13934, 55
qk62, 2025-11-13T19:07:14Z, 227, 56, 25, 15, 7, 28, 12, 34, 15, 94, 41
ghtn, 2025-11-01T19:15:43Z, 14, 1, 7, 0, 0, 3, 21, 1, 7, 9, 64
f7c4, 2025-11-01T19:15:59Z, 3, 2, 67, 0, 0, 0, 0, 1, 33, 0, 0
a378, 2025-11-01T19:00:15Z, 568, 183, 32, 54, 10, 58, 10, 76, 13, 197, 35
lyun, 2025-11-13T19:05:45Z, 91, 29, 32, 7, 8, 7, 8, 18, 20, 30, 33
s0wl, 2025-11-17T19:06:20Z, 13327, 1116, 8, 449, 3, 1065, 8, 2240, 17, 8457, 63
z1hj, 2025-11-17T19:17:14Z, 1586, 325, 20, 129, 8, 211, 13, 250, 16, 671, 42
dkot, 2025-11-17T19:01:33Z, 8568, 780, 9, 352, 4, 794, 9, 1497, 17, 5145, 60
uf3u, 2025-11-17T19:18:57Z, 1063, 77, 7, 40, 4, 75, 7, 147, 14, 724, 68
h2f2, 2025-11-17T19:02:44Z, 1224, 133, 11, 68, 6, 168, 14, 255, 21, 600, 49
wils, 2025-11-10T19:18:19Z, 275, 46, 17, 16, 6, 35, 13, 62, 23, 116, 42
tiz6, 2025-11-17T19:16:14Z, 800, 79, 10, 37, 5, 81, 10, 134, 17, 469, 59
h0ow, 2025-11-17T19:03:07Z, 627, 66, 11, 25, 4, 45, 7, 94, 15, 397, 63
klxh, 2025-11-17T19:06:05Z, 860, 49, 6, 15, 2, 66, 8, 217, 25, 513, 60
u2ft, 2025-11-01T19:54:32Z, 454, 55, 12, 21, 5, 53, 12, 83, 18, 242, 53
