rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
s5vb, 2025-10-13T19:09:54Z, 6196, 480, 8, 275, 4, 696, 11, 1266, 20, 3479, 56
lh6q, 2025-10-13T19:06:36Z, 607, 41, 7, 21, 3, 56, 9, 85, 14, 404, 67
o3ss, 2025-10-13T19:08:47Z, 645, 57, 9, 24, 4, 44, 7, 90, 14, 430, 67
tiz6, 2025-10-09T19:14:39Z, 774, 77, 10, 36, 5, 78, 10, 127, 16, 456, 59
h5lo, 2025-10-01T19:16:32Z, 6, 0, 0, 3, 50, 1, 17, 1, 17, 1, 17
t0bz, 2025-10-01T19:48:35Z, 250, 24, 10, 19, 8, 29, 12, 36, 14, 142, 57
e2fm, 2025-10-01T19:10:30Z, 322, 25, 8, 19, 6, 27, 8, 61, 19, 190, 59
mj26, 2025-10-10T19:08:13Z, 96, 29, 30, 11, 11, 14, 15, 9, 9, 33, 34
eome, 2025-10-13T19:02:22Z, 230, 13, 6, 5, 2, 15, 7, 27, 12, 170, 74
ghtn, 2025-10-01T19:13:56Z, 14, 1, 7, 0, 0, 3, 21, 1, 7, 9, 64
bccp, 2025-10-11T19:00:43Z, 2417, 191, 8, 116, 5, 266, 11, 511, 21, 1333, 55
iw9k, 2025-10-01T19:19:33Z, 1416, 315, 22, 97, 7, 240, 17, 299, 21, 465, 33
yufs, 2025-10-13T19:18:06Z, 1787, 134, 8, 57, 3, 162, 9, 275, 15, 1159, 65
s2pr, 2025-10-10T19:08:51Z, 214, 17, 8, 17, 8, 25, 12, 33, 15, 122, 57
u2mp, 2025-10-13T19:15:33Z, 1692, 172, 10, 84, 5, 208, 12, 349, 21, 879, 52
n7us, 2025-10-01T19:30:34Z, 733, 62, 8, 29, 4, 87, 12, 142, 19, 413, 56
nrbc, 2025-10-01T19:28:14Z, 90, 12, 13, 7, 8, 14, 16, 16, 18, 41, 46
f80g, 2025-10-01T19:12:35Z, 124, 11, 9, 8, 6, 11, 9, 17, 14, 77, 62
upge, 2025-10-01T20:05:09Z, 31, 10, 32, 5, 16, 1, 3, 2, 6, 13, 42
d4t8, 2025-10-13T19:01:05Z, 33, 5, 15, 0, 0, 2, 6, 3, 9, 23, 70
klch, 2025-10-13T19:07:12Z, 1920, 237, 12, 123, 6, 218, 11, 341, 18, 1001, 52
r26z, 2025-10-13T19:13:45Z, 973, 370, 38, 65, 7, 125, 13, 95, 10, 318, 33
t5xx, 2025-10-13T19:14:21Z, 2683, 448, 17, 172, 6, 352, 13, 500, 19, 1211, 45
s4ve, 2025-10-13T19:10:50Z, 7830, 1249, 16, 493, 6, 1012, 13, 1622, 21, 3454, 44
s7kn, 2025-10-13T19:10:53Z, 2420, 177, 7, 91, 4, 217, 9, 489, 20, 1446, 60
ucb4, 2025-10-13T19:09:39Z, 2917, 280, 10, 126, 4, 228, 8, 525, 18, 1758, 60
duvw, 2025-10-12T19:02:59Z, 2366, 238, 10, 98, 4, 194, 8, 478, 20, 1358, 57
ndec, 2025-10-11T19:05:19Z, 1256, 171, 14, 62, 5, 156, 12, 221, 18, 646, 51
y5ch, 2025-10-13T19:17:29Z, 3545, 373, 11, 192, 5, 366, 10, 676, 19, 1938, 55
d6kv, 2025-10-13T19:02:32Z, 1830, 142, 8, 73, 4, 214, 12, 387, 21, 1014, 55
on1b, 2025-10-10T19:09:51Z, 182, 40, 22, 11, 6, 26, 14, 27, 15, 78, 43
v2vg, 2025-10-01T20:07:07Z, 2045, 199, 10, 99, 5, 178, 9, 339, 17, 1230, 60
s8mp, 2025-10-13T19:14:33Z, 2962, 206, 7, 94, 3, 217, 7, 388, 13, 2057, 69
s9az, 2025-10-11T19:14:09Z, 290, 34, 12, 17, 6, 26, 9, 50, 17, 163, 56
styd, 2025-10-13T19:13:11Z, 710, 251, 35, 44, 6, 85, 12, 77, 11, 253, 36
hbgy, 2025-10-01T19:19:52Z, 54, 21, 39, 4, 7, 5, 9, 5, 9, 19, 35
u6jz, 2025-10-10T19:17:36Z, 951, 97, 10, 38, 4, 102, 11, 168, 18, 546, 57
nsan, 2025-10-01T19:28:36Z, 1189, 86, 7, 39, 3, 76, 6, 189, 16, 799, 67
s685, 2025-10-13T19:10:57Z, 1160, 175, 15, 66, 6, 154, 13, 216, 19, 549, 47
s9ed, 2025-10-13T19:08:21Z, 24514, 2799, 11, 1157, 5, 2440, 10, 4544, 19, 13574, 55
ig7k, 2025-10-01T19:21:03Z, 13, 2, 15, 2, 15, 4, 31, 2, 15, 3, 23
w8cg, 2025-10-13T19:17:10Z, 1288, 418, 32, 134, 10, 157, 12, 176, 14, 403, 31
filb, 2025-10-01T19:11:58Z, 163, 9, 6, 4, 2, 17, 10, 33, 20, 100, 61
k5ww, 2025-10-01T19:23:42Z, 763, 201, 26, 66, 9, 102, 13, 120, 16, 274, 36
f7c4, 2025-10-01T19:12:38Z, 3, 2, 67, 0, 0, 0, 0, 1, 33, 0, 0
foia, 2025-10-01T19:12:24Z, 1673, 95, 6, 74, 4, 168, 10, 330, 20, 1006, 60
wphd, 2025-10-13T19:18:10Z, 380, 27, 7, 19, 5, 25, 7, 72, 19, 237, 62
s2om, 2025-10-08T19:10:10Z, 631, 73, 12, 40, 6, 73, 12, 135, 21, 310, 49
s2rx, 2025-10-01T19:46:41Z, 3130, 358, 11, 172, 6, 396, 13, 665, 21, 1539, 49
k5du, 2025-10-13T19:07:12Z, 1095, 172, 16, 76, 7, 127, 12, 204, 19, 516, 47
