rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
u0fu, 2025-01-12T19:24:28Z, 1148, 114, 10, 60, 5, 119, 10, 245, 21, 610, 53
u9uk, 2025-01-14T19:22:10Z, 1892, 173, 9, 75, 4, 217, 11, 446, 24, 981, 52
u2ky, 2025-01-14T19:22:06Z, 5987, 276, 5, 100, 2, 272, 5, 793, 13, 4546, 76
u7ou, 2025-01-01T20:02:58Z, 3922, 524, 13, 204, 5, 426, 11, 765, 20, 2003, 51
u9sa, 2025-01-11T19:18:22Z, 2070, 119, 6, 48, 2, 144, 7, 358, 17, 1401, 68
b41r, 2025-01-14T19:01:03Z, 4854, 267, 6, 144, 3, 301, 6, 664, 14, 3478, 72
twyj, 2025-01-14T19:21:36Z, 734, 86, 12, 31, 4, 76, 10, 163, 22, 378, 52
s7zi, 2025-01-14T19:12:29Z, 2264, 293, 13, 94, 4, 218, 10, 472, 21, 1187, 52
cv8h, 2025-01-09T19:03:02Z, 186, 27, 15, 7, 4, 19, 10, 22, 12, 111, 60
jjxw, 2025-01-14T19:07:35Z, 2152, 227, 11, 106, 5, 176, 8, 384, 18, 1259, 59
otkz, 2025-01-14T19:06:38Z, 1876, 103, 5, 67, 4, 159, 8, 375, 20, 1172, 62
s7kn, 2025-01-14T19:09:22Z, 2155, 161, 7, 87, 4, 207, 10, 441, 20, 1259, 58
lyun, 2025-01-10T19:05:52Z, 53, 16, 30, 4, 8, 3, 6, 13, 25, 17, 32
cxdq, 2025-01-14T19:01:21Z, 473, 96, 20, 32, 7, 61, 13, 71, 15, 213, 45
jzby, 2025-01-01T19:17:52Z, 1, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0
u9xd, 2025-01-11T19:17:59Z, 2170, 174, 8, 65, 3, 189, 9, 342, 16, 1400, 65
uf3u, 2025-01-14T19:18:45Z, 365, 22, 6, 16, 4, 35, 10, 51, 14, 241, 66
e2vv, 2025-01-12T19:02:25Z, 163, 5, 3, 1, 1, 3, 2, 5, 3, 149, 91
g35l, 2025-01-14T19:03:09Z, 40, 11, 28, 1, 3, 9, 23, 8, 20, 11, 28
ipop, 2025-01-01T19:15:30Z, 5, 2, 40, 0, 0, 0, 0, 0, 0, 3, 60
pny2, 2025-01-02T19:12:06Z, 61, 3, 5, 0, 0, 2, 3, 9, 15, 47, 77
klxh, 2025-01-14T19:04:35Z, 463, 28, 6, 7, 2, 38, 8, 119, 26, 271, 59
s5fk, 2025-01-01T19:38:55Z, 115, 14, 12, 8, 7, 16, 14, 13, 11, 64, 56
upge, 2025-01-01T20:07:47Z, 15, 5, 33, 3, 20, 1, 7, 1, 7, 5, 33
zen3, 2025-01-10T19:26:52Z, 241, 30, 12, 16, 7, 39, 16, 53, 22, 103, 43
y2dl, 2025-01-03T19:18:20Z, 3, 0, 0, 0, 0, 0, 0, 2, 67, 1, 33
xgcz, 2025-01-14T19:25:51Z, 1494, 113, 8, 59, 4, 140, 9, 279, 19, 903, 60
ecdn, 2025-01-01T19:07:44Z, 208, 37, 18, 21, 10, 25, 12, 38, 18, 87, 42
t5rz, 2025-01-14T19:14:28Z, 14459, 894, 6, 430, 3, 1171, 8, 2813, 19, 9151, 63
ilyr, 2025-01-01T19:18:48Z, 24, 6, 25, 1, 4, 3, 13, 3, 13, 11, 46
s00k, 2025-01-13T19:12:59Z, 248, 15, 6, 6, 2, 15, 6, 39, 16, 173, 70
vdrs, 2025-01-09T19:21:24Z, 56, 5, 9, 1, 2, 5, 9, 7, 13, 38, 68
eome, 2025-01-14T19:03:11Z, 80, 9, 11, 1, 1, 5, 6, 9, 11, 56, 70
t7tu, 2025-01-13T19:19:35Z, 1905, 186, 10, 93, 5, 199, 10, 383, 20, 1044, 55
u2ft, 2025-01-04T19:18:02Z, 388, 43, 11, 21, 5, 42, 11, 75, 19, 207, 53
mvz4, 2025-01-11T19:05:37Z, 1228, 70, 6, 36, 3, 96, 8, 206, 17, 820, 67
d9jk, 2025-01-01T19:06:44Z, 30, 6, 20, 2, 7, 7, 23, 6, 20, 9, 30
n6af, 2025-01-13T19:07:40Z, 429, 26, 6, 14, 3, 42, 10, 80, 19, 267, 62
s4nw, 2025-01-14T19:17:11Z, 2173, 134, 6, 76, 4, 159, 7, 353, 16, 1451, 67
s6fq, 2025-01-14T19:17:41Z, 507, 49, 10, 35, 7, 59, 12, 124, 24, 240, 47
esde, 2025-01-01T19:10:35Z, 11, 0, 0, 0, 0, 0, 0, 4, 36, 7, 64
xx0k, 2025-01-10T19:26:51Z, 76, 18, 24, 9, 12, 8, 11, 10, 13, 31, 41
q0ji, 2025-01-12T19:12:38Z, 477, 44, 9, 21, 4, 55, 12, 94, 20, 263, 55
bwtk, 2025-01-14T19:01:38Z, 1188, 96, 8, 52, 4, 124, 10, 212, 18, 704, 59
s8mp, 2025-01-14T19:14:47Z, 2479, 164, 7, 77, 3, 189, 8, 328, 13, 1721, 69
s1id, 2025-01-14T19:09:02Z, 4543, 587, 13, 259, 6, 560, 12, 971, 21, 2166, 48
s6ea, 2025-01-14T19:13:23Z, 4055, 747, 18, 275, 7, 552, 14, 801, 20, 1680, 41
uzzh, 2025-01-14T19:24:32Z, 766, 194, 25, 61, 8, 129, 17, 123, 16, 259, 34
x3aw, 2025-01-14T19:25:50Z, 70, 9, 13, 7, 10, 15, 21, 10, 14, 29, 41
z614, 2025-01-14T19:26:14Z, 2896, 296, 10, 113, 4, 248, 9, 559, 19, 1680, 58
