rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
ho0l, 2025-09-01T19:20:13Z, 148, 11, 7, 7, 5, 12, 8, 29, 20, 89, 60
k5te, 2025-09-01T19:25:05Z, 738, 270, 37, 59, 8, 84, 11, 71, 10, 254, 34
s9de, 2025-09-15T19:11:18Z, 1115, 170, 15, 45, 4, 138, 12, 234, 21, 528, 47
qmuh, 2025-09-10T19:11:21Z, 155, 44, 28, 11, 7, 19, 12, 24, 15, 57, 37
tknf, 2025-09-15T19:09:16Z, 47, 6, 13, 2, 4, 10, 21, 6, 13, 23, 49
s9kh, 2025-09-01T19:52:01Z, 506, 40, 8, 19, 4, 55, 11, 79, 16, 313, 62
s8lk, 2025-09-14T19:14:12Z, 7567, 2145, 28, 605, 8, 1023, 14, 1155, 15, 2639, 35
s1og, 2025-09-01T19:42:47Z, 808, 137, 17, 45, 6, 94, 12, 157, 19, 375, 46
pz5g, 2025-09-01T19:32:17Z, 48, 9, 19, 5, 10, 4, 8, 6, 13, 24, 50
bwtk, 2025-09-15T19:00:56Z, 1566, 133, 8, 70, 4, 156, 10, 269, 17, 938, 60
rtxb, 2025-09-01T19:40:02Z, 187, 41, 22, 14, 7, 24, 13, 30, 16, 78, 42
cpbk, 2025-09-15T19:01:13Z, 527, 215, 41, 45, 9, 62, 12, 65, 12, 140, 27
k0pm, 2025-09-10T19:06:01Z, 484, 149, 31, 39, 8, 48, 10, 63, 13, 185, 38
t5h7, 2025-09-15T19:15:48Z, 136, 19, 14, 7, 5, 26, 19, 19, 14, 65, 48
dkot, 2025-09-15T19:02:34Z, 7891, 709, 9, 329, 4, 741, 9, 1399, 18, 4713, 60
iw9k, 2025-09-15T19:05:43Z, 1413, 314, 22, 97, 7, 239, 17, 299, 21, 464, 33
rzst, 2025-09-01T19:44:27Z, 95, 10, 11, 4, 4, 7, 7, 9, 9, 65, 68
vdrs, 2025-09-12T19:17:45Z, 91, 9, 10, 5, 5, 11, 12, 15, 16, 51, 56
s7hw, 2025-09-15T19:14:28Z, 3897, 247, 6, 134, 3, 336, 9, 799, 21, 2381, 61
iqiv, 2025-09-01T19:18:04Z, 13, 4, 31, 1, 8, 1, 8, 0, 0, 7, 54
s9it, 2025-09-15T19:14:26Z, 8119, 1113, 14, 441, 5, 928, 11, 1578, 19, 4059, 50
u8xl, 2025-09-01T20:03:28Z, 1871, 267, 14, 105, 6, 228, 12, 423, 23, 848, 45
wld1, 2025-09-01T20:07:08Z, 321, 47, 15, 19, 6, 40, 12, 58, 18, 157, 49
irmi, 2025-09-01T19:17:56Z, 63, 3, 5, 4, 6, 9, 14, 6, 10, 41, 65
w1v1, 2025-09-12T19:15:31Z, 344, 20, 6, 3, 1, 23, 7, 46, 13, 252, 73
oy0s, 2025-09-01T19:37:32Z, 278, 39, 14, 22, 8, 35, 13, 48, 17, 134, 48
wphd, 2025-09-15T19:12:49Z, 324, 21, 6, 18, 6, 21, 6, 62, 19, 202, 62
toy2, 2025-09-15T19:09:15Z, 3248, 400, 12, 135, 4, 296, 9, 549, 17, 1868, 58
klch, 2025-09-15T19:04:13Z, 1838, 228, 12, 117, 6, 210, 11, 329, 18, 954, 52
y2dl, 2025-09-01T20:05:55Z, 4, 0, 0, 0, 0, 0, 0, 2, 50, 2, 50
tk6d, 2025-09-02T19:11:55Z, 41, 8, 20, 2, 5, 4, 10, 6, 15, 21, 51
q0ji, 2025-09-15T19:09:54Z, 669, 65, 10, 29, 4, 75, 11, 130, 19, 370, 55
kfni, 2025-09-08T19:05:21Z, 203, 27, 13, 11, 5, 20, 10, 41, 20, 104, 51
qtek, 2025-09-15T19:11:18Z, 221, 36, 16, 12, 5, 32, 14, 36, 16, 105, 48
esde, 2025-09-01T19:10:56Z, 12, 1, 8, 0, 0, 0, 0, 4, 33, 7, 58
fzqa, 2025-09-01T19:14:07Z, 104, 16, 15, 2, 2, 14, 13, 18, 17, 54, 52
gune, 2025-09-15T19:04:00Z, 920, 135, 15, 63, 7, 106, 12, 168, 18, 448, 49
pojr, 2025-09-15T19:11:18Z, 3948, 316, 8, 170, 4, 390, 10, 827, 21, 2245, 57
qo3m, 2025-09-01T19:37:33Z, 315, 15, 5, 10, 3, 18, 6, 50, 16, 222, 70
u5sa, 2025-09-15T19:12:59Z, 3753, 813, 22, 282, 8, 469, 13, 663, 18, 1526, 41
mj26, 2025-09-15T19:07:14Z, 92, 29, 32, 9, 10, 13, 14, 9, 10, 32, 35
n2qc, 2025-09-15T19:08:17Z, 1283, 131, 10, 57, 4, 115, 9, 238, 19, 742, 58
t0bz, 2025-09-01T19:42:34Z, 249, 24, 10, 19, 8, 29, 12, 36, 14, 141, 57
q5du, 2025-09-10T19:08:06Z, 292, 102, 35, 21, 7, 42, 14, 35, 12, 92, 32
psty, 2025-09-14T19:06:32Z, 1225, 59, 5, 46, 4, 108, 9, 210, 17, 802, 65
u9ow, 2025-09-15T19:17:02Z, 1247, 110, 9, 47, 4, 118, 9, 172, 14, 800, 64
m8yt, 2025-09-15T19:07:32Z, 476, 81, 17, 37, 8, 64, 13, 84, 18, 210, 44
twyj, 2025-09-15T19:09:16Z, 1573, 184, 12, 68, 4, 161, 10, 337, 21, 823, 52
s1id, 2025-09-11T19:09:01Z, 4821, 626, 13, 274, 6, 599, 12, 1016, 21, 2306, 48
injz, 2025-09-03T19:04:21Z, 51, 6, 12, 3, 6, 3, 6, 12, 24, 27, 53
