rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
upge, 2026-05-01T20:30:16Z, 31, 10, 32, 5, 16, 1, 3, 2, 6, 13, 42
v9l6, 2026-05-01T20:21:14Z, 32, 3, 9, 0, 0, 8, 25, 4, 13, 17, 53
cqb1, 2026-05-25T19:02:36Z, 63, 12, 19, 6, 10, 8, 13, 6, 10, 31, 49
jzby, 2026-05-01T19:27:24Z, 1, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0
s2xc, 2026-05-26T19:14:56Z, 3214, 249, 8, 113, 4, 280, 9, 601, 19, 1971, 61
pw9e, 2026-05-26T19:16:32Z, 1337, 80, 6, 28, 2, 111, 8, 242, 18, 876, 66
t0va, 2026-05-26T19:17:31Z, 15362, 3746, 24, 1130, 7, 2045, 13, 2485, 16, 5956, 39
d9jk, 2026-05-01T19:09:41Z, 35, 6, 17, 3, 9, 7, 20, 6, 17, 13, 37
olci, 2026-05-26T19:08:46Z, 1533, 245, 16, 109, 7, 198, 13, 273, 18, 708, 46
u4nd, 2026-05-01T20:17:04Z, 679, 63, 9, 32, 5, 86, 13, 140, 21, 358, 53
g3hv, 2026-05-08T19:03:38Z, 408, 121, 30, 30, 7, 61, 15, 56, 14, 140, 34
a2ni, 2026-05-01T19:00:23Z, 372, 70, 19, 15, 4, 25, 7, 48, 13, 214, 58
t8dz, 2026-05-26T19:13:44Z, 1744, 212, 12, 83, 5, 173, 10, 368, 21, 908, 52
u0fu, 2026-05-22T19:18:10Z, 1267, 135, 11, 64, 5, 131, 10, 269, 21, 668, 53
nrbc, 2026-05-01T19:38:11Z, 90, 12, 13, 7, 8, 14, 16, 16, 18, 41, 46
s3et, 2026-05-26T19:10:36Z, 2332, 345, 15, 142, 6, 276, 12, 405, 17, 1164, 50
u6fs, 2026-05-20T19:14:20Z, 816, 81, 10, 23, 3, 65, 8, 124, 15, 523, 64
zly8, 2026-05-14T19:23:17Z, 96, 16, 17, 6, 6, 13, 14, 10, 10, 51, 53
s3wh, 2026-05-01T19:56:35Z, 230, 57, 25, 12, 5, 28, 12, 50, 22, 83, 36
s9it, 2026-05-26T19:13:45Z, 8726, 1209, 14, 477, 5, 1000, 11, 1675, 19, 4365, 50
uvpm, 2026-05-01T20:07:50Z, 94, 5, 5, 5, 5, 7, 7, 18, 19, 59, 63
v2vg, 2026-05-01T20:30:33Z, 2045, 199, 10, 99, 5, 178, 9, 339, 17, 1230, 60
s6ea, 2026-05-26T19:12:05Z, 4814, 892, 19, 318, 7, 627, 13, 929, 19, 2048, 43
cv8h, 2026-05-26T19:02:52Z, 506, 72, 14, 24, 5, 43, 9, 65, 13, 302, 60
haa1, 2026-05-26T19:03:30Z, 518, 51, 10, 18, 3, 63, 12, 108, 21, 278, 54
s7kn, 2026-05-26T19:15:11Z, 2704, 196, 7, 106, 4, 232, 9, 545, 20, 1625, 60
o75t, 2026-05-01T19:38:30Z, 90, 8, 9, 7, 8, 4, 4, 9, 10, 62, 69
u3bd, 2026-05-26T19:16:33Z, 15762, 1504, 10, 620, 4, 1327, 8, 2696, 17, 9615, 61
ki9u, 2026-05-01T19:27:59Z, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100
pusc, 2026-05-22T19:11:51Z, 583, 66, 11, 21, 4, 80, 14, 97, 17, 319, 55
btyr, 2026-05-26T19:03:08Z, 100, 14, 14, 7, 7, 11, 11, 15, 15, 53, 53
mkxc, 2026-05-01T19:37:21Z, 62, 15, 24, 3, 5, 8, 13, 6, 10, 30, 48
st1p, 2026-05-01T20:16:19Z, 4067, 676, 17, 283, 7, 516, 13, 738, 18, 1854, 46
z614, 2026-05-26T19:19:09Z, 4881, 492, 10, 183, 4, 402, 8, 902, 18, 2902, 59
k5ww, 2026-05-24T19:06:01Z, 808, 214, 26, 68, 8, 107, 13, 125, 15, 294, 36
acn9, 2026-05-01T19:01:24Z, 581, 51, 9, 31, 5, 58, 10, 92, 16, 349, 60
h5lo, 2026-05-01T19:19:17Z, 6, 0, 0, 3, 50, 1, 17, 1, 17, 1, 17
gune, 2026-05-26T19:02:49Z, 2067, 328, 16, 119, 6, 241, 12, 343, 17, 1036, 50
x2t4, None, 0, TypeError('cannot unpack non-iterable NoneType object')
r7h7, 2026-05-25T19:10:40Z, 77, 10, 13, 4, 5, 6, 8, 9, 12, 48, 62
t1ez, 2026-05-26T19:13:41Z, 2107, 507, 24, 125, 6, 280, 13, 334, 16, 861, 41
f7c4, 2026-05-01T19:15:29Z, 3, 2, 67, 0, 0, 0, 0, 1, 33, 0, 0
t6zm, 2026-05-26T19:17:57Z, 1338, 91, 7, 52, 4, 102, 8, 207, 15, 886, 66
s5gr, 2026-05-01T19:58:00Z, 859, 68, 8, 26, 3, 76, 9, 163, 19, 526, 61
lb5h, 2026-05-26T19:06:57Z, 5352, 909, 17, 320, 6, 561, 10, 754, 14, 2808, 52
ucb4, 2026-05-26T19:16:44Z, 3398, 328, 10, 143, 4, 270, 8, 592, 17, 2065, 61
iqiv, 2026-05-01T19:25:14Z, 13, 4, 31, 1, 8, 1, 8, 0, 0, 7, 54
c1i0, 2026-05-01T19:06:20Z, 18, 1, 6, 0, 0, 1, 6, 1, 6, 15, 83
s4lt, 2026-05-26T19:12:48Z, 5351, 431, 8, 254, 5, 556, 10, 1070, 20, 3040, 57
nmgs, 2026-05-01T19:37:52Z, 516, 121, 23, 58, 11, 64, 12, 65, 13, 208, 40
