rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
lf2o, 2026-03-01T19:32:15Z, 196, 42, 21, 14, 7, 23, 12, 42, 21, 75, 38
mkxc, 2026-03-01T19:34:13Z, 62, 15, 24, 3, 5, 8, 13, 6, 10, 30, 48
f4hh, 2026-03-22T19:01:51Z, 40, 6, 15, 2, 5, 3, 8, 5, 13, 24, 60
qtek, 2026-03-17T19:08:56Z, 241, 42, 17, 15, 6, 38, 16, 39, 16, 107, 44
jjxw, 2026-03-26T19:04:37Z, 4301, 472, 11, 199, 5, 363, 8, 746, 17, 2521, 59
w8cg, 2026-03-20T19:12:46Z, 1345, 441, 33, 136, 10, 164, 12, 181, 13, 423, 31
t1gq, 2026-03-26T19:14:01Z, 778, 115, 15, 56, 7, 83, 11, 142, 18, 382, 49
h2f2, 2026-03-26T19:03:49Z, 1282, 140, 11, 69, 5, 177, 14, 265, 21, 631, 49
l3s6, 2026-03-01T19:31:30Z, 151, 37, 25, 12, 8, 18, 12, 20, 13, 64, 42
lfyq, 2026-03-01T19:29:04Z, 1, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0
r26z, 2026-03-26T19:08:50Z, 1261, 480, 38, 94, 7, 155, 12, 128, 10, 404, 32
kdop, 2026-03-26T19:08:02Z, 1224, 150, 12, 68, 6, 128, 10, 203, 17, 675, 55
s9rc, 2026-03-26T19:10:24Z, 4562, 415, 9, 221, 5, 410, 9, 749, 16, 2767, 61
s9sd, 2026-03-01T19:58:20Z, 2014, 104, 5, 76, 4, 157, 8, 452, 22, 1225, 61
k5te, 2026-03-26T19:05:20Z, 775, 288, 37, 59, 8, 85, 11, 74, 10, 269, 35
u06s, 2026-03-01T19:56:46Z, 6, 1, 17, 0, 0, 0, 0, 1, 17, 4, 67
pz6t, 2026-03-26T19:07:19Z, 4916, 446, 9, 201, 4, 434, 9, 804, 16, 3031, 62
qjga, 2026-03-26T19:07:01Z, 1431, 97, 7, 38, 3, 137, 10, 283, 20, 876, 61
iqiv, 2026-03-01T19:24:15Z, 13, 4, 31, 1, 8, 1, 8, 0, 0, 7, 54
w227, 2026-03-26T19:18:25Z, 3748, 686, 18, 273, 7, 400, 11, 624, 17, 1765, 47
t5dw, 2026-03-26T19:15:25Z, 4677, 597, 13, 253, 5, 550, 12, 948, 20, 2329, 50
l8ae, 2026-03-01T19:33:51Z, 11, 4, 36, 2, 18, 0, 0, 2, 18, 3, 27
s5cj, 2026-03-26T19:12:49Z, 44131, 3255, 7, 1583, 4, 4004, 9, 9137, 21, 26152, 59
v2vg, 2026-03-01T20:17:55Z, 2045, 199, 10, 99, 5, 178, 9, 339, 17, 1230, 60
wwr9, 2026-03-26T19:16:56Z, 1582, 295, 19, 91, 6, 187, 12, 263, 17, 746, 47
cqe6, 2026-03-01T19:08:34Z, 507, 162, 32, 58, 11, 49, 10, 41, 8, 197, 39
s2nb, 2026-03-26T19:09:28Z, 1059, 101, 10, 46, 4, 99, 9, 196, 19, 617, 58
dbll, 2026-03-26T19:01:24Z, 1231, 125, 10, 63, 5, 119, 10, 267, 22, 657, 53
s9it, 2026-03-26T19:10:29Z, 8592, 1190, 14, 469, 5, 989, 12, 1658, 19, 4286, 50
v7iw, 2026-03-01T20:21:11Z, 170, 12, 7, 9, 5, 8, 5, 23, 14, 118, 69
t7tu, 2026-03-01T20:01:14Z, 1907, 186, 10, 93, 5, 200, 10, 383, 20, 1045, 55
pwi1, 2026-03-26T19:12:01Z, 1102, 106, 10, 53, 5, 141, 13, 197, 18, 605, 55
s2an, 2026-03-01T19:46:09Z, 748, 64, 9, 29, 4, 71, 9, 132, 18, 452, 60
t2ul, 2026-03-01T20:02:25Z, 5403, 875, 16, 379, 7, 795, 15, 1102, 20, 2252, 42
aqc5, 2026-03-01T19:01:23Z, 3, 1, 33, 0, 0, 0, 0, 0, 0, 2, 67
s4ve, 2026-03-26T19:09:29Z, 8084, 1313, 16, 511, 6, 1052, 13, 1657, 21, 3551, 44
jymf, 2026-03-23T19:06:44Z, 31, 9, 29, 2, 6, 5, 16, 6, 19, 9, 29
s3ny, 2026-03-26T19:13:18Z, 1478, 128, 9, 47, 3, 111, 8, 192, 13, 1000, 68
k0lc, 2026-03-12T19:06:14Z, 226, 62, 27, 20, 9, 27, 12, 32, 14, 85, 38
g35l, 2026-03-19T19:02:46Z, 159, 23, 14, 6, 4, 22, 14, 31, 20, 77, 48
rtxb, 2026-03-01T19:50:52Z, 187, 41, 22, 14, 7, 24, 13, 30, 16, 78, 42
u3bd, 2026-03-26T19:11:57Z, 15497, 1476, 10, 610, 4, 1310, 8, 2658, 17, 9443, 61
ki9u, 2026-03-01T19:29:20Z, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100
fzqa, 2026-03-01T19:17:05Z, 104, 16, 15, 2, 2, 14, 13, 18, 17, 54, 52
izvp, 2026-03-01T19:23:29Z, 159, 62, 39, 11, 7, 18, 11, 14, 9, 54, 34
qpt6, 2026-03-01T19:43:18Z, 243, 40, 16, 15, 6, 22, 9, 42, 17, 124, 51
wvzp, 2026-03-26T19:14:32Z, 1681, 79, 5, 32, 2, 110, 7, 199, 12, 1261, 75
zly8, 2026-03-26T19:18:55Z, 91, 16, 18, 6, 7, 13, 14, 10, 11, 46, 51
tk6d, 2026-03-09T19:13:14Z, 61, 13, 21, 3, 5, 4, 7, 9, 15, 32, 52
ho0l, 2026-03-01T19:20:45Z, 171, 12, 7, 9, 5, 14, 8, 33, 19, 103, 60
