rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
hbgy, 2025-12-01T19:15:19Z, 54, 21, 39, 4, 7, 5, 9, 5, 9, 19, 35
oy5p, 2025-12-23T19:09:09Z, 986, 109, 11, 44, 4, 105, 11, 183, 19, 545, 55
lb5h, 2025-12-23T19:09:24Z, 4716, 782, 17, 286, 6, 504, 11, 675, 14, 2469, 52
jjxw, 2025-12-23T19:07:23Z, 3862, 435, 11, 178, 5, 327, 8, 685, 18, 2237, 58
s6fq, 2025-12-20T19:10:04Z, 612, 65, 11, 39, 6, 74, 12, 149, 24, 285, 47
v7iw, 2025-12-01T20:01:27Z, 168, 11, 7, 9, 5, 7, 4, 23, 14, 118, 70
p66p, 2025-12-23T19:06:43Z, 8142, 499, 6, 211, 3, 505, 6, 1162, 14, 5765, 71
qmuh, 2025-12-06T19:11:28Z, 164, 45, 27, 12, 7, 20, 12, 25, 15, 62, 38
ipop, 2025-12-01T19:22:43Z, 10, 3, 30, 0, 0, 0, 0, 2, 20, 5, 50
la44, 2025-12-23T19:08:09Z, 1881, 180, 10, 90, 5, 183, 10, 270, 14, 1158, 62
m371, 2025-12-23T19:08:09Z, 309, 93, 30, 24, 8, 32, 10, 31, 10, 129, 42
sqhd, 2025-12-22T19:11:16Z, 836, 132, 16, 53, 6, 106, 13, 153, 18, 392, 47
s0wa, 2025-12-23T19:10:35Z, 1489, 76, 5, 25, 2, 77, 5, 188, 13, 1123, 75
z614, 2025-12-23T19:18:03Z, 4206, 421, 10, 162, 4, 355, 8, 772, 18, 2496, 59
s4ip, 2025-12-23T19:10:06Z, 770, 38, 5, 31, 4, 60, 8, 149, 19, 492, 64
x8xi, 2025-12-22T19:16:58Z, 1310, 138, 11, 67, 5, 169, 13, 268, 20, 668, 51
jymf, 2025-12-01T19:26:03Z, 29, 8, 28, 2, 7, 4, 14, 6, 21, 9, 31
q0ji, 2025-12-20T19:09:08Z, 760, 74, 10, 32, 4, 82, 11, 146, 19, 426, 56
ndec, 2025-12-16T19:06:52Z, 1268, 172, 14, 62, 5, 157, 12, 226, 18, 651, 51
oksi, 2025-12-23T19:06:40Z, 3430, 475, 14, 180, 5, 328, 10, 559, 16, 1888, 55
l8ae, 2025-12-01T19:28:00Z, 11, 4, 36, 2, 18, 0, 0, 2, 18, 3, 27
s8ev, 2025-12-01T19:54:28Z, 2971, 210, 7, 90, 3, 236, 8, 539, 18, 1896, 64
zwpd, 2025-12-23T19:16:12Z, 1487, 210, 14, 74, 5, 175, 12, 320, 22, 708, 48
lh6q, 2025-12-23T19:04:40Z, 639, 44, 7, 24, 4, 57, 9, 91, 14, 423, 66
o1yu, 2025-12-23T19:08:41Z, 5878, 673, 11, 197, 3, 564, 10, 1124, 19, 3320, 56
mj26, 2025-12-16T19:05:41Z, 111, 38, 34, 12, 11, 15, 14, 9, 8, 37, 33
y33d, 2025-12-23T19:15:37Z, 87, 9, 10, 9, 10, 8, 9, 14, 16, 47, 54
s4ve, 2025-12-23T19:08:08Z, 7949, 1275, 16, 505, 6, 1033, 13, 1636, 21, 3500, 44
cqb1, 2025-12-01T19:08:08Z, 43, 10, 23, 6, 14, 4, 9, 4, 9, 19, 44
t0bz, 2025-12-01T19:51:00Z, 250, 24, 10, 19, 8, 29, 12, 36, 14, 142, 57
kd7l, 2025-12-21T19:05:20Z, 407, 35, 9, 13, 3, 35, 9, 86, 21, 238, 58
s2dj, 2025-12-23T19:12:40Z, 4522, 371, 8, 207, 5, 448, 10, 849, 19, 2647, 59
jx0o, 2025-12-17T19:07:15Z, 68, 15, 22, 5, 7, 6, 9, 6, 9, 36, 53
haa1, 2025-12-21T19:05:10Z, 405, 39, 10, 13, 3, 51, 13, 80, 20, 222, 55
c1i0, 2025-12-01T19:05:02Z, 18, 1, 6, 0, 0, 1, 6, 1, 6, 15, 83
u2mp, 2025-12-23T19:16:47Z, 1745, 177, 10, 87, 5, 210, 12, 361, 21, 910, 52
x3aw, 2025-12-01T20:16:25Z, 159, 25, 16, 18, 11, 31, 20, 25, 16, 60, 38
ejzc, 2025-12-01T19:13:13Z, 411, 56, 14, 18, 4, 57, 14, 86, 21, 194, 47
nrbc, 2025-12-01T19:33:20Z, 90, 12, 13, 7, 8, 14, 16, 16, 18, 41, 46
skhi, 2025-12-17T19:16:17Z, 305, 54, 18, 28, 9, 44, 14, 42, 14, 137, 45
f4hh, 2025-12-01T19:14:55Z, 37, 6, 16, 2, 5, 2, 5, 5, 14, 22, 59
t547, 2025-12-23T19:09:47Z, 707, 69, 10, 29, 4, 77, 11, 125, 18, 407, 58
s2ti, 2025-12-23T19:07:52Z, 5215, 473, 9, 242, 5, 557, 11, 1088, 21, 2855, 55
rbiy, 2025-12-23T19:12:39Z, 6330, 722, 11, 301, 5, 699, 11, 1359, 21, 3249, 51
t8dz, 2025-12-23T19:15:45Z, 1548, 191, 12, 76, 5, 156, 10, 314, 20, 811, 52
ph2k, 2025-12-01T19:37:20Z, 285, 60, 21, 29, 10, 47, 16, 44, 15, 105, 37
d4t8, 2025-12-20T19:02:23Z, 55, 5, 9, 3, 5, 2, 4, 5, 9, 40, 73
s6ua, 2025-12-23T19:15:19Z, 7088, 546, 8, 241, 3, 579, 8, 1252, 18, 4470, 63
pz5g, 2025-12-01T19:39:37Z, 48, 9, 19, 5, 10, 4, 8, 6, 13, 24, 50
k0pm, 2025-12-19T19:04:54Z, 493, 150, 30, 39, 8, 49, 10, 65, 13, 190, 39
