rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
evp2, 2026-08-27T19:03:26Z, 2051, 248, 12, 108, 5, 200, 10, 400, 20, 1095, 53
zhbi, 2026-08-01T20:42:14Z, 153, 61, 40, 14, 9, 19, 12, 13, 9, 46, 30
m92a, 2026-08-01T19:38:07Z, 579, 254, 44, 60, 10, 62, 11, 57, 10, 146, 25
nmgs, 2026-08-01T19:47:18Z, 513, 118, 23, 58, 11, 64, 12, 65, 13, 208, 41
s9mg, 2026-08-27T19:18:20Z, 12442, 1090, 9, 562, 5, 1224, 10, 2614, 21, 6952, 56
s4lt, 2026-08-27T19:14:16Z, 5534, 447, 8, 262, 5, 572, 10, 1105, 20, 3148, 57
s3wh, 2026-08-01T20:06:21Z, 230, 57, 25, 12, 5, 28, 12, 50, 22, 83, 36
x4mi, 2026-08-01T20:30:08Z, 1, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0
a2ni, 2026-08-10T15:21:05Z, 365, 65, 18, 15, 4, 25, 7, 48, 13, 212, 58
mm4y, 2026-08-27T19:07:38Z, 2916, 550, 19, 173, 6, 320, 11, 405, 14, 1468, 50
wy5x, 2026-08-01T20:33:28Z, 29, 7, 24, 4, 14, 5, 17, 2, 7, 11, 38
s685, 2026-08-27T19:14:02Z, 1292, 187, 14, 74, 6, 165, 13, 237, 18, 629, 49
oh2h, 2026-08-01T19:42:50Z, 79, 24, 30, 8, 10, 8, 10, 12, 15, 27, 34
s5gr, 2026-08-01T20:07:30Z, 858, 67, 8, 26, 3, 76, 9, 163, 19, 526, 61
v2vg, 2026-08-01T20:29:43Z, 2045, 199, 10, 99, 5, 178, 9, 339, 17, 1230, 60
u8xl, 2026-08-23T19:16:22Z, 1981, 286, 14, 112, 6, 236, 12, 441, 22, 906, 46
t0va, 2026-08-27T19:18:58Z, 15581, 3773, 24, 1153, 7, 2084, 13, 2532, 16, 6039, 39
bvf1, 2026-08-01T19:05:20Z, 7, 1, 14, 0, 0, 1, 14, 0, 0, 5, 71
s5cj, 2026-08-27T19:14:44Z, 46090, 3380, 7, 1651, 4, 4207, 9, 9541, 21, 27311, 59
dbll, 2026-08-27T19:02:19Z, 1375, 139, 10, 70, 5, 138, 10, 299, 22, 729, 53
y2dl, 2026-08-01T20:38:22Z, 5, 0, 0, 0, 0, 0, 0, 2, 40, 3, 60
i1kn, 2026-08-01T19:25:33Z, 4, 1, 25, 0, 0, 0, 0, 0, 0, 3, 75
yufs, 2026-08-25T19:21:39Z, 1959, 143, 7, 59, 3, 169, 9, 298, 15, 1290, 66
eq10, 2026-08-01T19:16:35Z, 2258, 217, 10, 82, 4, 188, 8, 378, 17, 1393, 62
aus6, 2026-08-27T19:00:29Z, 2190, 166, 8, 97, 4, 217, 10, 410, 19, 1300, 59
k5te, 2026-08-01T19:32:20Z, 779, 287, 37, 59, 8, 85, 11, 75, 10, 273, 35
atyu, 2026-08-01T19:03:10Z, 922, 135, 15, 40, 4, 99, 11, 178, 19, 470, 51
h5lo, 2026-08-01T19:24:17Z, 6, 0, 0, 3, 50, 1, 17, 1, 17, 1, 17
kwzq, 2026-08-27T19:06:44Z, 625, 65, 10, 39, 6, 89, 14, 108, 17, 324, 52
lpag, 2026-08-01T19:39:51Z, 92, 22, 24, 9, 10, 16, 17, 17, 18, 28, 30
injz, 2026-08-01T19:26:13Z, 95, 10, 11, 7, 7, 8, 8, 22, 23, 48, 51
x2t4, None, 0, TypeError('cannot unpack non-iterable NoneType object')
s3dj, 2026-08-27T19:12:05Z, 16289, 2264, 14, 904, 6, 1681, 10, 3167, 19, 8273, 51
lh6q, 2026-08-26T19:07:16Z, 764, 49, 6, 29, 4, 63, 8, 103, 13, 520, 68
ea63, 2026-08-27T19:04:22Z, 575, 43, 7, 21, 4, 46, 8, 87, 15, 378, 66
wils, 2026-08-27T19:22:07Z, 325, 52, 16, 17, 5, 43, 13, 81, 25, 132, 41
foia, 2026-08-27T19:05:20Z, 1968, 114, 6, 88, 4, 197, 10, 377, 19, 1192, 61
kdop, 2026-08-10T15:40:45Z, 1260, 152, 12, 68, 5, 131, 10, 208, 17, 701, 56
fvjp, 2026-08-10T15:37:37Z, 131, 21, 16, 12, 9, 21, 16, 29, 22, 48, 37
wfn8, 2026-08-10T15:44:45Z, 178, 8, 4, 11, 6, 30, 17, 25, 14, 104, 58
i7uc, 2026-08-27T19:07:02Z, 1895, 245, 13, 108, 6, 223, 12, 402, 21, 917, 48
bccp, 2026-08-27T19:01:36Z, 2669, 221, 8, 125, 5, 303, 11, 567, 21, 1453, 54
kh1q, 2026-08-01T19:35:34Z, 13, 2, 15, 1, 8, 0, 0, 3, 23, 7, 54
x3aw, 2026-08-01T20:34:35Z, 159, 25, 16, 18, 11, 31, 20, 25, 16, 60, 38
t7tu, 2026-08-01T20:15:49Z, 1907, 186, 10, 93, 5, 200, 10, 383, 20, 1045, 55
s6fq, 2026-08-14T19:19:23Z, 662, 70, 11, 44, 7, 77, 12, 162, 24, 309, 47
s3ny, 2026-08-21T19:10:09Z, 1531, 127, 8, 47, 3, 114, 7, 200, 13, 1043, 68
s9az, 2026-08-01T20:04:42Z, 292, 35, 12, 17, 6, 26, 9, 50, 17, 164, 56
d6kv, 2026-08-26T19:02:48Z, 1983, 162, 8, 87, 4, 229, 12, 412, 21, 1093, 55
btyr, 2026-08-01T19:06:45Z, 105, 14, 13, 7, 7, 12, 11, 18, 17, 54, 51
