rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
zwpd, 2026-09-19T19:24:13Z, 1680, 224, 13, 82, 5, 197, 12, 358, 21, 819, 49
s8ev, 2026-09-01T20:02:48Z, 2971, 210, 7, 90, 3, 236, 8, 539, 18, 1896, 64
hdr3, 2026-09-01T19:25:30Z, 43, 10, 23, 3, 7, 6, 14, 4, 9, 20, 47
d4t8, 2026-09-15T19:02:35Z, 110, 19, 17, 3, 3, 12, 11, 10, 9, 66, 60
d6kv, 2026-09-19T19:02:55Z, 2000, 165, 8, 88, 4, 231, 12, 413, 21, 1103, 55
dbll, 2026-09-19T19:02:00Z, 1401, 140, 10, 71, 5, 142, 10, 309, 22, 739, 53
erpq, 2026-09-01T19:15:45Z, 988, 155, 16, 60, 6, 108, 11, 155, 16, 510, 52
z614, 2026-09-19T19:24:15Z, 5459, 532, 10, 201, 4, 465, 9, 1021, 19, 3240, 59
ecdn, 2026-09-01T19:18:16Z, 208, 37, 18, 21, 10, 25, 12, 38, 18, 87, 42
jc93, 2026-09-01T19:31:35Z, 56, 3, 5, 6, 11, 9, 16, 5, 9, 33, 59
qk62, 2026-09-19T19:12:37Z, 241, 60, 25, 15, 6, 32, 13, 35, 15, 99, 41
k0pm, 2026-09-02T19:03:54Z, 510, 153, 30, 40, 8, 53, 10, 66, 13, 198, 39
u7ou, 2026-09-01T20:30:58Z, 4029, 550, 14, 208, 5, 441, 11, 783, 19, 2047, 51
ph2k, 2026-09-01T19:53:00Z, 281, 57, 20, 29, 10, 47, 17, 43, 15, 105, 37
y33d, 2026-09-01T20:37:46Z, 94, 9, 10, 9, 10, 9, 10, 17, 18, 50, 53
ilyr, 2026-09-01T19:29:50Z, 61, 14, 23, 4, 7, 4, 7, 12, 20, 27, 44
w227, 2026-09-19T19:19:36Z, 4515, 845, 19, 339, 8, 484, 11, 761, 17, 2086, 46
zy4g, 2026-09-01T20:45:37Z, 325, 15, 5, 7, 2, 27, 8, 48, 15, 228, 70
s4nw, 2026-09-19T19:15:02Z, 2834, 186, 7, 92, 3, 198, 7, 441, 16, 1917, 68
oksi, 2026-09-19T19:12:26Z, 4668, 623, 13, 272, 6, 438, 9, 749, 16, 2586, 55
m8yt, 2026-09-01T19:38:28Z, 485, 82, 17, 39, 8, 65, 13, 87, 18, 212, 44
s9az, 2026-09-01T20:08:17Z, 292, 35, 12, 17, 6, 26, 9, 50, 17, 164, 56
dkot, 2026-09-19T19:04:31Z, 10142, 924, 9, 406, 4, 916, 9, 1800, 18, 6096, 60
xqmm, 2026-09-19T19:24:27Z, 494, 95, 19, 22, 4, 52, 11, 90, 18, 235, 48
q0ji, 2026-09-19T19:12:16Z, 968, 97, 10, 43, 4, 108, 11, 180, 19, 540, 56
st1p, 2026-09-01T20:21:30Z, 4038, 663, 16, 278, 7, 511, 13, 737, 18, 1849, 46
s2om, 2026-09-18T19:15:28Z, 701, 81, 12, 46, 7, 83, 12, 146, 21, 345, 49
t0qo, 2026-09-19T19:15:58Z, 20600, 2375, 12, 1040, 5, 2205, 11, 4159, 20, 10821, 53
k8nj, 2026-09-19T19:07:20Z, 158, 35, 22, 14, 9, 16, 10, 24, 15, 69, 44
p0pg, 2026-09-01T19:46:45Z, 172, 16, 9, 12, 7, 13, 8, 33, 19, 98, 57
s6nh, 2026-09-19T19:13:25Z, 3661, 396, 11, 134, 4, 311, 8, 588, 16, 2232, 61
t7yr, 2026-09-01T20:13:45Z, 1756, 248, 14, 143, 8, 236, 13, 402, 23, 727, 41
u06s, 2026-09-01T20:19:11Z, 6, 1, 17, 0, 0, 0, 0, 1, 17, 4, 67
s3qh, 2026-09-19T19:14:08Z, 1875, 153, 8, 84, 4, 187, 10, 371, 20, 1080, 58
u4nd, 2026-09-01T20:21:02Z, 679, 63, 9, 32, 5, 86, 13, 140, 21, 358, 53
rqek, 2026-09-01T20:08:24Z, 211, 33, 16, 14, 7, 17, 8, 35, 17, 112, 53
mm4y, 2026-09-19T19:08:14Z, 2929, 553, 19, 174, 6, 322, 11, 408, 14, 1472, 50
yo5g, 2026-09-17T19:23:30Z, 5189, 310, 6, 146, 3, 372, 7, 950, 18, 3411, 66
th8d, 2026-09-01T20:27:34Z, 2, 0, 0, 0, 0, 0, 0, 1, 50, 1, 50
qo3m, 2026-09-15T19:16:03Z, 383, 20, 5, 14, 4, 21, 5, 65, 17, 263, 69
d3om, None, 0, TypeError('cannot unpack non-iterable NoneType object')
s9de, 2026-09-03T19:11:58Z, 1173, 179, 15, 47, 4, 144, 12, 245, 21, 558, 48
fvjp, 2026-09-01T19:18:48Z, 131, 21, 16, 12, 9, 21, 16, 29, 22, 48, 37
cqb1, 2026-09-17T19:01:56Z, 102, 14, 14, 9, 9, 11, 11, 16, 16, 52, 51
m3hk, 2026-09-01T19:38:28Z, 5, 0, 0, 0, 0, 2, 40, 2, 40, 1, 20
l21b, 2026-09-14T19:10:29Z, 397, 124, 31, 25, 6, 65, 16, 48, 12, 135, 34
s0wl, 2026-09-19T19:13:24Z, 14334, 1215, 8, 482, 3, 1128, 8, 2379, 17, 9130, 64
tiz6, 2026-09-19T19:18:19Z, 986, 98, 10, 48, 5, 98, 10, 163, 17, 579, 59
ra54, 2026-09-19T19:13:53Z, 2539, 147, 6, 91, 4, 204, 8, 440, 17, 1657, 65
iyuu, 2026-09-01T19:26:53Z, 74, 8, 11, 4, 5, 8, 11, 14, 19, 40, 54
