rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
s5fk, 2024-12-10T19:12:57Z, 111, 13, 12, 8, 7, 16, 14, 13, 12, 61, 55
xg4y, 2024-12-11T19:22:47Z, 174, 16, 9, 6, 3, 17, 10, 29, 17, 106, 61
twyj, 2024-12-11T19:20:43Z, 649, 76, 12, 29, 4, 67, 10, 143, 22, 334, 51
irmi, 2024-12-04T19:04:48Z, 43, 1, 2, 3, 7, 2, 5, 4, 9, 33, 77
eo3p, 2024-12-11T19:02:40Z, 491, 135, 27, 46, 9, 56, 11, 74, 15, 180, 37
duvw, 2024-12-11T19:04:24Z, 1851, 191, 10, 79, 4, 152, 8, 399, 22, 1030, 56
wfn8, 2024-12-11T19:22:20Z, 62, 1, 2, 5, 8, 7, 11, 17, 27, 32, 52
kpds, 2024-12-11T19:06:21Z, 145, 25, 17, 15, 10, 19, 13, 18, 12, 68, 47
s8mp, 2024-12-11T19:13:25Z, 2419, 160, 7, 74, 3, 184, 8, 323, 13, 1678, 69
xx0k, 2024-12-05T19:22:53Z, 54, 13, 24, 4, 7, 4, 7, 9, 17, 24, 44
s2rx, 2024-12-11T19:15:23Z, 2956, 327, 11, 160, 5, 384, 13, 631, 21, 1454, 49
mbsh, 2024-12-10T19:05:02Z, 218, 36, 17, 12, 6, 32, 15, 45, 21, 93, 43
s6nh, 2024-12-11T19:12:57Z, 3302, 370, 11, 126, 4, 285, 9, 534, 16, 1987, 60
evp2, 2024-12-11T19:01:57Z, 1101, 112, 10, 57, 5, 112, 10, 221, 20, 599, 54
ds8t, 2024-12-11T19:03:00Z, 1607, 144, 9, 66, 4, 141, 9, 277, 17, 979, 61
hdr3, 2024-12-01T19:15:21Z, 21, 6, 29, 2, 10, 2, 10, 2, 10, 9, 43
s2xc, 2024-12-11T19:10:10Z, 2206, 152, 7, 73, 3, 198, 9, 429, 19, 1354, 61
z30a, 2024-12-11T19:24:08Z, 40, 1, 3, 3, 8, 3, 8, 10, 25, 23, 58
p186, 2024-12-10T19:12:25Z, 171, 17, 10, 8, 5, 15, 9, 27, 16, 104, 61
s5gr, 2024-12-07T19:11:59Z, 803, 62, 8, 25, 3, 70, 9, 155, 19, 491, 61
s2yh, 2024-12-11T19:11:29Z, 12137, 1277, 11, 533, 4, 1244, 10, 2398, 20, 6685, 55
w1v1, 2024-12-10T19:14:16Z, 227, 15, 7, 3, 1, 14, 6, 28, 12, 167, 74
u2mp, 2024-12-08T19:22:32Z, 1356, 146, 11, 71, 5, 171, 13, 278, 21, 690, 51
u6jz, 2024-12-11T19:24:01Z, 737, 74, 10, 33, 4, 85, 12, 135, 18, 410, 56
d6k0, 2024-12-10T19:02:31Z, 261, 30, 11, 15, 6, 29, 11, 43, 16, 144, 55
bwtk, 2024-12-11T19:01:43Z, 1124, 91, 8, 51, 5, 117, 10, 201, 18, 664, 59
btyr, 2024-12-01T19:03:33Z, 13, 1, 8, 1, 8, 2, 15, 3, 23, 6, 46
s685, 2024-12-11T19:14:58Z, 935, 133, 14, 54, 6, 135, 14, 185, 20, 428, 46
g3hv, 2024-12-01T19:11:47Z, 340, 95, 28, 28, 8, 52, 15, 48, 14, 117, 34
iqiv, 2024-12-05T19:03:12Z, 11, 3, 27, 1, 9, 1, 9, 0, 0, 6, 55
k5te, 2024-12-08T19:04:36Z, 676, 243, 36, 52, 8, 77, 11, 68, 10, 236, 35
mvz4, 2024-12-09T19:07:04Z, 1209, 67, 6, 35, 3, 96, 8, 202, 17, 809, 67
iyuu, 2024-12-09T19:07:34Z, 29, 2, 7, 3, 10, 3, 10, 4, 14, 17, 59
tey3, 2024-12-11T19:11:49Z, 628, 39, 6, 17, 3, 58, 9, 95, 15, 419, 67
k8nj, 2024-12-11T19:04:47Z, 40, 13, 33, 4, 10, 3, 8, 5, 13, 15, 38
nc8g, 2024-12-11T19:07:57Z, 139, 16, 12, 7, 5, 16, 12, 17, 12, 83, 60
pw9e, 2024-12-11T19:05:47Z, 397, 31, 8, 6, 2, 33, 8, 68, 17, 259, 65
s1og, 2024-12-09T19:12:42Z, 774, 131, 17, 44, 6, 90, 12, 154, 20, 355, 46
h5lo, 2024-12-01T19:14:36Z, 6, 0, 0, 3, 50, 1, 17, 1, 17, 1, 17
j1l8, 2024-12-11T19:03:21Z, 181, 40, 22, 17, 9, 18, 10, 27, 15, 79, 44
u2qd, 2024-12-11T19:19:39Z, 3671, 273, 7, 142, 4, 258, 7, 668, 18, 2330, 63
styd, 2024-12-11T19:14:46Z, 318, 85, 27, 11, 3, 40, 13, 46, 14, 136, 43
u2ft, 2024-12-11T19:16:22Z, 384, 43, 11, 20, 5, 42, 11, 74, 19, 205, 53
a2ni, 2024-12-11T19:00:13Z, 26, 3, 12, 0, 0, 2, 8, 1, 4, 20, 77
u9uk, 2024-12-11T19:22:37Z, 1812, 167, 9, 71, 4, 208, 11, 432, 24, 934, 52
lfyq, 2024-12-11T19:07:55Z, 1, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0
u5sa, 2024-12-11T19:19:16Z, 3076, 642, 21, 221, 7, 386, 13, 557, 18, 1270, 41
a2y0, None, 0, TypeError('cannot unpack non-iterable NoneType object')
m4f7, 2024-12-06T19:08:39Z, 41, 6, 15, 1, 2, 2, 5, 10, 24, 22, 54
psty, 2024-12-11T19:12:56Z, 1008, 38, 4, 36, 4, 85, 8, 177, 18, 672, 67
