rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
injz, 2026-07-04T19:06:06Z, 94, 10, 11, 7, 7, 8, 9, 22, 23, 47, 50
i7uc, 2026-07-12T19:06:12Z, 1872, 242, 13, 108, 6, 221, 12, 400, 21, 901, 48
t5xx, 2026-07-12T19:18:13Z, 2742, 461, 17, 173, 6, 359, 13, 508, 19, 1241, 45
yo5g, 2026-07-12T19:22:49Z, 5060, 302, 6, 144, 3, 364, 7, 923, 18, 3327, 66
r26z, 2026-07-12T19:10:53Z, 1367, 512, 37, 102, 7, 169, 12, 144, 11, 440, 32
esde, 2026-07-01T19:13:43Z, 12, 1, 8, 0, 0, 0, 0, 4, 33, 7, 58
s3dj, 2026-07-12T19:12:08Z, 16091, 2245, 14, 889, 6, 1664, 10, 3130, 19, 8163, 51
u2mp, 2026-07-12T19:19:21Z, 1932, 193, 10, 95, 5, 230, 12, 392, 20, 1022, 53
f7c4, 2026-07-01T19:18:47Z, 3, 2, 67, 0, 0, 0, 0, 1, 33, 0, 0
eome, 2026-07-01T19:17:45Z, 342, 24, 7, 9, 3, 21, 6, 51, 15, 237, 69
v9l6, 2026-07-10T19:21:42Z, 36, 3, 8, 0, 0, 8, 22, 5, 14, 20, 56
t8xa, 2026-07-01T20:10:08Z, 475, 60, 13, 37, 8, 55, 12, 67, 14, 256, 54
n7us, 2026-07-12T19:08:29Z, 763, 63, 8, 30, 4, 92, 12, 147, 19, 431, 56
bwtk, 2026-07-12T19:01:20Z, 2201, 203, 9, 100, 5, 208, 9, 375, 17, 1315, 60
fvjp, 2026-07-01T19:17:41Z, 132, 22, 17, 12, 9, 21, 16, 29, 22, 48, 36
u2qd, 2026-07-12T19:19:44Z, 5246, 416, 8, 201, 4, 372, 7, 919, 18, 3338, 64
mvz4, 2026-07-12T19:08:42Z, 1470, 74, 5, 40, 3, 112, 8, 240, 16, 1004, 68
t5dw, 2026-07-12T19:19:43Z, 4872, 618, 13, 265, 5, 587, 12, 977, 20, 2425, 50
bvf1, 2026-07-01T19:04:43Z, 7, 1, 14, 0, 0, 1, 14, 0, 0, 5, 71
d4t8, 2026-07-12T19:04:26Z, 95, 16, 17, 3, 3, 9, 9, 7, 7, 60, 63
h2f2, 2026-07-12T19:05:13Z, 1355, 141, 10, 72, 5, 187, 14, 277, 20, 678, 50
u8xl, 2026-07-11T19:16:23Z, 1973, 284, 14, 112, 6, 235, 12, 440, 22, 902, 46
f4hh, 2026-07-01T19:15:05Z, 46, 7, 15, 2, 4, 3, 7, 7, 15, 27, 59
x6wl, 2026-07-01T20:25:42Z, 1101, 276, 25, 110, 10, 170, 15, 170, 15, 375, 34
d6k0, 2026-07-12T19:03:00Z, 329, 46, 14, 15, 5, 41, 12, 50, 15, 177, 54
pusc, 2026-07-01T19:45:43Z, 579, 63, 11, 21, 4, 79, 14, 96, 17, 320, 55
rbiy, 2026-07-01T19:47:45Z, 6599, 766, 12, 314, 5, 726, 11, 1401, 21, 3392, 51
rzst, 2026-07-01T19:54:07Z, 116, 11, 9, 4, 3, 9, 8, 12, 10, 80, 69
s9sd, 2026-07-01T19:55:06Z, 2006, 99, 5, 75, 4, 157, 8, 451, 22, 1224, 61
bccp, 2026-07-12T19:01:22Z, 2625, 218, 8, 122, 5, 295, 11, 553, 21, 1437, 55
oy0s, 2026-07-01T19:39:43Z, 278, 39, 14, 22, 8, 35, 13, 48, 17, 134, 48
s6nh, 2026-07-12T19:12:30Z, 3596, 392, 11, 134, 4, 306, 9, 578, 16, 2186, 61
xx0k, 2026-07-12T19:24:09Z, 751, 161, 21, 75, 10, 68, 9, 70, 9, 377, 50
cqb1, 2026-07-12T19:01:52Z, 78, 12, 15, 7, 9, 9, 12, 10, 13, 40, 51
bm7c, 2026-07-01T19:04:13Z, 5, 2, 40, 2, 40, 0, 0, 1, 20, 0, 0
w227, 2026-07-12T19:16:01Z, 4214, 768, 18, 316, 8, 444, 11, 707, 17, 1979, 47
p945, 2026-07-01T19:45:07Z, 193, 21, 11, 9, 5, 16, 8, 37, 19, 110, 57
eph0, 2026-07-12T19:03:33Z, 178, 13, 7, 11, 6, 25, 14, 28, 16, 101, 57
duvw, 2026-07-12T19:04:54Z, 2802, 280, 10, 126, 5, 236, 8, 559, 20, 1601, 57
c1i0, 2026-07-01T19:06:52Z, 18, 1, 6, 0, 0, 1, 6, 1, 6, 15, 83
wuxi, 2026-07-05T19:19:33Z, 58, 6, 10, 3, 5, 8, 14, 10, 17, 31, 53
zy4g, 2026-07-01T20:37:31Z, 325, 15, 5, 7, 2, 27, 8, 48, 15, 228, 70
p0pg, 2026-07-01T19:43:35Z, 172, 16, 9, 12, 7, 13, 8, 33, 19, 98, 57
tiz6, 2026-07-12T19:19:49Z, 934, 91, 10, 44, 5, 94, 10, 160, 17, 545, 58
f1w5, 2026-07-01T19:14:53Z, 70, 12, 17, 8, 11, 9, 13, 8, 11, 33, 47
pw9e, 2026-07-12T19:11:16Z, 1416, 78, 6, 27, 2, 118, 8, 258, 18, 935, 66
kh1q, 2026-07-01T19:31:36Z, 13, 2, 15, 1, 8, 0, 0, 3, 23, 7, 54
e5sg, 2026-07-12T19:02:52Z, 3727, 425, 11, 188, 5, 343, 9, 737, 20, 2034, 55
n5aj, 2026-07-05T19:08:07Z, 169, 41, 24, 14, 8, 16, 9, 23, 14, 75, 44
oh2h, 2026-07-01T19:44:34Z, 79, 24, 30, 8, 10, 8, 10, 12, 15, 27, 34
