rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
t1ez, 2025-07-18T19:14:38Z, 1750, 437, 25, 107, 6, 225, 13, 281, 16, 700, 40
s2zn, 2025-07-18T19:11:30Z, 20516, 1142, 6, 599, 3, 1604, 8, 3974, 19, 13197, 64
rfjk, 2025-07-18T19:08:13Z, 151, 17, 11, 11, 7, 10, 7, 31, 21, 82, 54
kwzq, 2025-07-15T19:06:34Z, 502, 52, 10, 31, 6, 72, 14, 80, 16, 267, 53
qtek, 2025-07-01T19:35:09Z, 211, 35, 17, 12, 6, 31, 15, 35, 17, 98, 46
y33d, 2025-07-18T19:17:54Z, 52, 5, 10, 7, 13, 4, 8, 9, 17, 27, 52
wols, 2025-07-18T19:17:16Z, 476, 19, 4, 15, 3, 37, 8, 62, 13, 343, 72
pny2, 2025-07-01T19:28:43Z, 67, 4, 6, 0, 0, 4, 6, 10, 15, 49, 73
atyu, 2025-07-18T19:00:33Z, 591, 77, 13, 25, 4, 58, 10, 111, 19, 320, 54
gn0j, 2025-07-12T19:03:59Z, 93, 11, 12, 3, 3, 10, 11, 9, 10, 60, 65
kpds, 2025-07-18T19:04:49Z, 467, 60, 13, 31, 7, 61, 13, 77, 16, 238, 51
s7kn, 2025-07-18T19:09:18Z, 2333, 171, 7, 89, 4, 213, 9, 477, 20, 1383, 59
pw9e, 2025-07-18T19:10:25Z, 854, 55, 6, 16, 2, 72, 8, 149, 17, 562, 66
klxh, 2025-07-18T19:04:30Z, 669, 40, 6, 11, 2, 50, 7, 180, 27, 388, 58
wils, 2025-07-18T19:13:43Z, 239, 41, 17, 13, 5, 30, 13, 49, 21, 106, 44
u06s, 2025-07-01T19:46:32Z, 6, 1, 17, 0, 0, 0, 0, 1, 17, 4, 67
k22m, 2025-07-18T19:07:09Z, 7291, 699, 10, 301, 4, 662, 9, 1232, 17, 4397, 60
x3l0, 2025-07-01T19:59:01Z, 48, 8, 17, 5, 10, 6, 13, 5, 10, 24, 50
v2vg, 2025-07-01T19:55:05Z, 2045, 199, 10, 99, 5, 178, 9, 339, 17, 1230, 60
gune, 2025-07-18T19:05:00Z, 810, 129, 16, 58, 7, 95, 12, 150, 19, 378, 47
ndec, 2025-07-16T19:06:40Z, 1221, 168, 14, 62, 5, 150, 12, 217, 18, 624, 51
u2ky, 2025-07-18T19:15:01Z, 6436, 304, 5, 113, 2, 288, 4, 849, 13, 4882, 76
s8ev, 2025-07-01T19:41:26Z, 2971, 210, 7, 90, 3, 236, 8, 539, 18, 1896, 64
mvz4, 2025-07-16T19:07:24Z, 1300, 72, 6, 38, 3, 99, 8, 213, 16, 878, 68
hxzu, 2025-07-17T19:05:31Z, 1368, 74, 5, 57, 4, 106, 8, 204, 15, 927, 68
zwpd, 2025-07-18T19:18:16Z, 1232, 172, 14, 63, 5, 152, 12, 257, 21, 588, 48
yy3d, 2025-07-17T19:17:23Z, 15, 5, 33, 1, 7, 1, 7, 2, 13, 6, 40
klch, 2025-07-18T19:04:35Z, 1701, 214, 13, 109, 6, 189, 11, 302, 18, 887, 52
wgm6, 2025-07-01T20:02:34Z, 40, 3, 8, 1, 3, 1, 3, 2, 5, 33, 83
hl01, 2025-07-01T19:18:31Z, 45, 5, 11, 8, 18, 9, 20, 8, 18, 15, 33
th8d, 2025-07-01T19:52:56Z, 2, 0, 0, 0, 0, 0, 0, 1, 50, 1, 50
d6kv, 2025-07-18T19:03:33Z, 1792, 135, 8, 71, 4, 211, 12, 383, 21, 992, 55
t0va, 2025-07-18T19:14:41Z, 14164, 3389, 24, 1056, 7, 1916, 14, 2338, 17, 5465, 39
p3r0, 2025-07-18T19:10:16Z, 472, 53, 11, 20, 4, 36, 8, 67, 14, 296, 63
vc3r, 2025-07-13T19:17:09Z, 916, 113, 12, 55, 6, 154, 17, 235, 26, 359, 39
u2rc, 2025-07-14T19:12:59Z, 972, 118, 12, 55, 6, 98, 10, 156, 16, 545, 56
s2xc, 2025-07-18T19:08:53Z, 2560, 183, 7, 90, 4, 224, 9, 493, 19, 1570, 61
n2qt, 2025-07-18T19:06:21Z, 530, 41, 8, 29, 5, 44, 8, 78, 15, 338, 64
lpag, 2025-07-01T19:22:36Z, 87, 20, 23, 9, 10, 15, 17, 16, 18, 27, 31
suds, 2025-07-01T19:41:15Z, 817, 50, 6, 48, 6, 104, 13, 217, 27, 398, 49
f80g, 2025-07-01T19:11:47Z, 124, 11, 9, 8, 6, 11, 9, 17, 14, 77, 62
t6zm, 2025-07-18T19:15:57Z, 1148, 79, 7, 47, 4, 89, 8, 175, 15, 758, 66
s7zi, 2025-07-18T19:09:21Z, 2463, 334, 14, 101, 4, 245, 10, 505, 21, 1278, 52
u7ou, 2025-07-18T19:11:42Z, 4001, 544, 14, 208, 5, 437, 11, 778, 19, 2034, 51
j1l8, 2025-07-01T19:17:32Z, 248, 58, 23, 18, 7, 25, 10, 41, 17, 106, 43
s6nh, 2025-07-18T19:09:14Z, 3405, 381, 11, 129, 4, 291, 9, 549, 16, 2055, 60
qbvn, 2025-07-18T19:11:15Z, 1039, 76, 7, 51, 5, 92, 9, 168, 16, 652, 63
wuxi, 2025-07-13T19:16:23Z, 36, 6, 17, 2, 6, 3, 8, 4, 11, 21, 58
s6ua, 2025-07-18T19:12:55Z, 6467, 496, 8, 228, 4, 527, 8, 1152, 18, 4064, 63
m8yt, 2025-07-12T19:05:55Z, 476, 81, 17, 37, 8, 64, 13, 84, 18, 210, 44
