rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
rtxb, 2026-07-01T19:58:40Z, 187, 41, 22, 14, 7, 24, 13, 30, 16, 78, 42
izvp, 2026-07-01T19:25:05Z, 159, 62, 39, 11, 7, 18, 11, 14, 9, 54, 34
ig7k, 2026-07-01T19:23:49Z, 13, 2, 15, 2, 15, 4, 31, 2, 15, 3, 23
btyr, 2026-07-01T19:06:14Z, 105, 14, 13, 7, 7, 12, 11, 18, 17, 54, 51
jx0o, 2026-07-01T19:27:10Z, 68, 15, 22, 5, 7, 6, 9, 6, 9, 36, 53
l88b, 2026-07-25T19:08:04Z, 2995, 339, 11, 190, 6, 253, 8, 491, 16, 1722, 58
pz6t, 2026-07-25T19:09:48Z, 5317, 466, 9, 214, 4, 468, 9, 863, 16, 3306, 62
ejzc, 2026-07-01T19:13:27Z, 411, 56, 14, 18, 4, 57, 14, 86, 21, 194, 47
qmuh, 2026-07-01T19:50:27Z, 167, 45, 27, 12, 7, 21, 13, 25, 15, 64, 38
y925, 2026-07-25T19:18:57Z, 3065, 215, 7, 127, 4, 291, 9, 523, 17, 1909, 62
tk6d, 2026-07-21T19:12:41Z, 72, 17, 24, 5, 7, 6, 8, 9, 13, 35, 49
nsan, 2026-07-24T19:09:31Z, 1257, 89, 7, 39, 3, 80, 6, 196, 16, 853, 68
uf3u, 2026-07-25T19:18:11Z, 1413, 114, 8, 48, 3, 108, 8, 191, 14, 952, 67
ds8t, 2026-07-25T19:02:57Z, 2985, 251, 8, 109, 4, 255, 9, 444, 15, 1926, 65
sqak, 2026-07-01T19:55:55Z, 1432, 496, 35, 143, 10, 201, 14, 186, 13, 406, 28
la44, 2026-07-25T19:06:23Z, 2136, 191, 9, 98, 5, 200, 9, 314, 15, 1333, 62
k5te, 2026-07-08T19:08:56Z, 779, 287, 37, 59, 8, 85, 11, 75, 10, 273, 35
hpso, 2026-07-25T19:05:04Z, 2265, 318, 14, 125, 6, 244, 11, 323, 14, 1255, 55
s6nc, 2026-07-25T19:13:27Z, 1260, 181, 14, 33, 3, 91, 7, 236, 19, 719, 57
y5ch, 2026-07-24T19:22:24Z, 3719, 391, 11, 199, 5, 383, 10, 702, 19, 2044, 55
s1og, 2026-07-01T20:01:15Z, 808, 137, 17, 45, 6, 94, 12, 157, 19, 375, 46
pwi1, 2026-07-25T19:10:53Z, 1123, 109, 10, 53, 5, 141, 13, 201, 18, 619, 55
s3dj, 2026-07-25T19:20:55Z, 16144, 2253, 14, 894, 6, 1665, 10, 3140, 19, 8192, 51
bvf1, 2026-07-01T19:04:43Z, 7, 1, 14, 0, 0, 1, 14, 0, 0, 5, 71
rfjk, 2026-07-25T19:11:08Z, 330, 40, 12, 21, 6, 27, 8, 63, 19, 179, 54
s2pr, 2026-07-22T19:10:58Z, 295, 21, 7, 20, 7, 34, 12, 44, 15, 176, 60
hfvz, 2026-07-01T19:25:18Z, 8, 2, 25, 1, 13, 1, 13, 0, 0, 4, 50
acn9, 2026-07-01T19:01:30Z, 581, 51, 9, 31, 5, 58, 10, 92, 16, 349, 60
s6ea, 2026-07-24T19:15:36Z, 4925, 903, 18, 321, 7, 637, 13, 951, 19, 2113, 43
ph2k, 2026-07-01T19:41:14Z, 281, 57, 20, 29, 10, 47, 17, 43, 15, 105, 37
s9de, 2026-07-13T19:13:27Z, 1171, 178, 15, 48, 4, 144, 12, 243, 21, 558, 48
qpt6, 2026-07-01T19:50:27Z, 243, 40, 16, 15, 6, 22, 9, 42, 17, 124, 51
ipop, 2026-07-01T19:28:23Z, 10, 3, 30, 0, 0, 0, 0, 2, 20, 5, 50
cv8h, 2026-07-25T19:02:06Z, 569, 82, 14, 31, 5, 53, 9, 79, 14, 324, 57
t7lv, 2026-07-25T19:16:24Z, 3505, 600, 17, 218, 6, 531, 15, 678, 19, 1478, 42
s2om, 2026-07-25T19:12:02Z, 686, 79, 12, 44, 6, 81, 12, 144, 21, 338, 49
u4nd, 2026-07-01T20:06:55Z, 679, 63, 9, 32, 5, 86, 13, 140, 21, 358, 53
f80g, 2026-07-01T19:15:06Z, 124, 11, 9, 8, 6, 11, 9, 17, 14, 77, 62
s5gr, 2026-07-01T20:04:05Z, 858, 67, 8, 26, 3, 76, 9, 163, 19, 526, 61
z614, 2026-07-25T19:23:03Z, 5171, 514, 10, 196, 4, 441, 9, 960, 19, 3060, 59
x8em, 2026-07-25T19:20:16Z, 10142, 1170, 12, 476, 5, 1072, 11, 1930, 19, 5494, 54
n2qt, 2026-07-25T19:08:15Z, 1017, 84, 8, 55, 5, 100, 10, 147, 14, 631, 62
tey3, 2026-07-01T20:12:47Z, 1121, 63, 6, 28, 3, 81, 7, 154, 14, 795, 71
lh6q, 2026-07-25T19:10:44Z, 742, 47, 6, 28, 4, 61, 8, 101, 14, 505, 68
s8lk, 2026-07-25T19:13:27Z, 8016, 2327, 29, 641, 8, 1067, 13, 1193, 15, 2788, 35
s5fk, 2026-07-16T19:10:20Z, 183, 22, 12, 14, 8, 28, 15, 25, 14, 94, 51
iw9k, 2026-07-01T19:24:48Z, 1413, 312, 22, 97, 7, 240, 17, 299, 21, 465, 33
s3kp, 2026-07-25T19:11:45Z, 7688, 820, 11, 339, 4, 766, 10, 1407, 18, 4356, 57
u2rc, 2026-07-23T19:17:12Z, 1019, 121, 12, 55, 5, 101, 10, 165, 16, 577, 57
s4lh, 2026-07-25T19:12:52Z, 4336, 366, 8, 181, 4, 423, 10, 732, 17, 2634, 61
