rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
wgm6, 2025-10-02T19:18:00Z, 45, 3, 7, 1, 2, 2, 4, 2, 4, 37, 82
c1i0, 2025-10-01T19:06:34Z, 18, 1, 6, 0, 0, 1, 6, 1, 6, 15, 83
s2nl, 2025-10-14T19:12:00Z, 1836, 107, 6, 70, 4, 155, 8, 354, 19, 1150, 63
klxh, 2025-10-14T19:06:40Z, 810, 48, 6, 15, 2, 63, 8, 205, 25, 479, 59
vvfr, 2025-10-01T20:03:04Z, 1137, 365, 32, 82, 7, 154, 14, 187, 16, 349, 31
t7lv, 2025-10-14T19:08:53Z, 3233, 551, 17, 199, 6, 505, 16, 628, 19, 1350, 42
sqak, 2025-10-14T19:12:25Z, 1201, 409, 34, 122, 10, 171, 14, 170, 14, 329, 27
a2ni, 2025-10-14T19:00:11Z, 261, 44, 17, 9, 3, 18, 7, 30, 11, 160, 61
hubq, 2025-10-11T19:03:47Z, 122, 33, 27, 14, 11, 20, 16, 12, 10, 43, 35
s7jm, 2025-10-14T19:13:00Z, 808, 146, 18, 53, 7, 120, 15, 154, 19, 335, 41
t0va, 2025-10-14T19:14:33Z, 14548, 3478, 24, 1077, 7, 1958, 13, 2404, 17, 5631, 39
s7hw, 2025-10-14T19:09:36Z, 3947, 251, 6, 135, 3, 340, 9, 807, 20, 2414, 61
n6af, 2025-10-01T19:32:28Z, 455, 27, 6, 14, 3, 45, 10, 83, 18, 286, 63
dkot, 2025-10-14T19:03:45Z, 8188, 741, 9, 345, 4, 761, 9, 1429, 17, 4912, 60
t8xa, 2025-10-01T19:59:04Z, 475, 60, 13, 37, 8, 55, 12, 67, 14, 256, 54
zy4g, 2025-10-14T19:17:56Z, 186, 12, 6, 2, 1, 19, 10, 32, 17, 121, 65
q5du, 2025-10-12T19:07:35Z, 297, 104, 35, 21, 7, 43, 14, 35, 12, 94, 32
iyuu, 2025-10-01T19:19:44Z, 74, 8, 11, 4, 5, 8, 11, 14, 19, 40, 54
yo5g, 2025-10-14T19:14:13Z, 4551, 275, 6, 130, 3, 329, 7, 824, 18, 2993, 66
jjxw, 2025-10-14T19:06:13Z, 3498, 392, 11, 164, 5, 295, 8, 615, 18, 2032, 58
t2ml, 2025-10-14T19:15:24Z, 17383, 1399, 8, 728, 4, 1727, 10, 3503, 20, 10026, 58
s0wa, 2025-10-14T19:06:48Z, 1441, 73, 5, 25, 2, 77, 5, 180, 12, 1086, 75
u0ni, 2025-10-14T19:15:11Z, 555, 62, 11, 30, 5, 63, 11, 95, 17, 305, 55
eph0, 2025-10-01T19:11:59Z, 162, 11, 7, 10, 6, 22, 14, 27, 17, 92, 57
uf3u, 2025-10-14T19:16:43Z, 994, 69, 7, 37, 4, 71, 7, 134, 13, 683, 69
s9mg, 2025-10-14T19:13:34Z, 10888, 971, 9, 503, 5, 1099, 10, 2317, 21, 5998, 55
t7yr, 2025-10-14T19:11:07Z, 1693, 222, 13, 132, 8, 226, 13, 399, 24, 714, 42
xgcz, 2025-10-14T19:18:03Z, 2858, 222, 8, 117, 4, 230, 8, 533, 19, 1756, 61
w1v1, 2025-10-14T19:15:09Z, 355, 20, 6, 3, 1, 24, 7, 48, 14, 260, 73
s6so, 2025-10-14T19:12:51Z, 7566, 662, 9, 300, 4, 650, 9, 1286, 17, 4668, 62
kh1q, 2025-10-01T19:28:12Z, 13, 2, 15, 1, 8, 0, 0, 3, 23, 7, 54
s7yw, 2025-10-12T19:12:58Z, 125, 9, 7, 6, 5, 11, 9, 21, 17, 78, 62
hl01, 2025-10-01T19:20:27Z, 45, 5, 11, 8, 18, 9, 20, 8, 18, 15, 33
qmuh, 2025-10-14T19:11:41Z, 156, 44, 28, 11, 7, 20, 13, 24, 15, 57, 37
t1ez, 2025-10-14T19:13:29Z, 1818, 444, 24, 111, 6, 235, 13, 293, 16, 735, 40
ipop, 2025-10-01T19:21:46Z, 10, 3, 30, 0, 0, 0, 0, 2, 20, 5, 50
t547, 2025-10-01T19:56:32Z, 705, 68, 10, 29, 4, 77, 11, 124, 18, 407, 58
psty, 2025-10-14T19:09:02Z, 1239, 65, 5, 47, 4, 108, 9, 213, 17, 806, 65
x8em, 2025-10-14T19:17:18Z, 9288, 1046, 11, 444, 5, 1007, 11, 1796, 19, 4995, 54
u9xd, 2025-10-11T19:15:15Z, 2420, 193, 8, 69, 3, 211, 9, 379, 16, 1568, 65
f4tf, 2025-10-14T19:04:02Z, 659, 97, 15, 27, 4, 71, 11, 108, 16, 356, 54
yegr, 2025-10-01T20:15:19Z, 112, 20, 18, 2, 2, 12, 11, 14, 13, 64, 57
ho0l, 2025-10-14T19:02:28Z, 153, 11, 7, 9, 6, 12, 8, 32, 21, 89, 58
p945, 2025-10-01T19:36:23Z, 188, 20, 11, 8, 4, 13, 7, 37, 20, 110, 59
u3bd, 2025-10-14T19:11:57Z, 14828, 1410, 10, 586, 4, 1257, 8, 2567, 17, 9008, 61
p7au, 2025-10-01T19:38:27Z, 520, 79, 15, 22, 4, 47, 9, 87, 17, 285, 55
p66p, 2025-10-14T19:05:45Z, 7795, 474, 6, 200, 3, 488, 6, 1119, 14, 5514, 71
btyr, 2025-10-08T19:01:32Z, 70, 7, 10, 7, 10, 7, 10, 9, 13, 40, 57
ph2k, 2025-10-07T19:07:05Z, 276, 59, 21, 29, 11, 45, 16, 42, 15, 101, 37
y33d, 2025-10-09T19:14:45Z, 72, 9, 13, 7, 10, 7, 10, 10, 14, 39, 54
