rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
cpbk, 2025-03-02T19:01:14Z, 497, 204, 41, 42, 8, 56, 11, 60, 12, 135, 27
f7ht, 2025-03-02T19:03:23Z, 4620, 667, 14, 263, 6, 594, 13, 998, 22, 2098, 45
eome, 2025-03-02T19:02:35Z, 101, 10, 10, 1, 1, 7, 7, 11, 11, 72, 71
p8xn, 2025-03-01T19:25:12Z, 597, 89, 15, 36, 6, 63, 11, 135, 23, 274, 46
jymf, 2025-03-01T19:21:22Z, 17, 6, 35, 0, 0, 3, 18, 3, 18, 5, 29
ejzc, 2025-03-02T19:02:59Z, 387, 56, 14, 17, 4, 54, 14, 84, 22, 176, 45
olci, 2025-03-02T19:12:30Z, 1035, 143, 14, 80, 8, 137, 13, 200, 19, 475, 46
e2fm, 2025-03-01T19:08:05Z, 322, 25, 8, 19, 6, 27, 8, 61, 19, 190, 59
yo5g, 2025-03-02T19:23:39Z, 4191, 244, 6, 118, 3, 308, 7, 770, 18, 2751, 66
s9it, 2025-03-02T19:13:48Z, 7366, 1012, 14, 400, 5, 859, 12, 1447, 20, 3648, 50
kd7l, 2025-03-01T19:20:20Z, 361, 27, 7, 13, 4, 32, 9, 75, 21, 214, 59
cxdq, 2025-03-01T19:06:38Z, 496, 99, 20, 34, 7, 66, 13, 76, 15, 221, 45
m3hk, 2025-03-01T19:22:29Z, 5, 0, 0, 0, 0, 2, 40, 2, 40, 1, 20
u0ni, 2025-03-01T20:05:29Z, 516, 61, 12, 30, 6, 59, 11, 90, 17, 276, 53
jx0o, 2025-03-01T19:21:42Z, 25, 5, 20, 2, 8, 3, 12, 4, 16, 11, 44
qk62, 2025-03-01T19:38:03Z, 188, 51, 27, 12, 6, 20, 11, 28, 15, 77, 41
twyj, 2025-03-02T19:10:23Z, 848, 95, 11, 36, 4, 89, 11, 183, 22, 445, 52
skhi, 2025-03-01T19:52:43Z, 260, 45, 17, 25, 10, 37, 14, 39, 15, 114, 44
kdop, 2025-03-01T19:23:57Z, 968, 101, 10, 55, 6, 88, 9, 174, 18, 550, 57
eo3p, 2025-03-01T19:11:03Z, 544, 146, 27, 47, 9, 62, 11, 85, 16, 204, 38
ipop, 2025-03-01T19:19:10Z, 7, 3, 43, 0, 0, 0, 0, 0, 0, 4, 57
l835, 2025-03-01T19:25:23Z, 627, 37, 6, 20, 3, 55, 9, 85, 14, 430, 69
n7us, 2025-03-01T19:23:10Z, 693, 54, 8, 28, 4, 85, 12, 139, 20, 387, 56
sqhd, 2025-03-02T19:07:26Z, 565, 79, 14, 38, 7, 69, 12, 117, 21, 262, 46
k22m, 2025-03-02T19:05:59Z, 6751, 637, 9, 283, 4, 621, 9, 1144, 17, 4066, 60
wvzp, 2025-03-02T19:24:11Z, 1214, 56, 5, 27, 2, 89, 7, 137, 11, 905, 75
bccp, 2025-03-01T19:04:38Z, 2196, 160, 7, 106, 5, 241, 11, 471, 21, 1218, 55
tx5y, 2025-03-01T19:56:41Z, 333, 30, 9, 17, 5, 37, 11, 72, 22, 177, 53
j7qe, 2025-03-02T19:05:42Z, 44, 8, 18, 4, 9, 1, 2, 9, 20, 22, 50
pwi1, 2025-03-01T19:36:21Z, 962, 94, 10, 48, 5, 126, 13, 175, 18, 519, 54
olmz, 2025-03-01T19:31:50Z, 510, 57, 11, 27, 5, 55, 11, 85, 17, 286, 56
s4ip, 2025-03-01T19:45:37Z, 660, 24, 4, 28, 4, 55, 8, 127, 19, 426, 65
w632, 2025-03-02T19:22:34Z, 604, 50, 8, 35, 6, 65, 11, 116, 19, 338, 56
s4ki, 2025-03-02T19:15:09Z, 16600, 1176, 7, 715, 4, 1626, 10, 3375, 20, 9708, 58
rtxb, 2025-03-01T19:40:51Z, 184, 41, 22, 13, 7, 24, 13, 29, 16, 77, 42
c4vv, 2025-03-02T19:02:17Z, 6551, 607, 9, 300, 5, 671, 10, 1330, 20, 3643, 56
s0wl, 2025-03-02T19:12:58Z, 12416, 996, 8, 423, 3, 1005, 8, 2139, 17, 7853, 63
dbll, 2025-03-02T19:02:19Z, 878, 85, 10, 53, 6, 84, 10, 202, 23, 454, 52
u2ft, 2025-03-02T19:10:49Z, 397, 44, 11, 21, 5, 42, 11, 78, 20, 212, 53
s2xc, 2025-03-02T19:12:47Z, 2327, 162, 7, 79, 3, 203, 9, 449, 19, 1434, 62
y925, 2025-03-02T19:14:46Z, 2455, 166, 7, 98, 4, 246, 10, 443, 18, 1502, 61
mm4y, 2025-03-02T19:06:00Z, 2212, 350, 16, 137, 6, 237, 11, 301, 14, 1187, 54
s5cj, 2025-03-02T19:11:34Z, 38930, 2809, 7, 1385, 4, 3518, 9, 8118, 21, 23100, 59
ps7w, 2025-03-02T19:13:01Z, 3876, 145, 4, 84, 2, 271, 7, 581, 15, 2795, 72
yegr, 2025-03-01T20:18:45Z, 102, 17, 17, 2, 2, 12, 12, 14, 14, 57, 56
jjxw, 2025-03-02T19:05:44Z, 2357, 245, 10, 111, 5, 199, 8, 413, 18, 1389, 59
s3qh, 2025-03-02T19:06:29Z, 1743, 134, 8, 76, 4, 174, 10, 355, 20, 1004, 58
t6zm, 2025-03-01T19:37:16Z, 1094, 74, 7, 45, 4, 85, 8, 164, 15, 726, 66
u9xd, 2025-03-02T19:10:49Z, 2211, 176, 8, 65, 3, 195, 9, 348, 16, 1427, 65
xmxx, None, 0, TypeError('cannot unpack non-iterable NoneType object')
