rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
bvf1, 2025-03-01T19:03:34Z, 7, 1, 14, 0, 0, 1, 14, 0, 0, 5, 71
uf3u, 2025-03-03T19:16:33Z, 427, 27, 6, 17, 4, 38, 9, 56, 13, 289, 68
ki9u, 2025-03-01T19:19:36Z, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100
v0uh, 2025-03-01T20:12:34Z, 454, 101, 22, 28, 6, 66, 15, 67, 15, 192, 42
s00k, 2025-03-03T19:10:16Z, 259, 17, 7, 6, 2, 15, 6, 40, 15, 181, 70
uvpm, 2025-03-02T19:20:54Z, 73, 3, 4, 3, 4, 5, 7, 16, 22, 46, 63
i6qb, 2025-03-01T19:18:05Z, 23, 8, 35, 1, 4, 2, 9, 0, 0, 12, 52
vdrs, 2025-03-02T19:21:42Z, 69, 6, 9, 2, 3, 6, 9, 11, 16, 44, 64
t7yr, 2025-03-01T19:53:21Z, 1534, 186, 12, 112, 7, 205, 13, 375, 24, 656, 43
k5te, 2025-03-01T19:19:15Z, 686, 249, 36, 52, 8, 78, 11, 68, 10, 239, 35
t2zt, 2025-03-01T19:58:19Z, 570, 102, 18, 39, 7, 77, 14, 86, 15, 266, 47
btyr, 2025-03-01T19:05:38Z, 15, 1, 7, 2, 13, 2, 13, 3, 20, 7, 47
pz5g, 2025-03-01T19:37:14Z, 48, 9, 19, 5, 10, 4, 8, 6, 13, 24, 50
k0fy, 2025-03-01T19:21:30Z, 276, 9, 3, 13, 5, 15, 5, 51, 18, 188, 68
t0va, 2025-03-03T19:14:01Z, 13540, 3219, 24, 1011, 7, 1847, 14, 2250, 17, 5213, 39
s0pl, 2025-03-01T19:42:04Z, 218, 23, 11, 13, 6, 27, 12, 51, 23, 104, 48
d9xl, 2025-03-01T19:06:16Z, 1331, 171, 13, 57, 4, 111, 8, 213, 16, 779, 59
v4kd, 2025-03-03T19:19:58Z, 854, 75, 9, 34, 4, 78, 9, 170, 20, 497, 58
p66p, 2025-03-03T19:11:49Z, 6285, 397, 6, 157, 3, 418, 7, 926, 15, 4387, 70
b6i9, 2025-03-02T19:00:45Z, 131, 14, 11, 5, 4, 5, 4, 19, 15, 88, 67
cqe6, 2025-03-02T19:01:36Z, 213, 73, 34, 24, 11, 21, 10, 18, 8, 77, 36
lh6q, 2025-03-01T19:24:25Z, 486, 37, 8, 17, 4, 47, 10, 74, 15, 311, 64
u6jz, 2025-03-03T19:13:57Z, 817, 80, 10, 35, 4, 89, 11, 146, 18, 467, 57
v9l6, 2025-03-01T20:05:42Z, 18, 3, 17, 0, 0, 4, 22, 2, 11, 9, 50
iyrm, 2025-03-03T19:01:39Z, 216, 60, 28, 15, 7, 27, 13, 31, 14, 83, 38
y16s, 2025-03-02T19:23:20Z, 622, 42, 7, 26, 4, 45, 7, 92, 15, 417, 67
l3s6, 2025-03-03T19:08:34Z, 88, 17, 19, 6, 7, 12, 14, 16, 18, 37, 42
xgcz, 2025-03-03T19:16:34Z, 1762, 139, 8, 75, 4, 161, 9, 323, 18, 1064, 60
st1p, 2025-03-03T19:12:32Z, 2824, 422, 15, 180, 6, 351, 12, 513, 18, 1358, 48
t0bz, 2025-03-01T19:49:21Z, 242, 23, 10, 19, 8, 27, 11, 36, 15, 137, 57
xx0k, 2025-03-01T20:18:09Z, 97, 21, 22, 10, 10, 13, 13, 15, 15, 38, 39
p7au, 2025-03-02T19:13:00Z, 503, 70, 14, 21, 4, 46, 9, 84, 17, 282, 56
s1og, 2025-03-01T19:41:35Z, 793, 132, 17, 44, 6, 92, 12, 155, 20, 370, 47
wld1, 2025-03-01T20:16:09Z, 321, 47, 15, 19, 6, 40, 12, 58, 18, 157, 49
t0qo, 2025-03-03T19:19:48Z, 17062, 2001, 12, 882, 5, 1860, 11, 3528, 21, 8791, 52
s4lh, 2025-03-03T19:11:08Z, 3281, 284, 9, 143, 4, 337, 10, 570, 17, 1947, 59
gn0j, 2025-03-03T19:04:17Z, 47, 5, 11, 0, 0, 5, 11, 3, 6, 34, 72
tk6d, 2025-03-01T20:05:03Z, 28, 8, 29, 1, 4, 3, 11, 4, 14, 12, 43
d6kv, 2025-03-03T19:02:06Z, 1731, 130, 8, 66, 4, 205, 12, 376, 22, 954, 55
m371, 2025-03-03T19:04:22Z, 95, 30, 32, 8, 8, 10, 11, 6, 6, 41, 43
s9az, 2025-03-03T19:11:52Z, 236, 29, 12, 12, 5, 22, 9, 45, 19, 128, 54
u4zo, 2025-03-03T19:16:19Z, 1439, 118, 8, 48, 3, 127, 9, 261, 18, 885, 62
s2om, 2025-03-01T19:28:56Z, 582, 63, 11, 39, 7, 67, 12, 127, 22, 286, 49
zen3, 2025-03-03T19:16:27Z, 261, 35, 13, 16, 6, 43, 16, 57, 22, 110, 42
s7hi, 2025-03-03T19:06:01Z, 1474, 129, 9, 67, 5, 148, 10, 307, 21, 823, 56
lfyq, 2025-03-01T19:20:24Z, 1, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0
s2nb, 2025-03-02T19:06:28Z, 680, 64, 9, 33, 5, 70, 10, 124, 18, 389, 57
xg4y, 2025-03-01T20:16:15Z, 297, 25, 8, 12, 4, 27, 9, 49, 17, 184, 62
e2vv, 2025-03-01T19:09:27Z, 287, 7, 2, 1, 0, 4, 1, 10, 3, 265, 92
s8ev, 2025-03-01T19:46:37Z, 2971, 210, 7, 90, 3, 236, 8, 539, 18, 1896, 64
