rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
k0pm, 2026-01-23T19:05:26Z, 495, 150, 30, 39, 8, 51, 10, 65, 13, 190, 38
s3xz, 2026-01-26T19:09:19Z, 14500, 2663, 18, 957, 7, 1864, 13, 2593, 18, 6423, 44
s7hi, 2026-01-26T19:11:48Z, 1634, 143, 9, 69, 4, 157, 10, 329, 20, 936, 57
c9m0, 2026-01-26T19:01:08Z, 2611, 941, 36, 258, 10, 330, 13, 328, 13, 754, 29
lfyq, 2026-01-01T19:25:00Z, 1, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0
s4lh, 2026-01-26T19:11:13Z, 3995, 345, 9, 168, 4, 398, 10, 689, 17, 2395, 60
dws9, 2026-01-01T19:11:55Z, 74, 8, 11, 3, 4, 5, 7, 17, 23, 41, 55
d6k0, 2026-01-21T19:01:33Z, 321, 44, 14, 15, 5, 38, 12, 49, 15, 175, 55
d3om, None, 0, TypeError('cannot unpack non-iterable NoneType object')
y33d, 2026-01-22T19:13:09Z, 93, 9, 10, 9, 10, 8, 9, 17, 18, 50, 54
b6i9, 2026-01-25T19:00:57Z, 220, 29, 13, 10, 5, 9, 4, 37, 17, 135, 61
kfni, 2026-01-24T19:06:12Z, 228, 32, 14, 11, 5, 22, 10, 44, 19, 119, 52
s2zn, 2026-01-26T19:09:42Z, 21055, 1169, 6, 617, 3, 1645, 8, 4055, 19, 13569, 64
zhbi, 2026-01-01T20:25:27Z, 151, 60, 40, 14, 9, 19, 13, 13, 9, 45, 30
d3o8, 2026-01-26T19:01:44Z, 456, 143, 31, 52, 11, 46, 10, 67, 15, 148, 32
y5ch, 2026-01-14T19:10:51Z, 3639, 379, 10, 193, 5, 373, 10, 690, 19, 2004, 55
rjbp, 2026-01-01T19:49:52Z, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
yufs, 2026-01-23T19:16:35Z, 1841, 135, 7, 59, 3, 165, 9, 279, 15, 1203, 65
ea63, 2026-01-26T19:03:48Z, 464, 34, 7, 17, 4, 35, 8, 69, 15, 309, 67
zy4g, 2026-01-26T19:17:14Z, 282, 15, 5, 6, 2, 27, 10, 46, 16, 188, 67
mkxc, 2026-01-01T19:35:07Z, 62, 15, 24, 3, 5, 8, 13, 6, 10, 30, 48
u2mp, 2026-01-25T19:11:06Z, 1767, 177, 10, 89, 5, 212, 12, 364, 21, 925, 52
t7tu, 2026-01-01T19:55:36Z, 1907, 186, 10, 93, 5, 200, 10, 383, 20, 1045, 55
rzst, 2026-01-23T19:09:00Z, 102, 10, 10, 4, 4, 8, 8, 11, 11, 69, 68
ho0l, 2026-01-24T19:03:35Z, 171, 12, 7, 9, 5, 14, 8, 33, 19, 103, 60
f7ht, 2026-01-26T19:03:18Z, 5674, 815, 14, 313, 6, 692, 12, 1194, 21, 2660, 47
s3qa, 2026-01-19T19:12:58Z, 6385, 468, 7, 220, 3, 552, 9, 1118, 18, 4027, 63
s6ea, 2026-01-26T19:09:26Z, 4638, 857, 18, 307, 7, 610, 13, 892, 19, 1972, 43
k0fy, 2026-01-01T19:27:25Z, 306, 12, 4, 14, 5, 22, 7, 52, 17, 206, 67
a2y0, None, 0, TypeError('cannot unpack non-iterable NoneType object')
s0wl, 2026-01-26T19:07:50Z, 13496, 1126, 8, 451, 3, 1074, 8, 2263, 17, 8582, 64
s2nb, 2026-01-26T19:09:25Z, 1020, 97, 10, 45, 4, 95, 9, 189, 19, 594, 58
oksi, 2026-01-26T19:06:13Z, 3581, 502, 14, 196, 5, 341, 10, 582, 16, 1960, 55
e3ze, 2026-01-01T19:09:24Z, 284, 65, 23, 17, 6, 41, 14, 42, 15, 119, 42
t2ml, 2026-01-26T19:17:25Z, 17957, 1447, 8, 749, 4, 1772, 10, 3616, 20, 10373, 58
s3et, 2026-01-26T19:15:05Z, 2201, 326, 15, 137, 6, 255, 12, 395, 18, 1088, 49
iyrm, 2026-01-12T19:04:42Z, 288, 69, 24, 18, 6, 35, 12, 40, 14, 126, 44
u9ow, 2026-01-26T19:11:18Z, 1292, 114, 9, 47, 4, 120, 9, 174, 13, 837, 65
twyj, 2026-01-01T20:07:26Z, 2019, 236, 12, 87, 4, 199, 10, 423, 21, 1074, 53
bm7c, 2026-01-01T19:04:55Z, 5, 2, 40, 2, 40, 0, 0, 1, 20, 0, 0
x4mi, None, 0, TypeError('cannot unpack non-iterable NoneType object')
an57, 2026-01-01T19:02:21Z, 106, 12, 11, 6, 6, 15, 14, 14, 13, 59, 56
ilyr, 2026-01-19T19:05:55Z, 57, 14, 25, 4, 7, 3, 5, 11, 19, 25, 44
x6wl, 2026-01-01T20:17:13Z, 1101, 276, 25, 110, 10, 170, 15, 170, 15, 375, 34
x2t4, None, 0, TypeError('cannot unpack non-iterable NoneType object')
s3kp, 2026-01-26T19:10:49Z, 7237, 775, 11, 326, 5, 717, 10, 1345, 19, 4074, 56
l88b, 2026-01-26T19:06:33Z, 2647, 315, 12, 162, 6, 222, 8, 441, 17, 1507, 57
u7ou, 2026-01-01T20:10:16Z, 4031, 552, 14, 208, 5, 441, 11, 783, 19, 2047, 51
xgcz, 2026-01-26T19:17:47Z, 3166, 242, 8, 127, 4, 251, 8, 588, 19, 1958, 62
x3aw, 2026-01-01T20:19:18Z, 159, 25, 16, 18, 11, 31, 20, 25, 16, 60, 38
