rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
t5dw, 2026-08-21T19:18:57Z, 4943, 628, 13, 270, 5, 593, 12, 988, 20, 2464, 50
u4zo, 2026-08-19T19:20:06Z, 1683, 137, 8, 56, 3, 150, 9, 290, 17, 1050, 62
xqmm, 2026-08-21T19:22:22Z, 483, 93, 19, 21, 4, 50, 10, 89, 18, 230, 48
izvp, 2026-08-01T19:31:01Z, 159, 62, 39, 11, 7, 18, 11, 14, 9, 54, 34
s0wa, 2026-08-21T19:10:09Z, 1711, 86, 5, 27, 2, 96, 6, 249, 15, 1253, 73
n2qc, 2026-08-21T19:11:21Z, 1681, 188, 11, 77, 5, 152, 9, 283, 17, 981, 58
s6nc, 2026-08-21T19:15:18Z, 1275, 181, 14, 33, 3, 94, 7, 240, 19, 727, 57
kdop, 2026-08-10T15:40:45Z, 1260, 152, 12, 68, 5, 131, 10, 208, 17, 701, 56
s3se, 2026-08-17T19:17:43Z, 3282, 342, 10, 153, 5, 314, 10, 646, 20, 1827, 56
zy4g, 2026-08-01T20:41:43Z, 325, 15, 5, 7, 2, 27, 8, 48, 15, 228, 70
wuxi, 2026-08-17T19:19:38Z, 63, 7, 11, 4, 6, 8, 13, 10, 16, 34, 54
jjxw, 2026-08-21T19:05:11Z, 5261, 553, 11, 246, 5, 458, 9, 917, 17, 3087, 59
lf2o, 2026-08-01T19:38:22Z, 195, 42, 22, 14, 7, 22, 11, 42, 22, 75, 38
c9m0, 2026-08-01T19:06:28Z, 2647, 954, 36, 258, 10, 335, 13, 331, 13, 769, 29
y16s, 2026-08-21T19:21:26Z, 1437, 84, 6, 46, 3, 95, 7, 210, 15, 1002, 70
ujq1, 2026-08-02T19:21:52Z, 281, 107, 38, 23, 8, 25, 9, 38, 14, 88, 31
foia, 2026-08-21T19:03:17Z, 1951, 112, 6, 86, 4, 195, 10, 377, 19, 1181, 61
s3qa, 2026-08-16T19:12:14Z, 6433, 471, 7, 219, 3, 560, 9, 1122, 17, 4061, 63
hl01, 2026-08-01T19:21:44Z, 45, 5, 11, 8, 18, 9, 20, 8, 18, 15, 33
pm5l, 2026-08-14T19:15:34Z, 874, 144, 16, 48, 5, 106, 12, 144, 16, 432, 49
ph2k, 2026-08-01T19:49:08Z, 281, 57, 20, 29, 10, 47, 17, 43, 15, 105, 37
ghtn, 2026-08-01T19:21:28Z, 14, 1, 7, 0, 0, 3, 21, 1, 7, 9, 64
pny2, 2026-08-01T19:46:48Z, 67, 4, 6, 0, 0, 4, 6, 10, 15, 49, 73
s9mg, 2026-08-21T19:13:08Z, 12413, 1089, 9, 561, 5, 1220, 10, 2608, 21, 6935, 56
suyc, 2026-08-21T19:14:38Z, 1177, 201, 17, 98, 8, 152, 13, 207, 18, 519, 44
jzby, 2026-08-01T19:33:26Z, 1, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0
qpt6, 2026-08-01T19:58:12Z, 243, 40, 16, 15, 6, 22, 9, 42, 17, 124, 51
an57, 2026-08-01T19:02:32Z, 107, 12, 11, 6, 6, 15, 14, 14, 13, 60, 56
s2nb, 2026-08-21T19:11:58Z, 1263, 115, 9, 49, 4, 121, 10, 238, 19, 740, 59
qo3m, 2026-08-10T15:32:53Z, 377, 20, 5, 14, 4, 20, 5, 63, 17, 260, 69
suds, 2026-08-01T20:04:28Z, 817, 50, 6, 48, 6, 104, 13, 217, 27, 398, 49
wy5x, 2026-08-01T20:33:28Z, 29, 7, 24, 4, 14, 5, 17, 2, 7, 11, 38
nsan, 2026-08-21T19:09:53Z, 1274, 90, 7, 40, 3, 81, 6, 199, 16, 864, 68
f1w5, 2026-08-01T19:17:48Z, 70, 12, 17, 8, 11, 9, 13, 8, 11, 33, 47
hxzu, 2026-08-21T19:06:34Z, 2063, 116, 6, 81, 4, 155, 8, 299, 14, 1412, 68
r7h7, 2026-08-13T19:12:22Z, 82, 10, 12, 4, 5, 7, 9, 10, 12, 51, 62
s2ll, 2026-08-21T19:13:44Z, 5430, 393, 7, 183, 3, 382, 7, 874, 16, 3598, 66
ilyr, 2026-08-01T19:26:06Z, 61, 14, 23, 4, 7, 4, 7, 12, 20, 27, 44
luzf, 2026-08-01T19:35:00Z, 17, 6, 35, 1, 6, 2, 12, 1, 6, 7, 41
s5bo, 2026-08-21T19:16:39Z, 3173, 189, 6, 92, 3, 184, 6, 528, 17, 2180, 69
u3bd, 2026-08-21T19:16:19Z, 16075, 1515, 9, 628, 4, 1352, 8, 2756, 17, 9824, 61
sqhd, 2026-08-21T19:13:45Z, 1055, 163, 15, 72, 7, 131, 12, 185, 18, 504, 48
pz6t, 2026-08-21T19:13:30Z, 5406, 470, 9, 216, 4, 473, 9, 874, 16, 3373, 62
st1p, 2026-08-10T15:20:58Z, 4038, 663, 16, 278, 7, 511, 13, 737, 18, 1849, 46
ds8t, 2026-08-21T19:02:53Z, 3060, 256, 8, 111, 4, 258, 8, 459, 15, 1976, 65
h2f2, 2026-08-21T19:04:42Z, 1397, 146, 10, 72, 5, 190, 14, 289, 21, 700, 50
u9xd, 2026-08-20T19:18:42Z, 2756, 224, 8, 79, 3, 241, 9, 422, 15, 1790, 65
otkz, 2026-08-21T19:09:56Z, 2665, 180, 7, 93, 3, 244, 9, 502, 19, 1646, 62
wols, 2026-08-01T20:28:29Z, 500, 20, 4, 16, 3, 42, 8, 64, 13, 358, 72
t547, 2026-08-16T19:16:54Z, 717, 69, 10, 29, 4, 77, 11, 127, 18, 415, 58
