rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
mj26, 2026-08-01T19:35:41Z, 110, 37, 34, 11, 10, 15, 14, 9, 8, 38, 35
s2om, 2026-08-29T19:28:18Z, 698, 81, 12, 45, 6, 83, 12, 146, 21, 343, 49
p66p, 2026-08-29T19:17:10Z, 9625, 568, 6, 235, 2, 567, 6, 1380, 14, 6875, 71
p3r0, 2026-08-29T19:15:06Z, 823, 71, 9, 29, 4, 64, 8, 130, 16, 529, 64
u2mp, 2026-08-29T19:32:39Z, 2005, 193, 10, 99, 5, 243, 12, 404, 20, 1066, 53
b41r, 2026-08-29T19:01:58Z, 6732, 353, 5, 177, 3, 396, 6, 876, 13, 4930, 73
zwpd, 2026-08-29T19:35:54Z, 1665, 221, 13, 82, 5, 196, 12, 357, 21, 809, 49
u9sa, 2026-08-29T19:23:45Z, 2733, 157, 6, 68, 2, 185, 7, 440, 16, 1883, 69
z30a, 2026-08-10T15:35:41Z, 145, 20, 14, 6, 4, 20, 14, 25, 17, 74, 51
kd7l, 2026-08-29T19:10:51Z, 471, 42, 9, 16, 3, 41, 9, 97, 21, 275, 58
f4hh, 2026-08-29T19:06:28Z, 46, 7, 15, 2, 4, 3, 7, 7, 15, 27, 59
t5h7, 2026-08-10T15:46:37Z, 149, 22, 15, 8, 5, 26, 17, 20, 13, 73, 49
yo5g, 2026-08-29T19:35:20Z, 5156, 307, 6, 145, 3, 371, 7, 946, 18, 3387, 66
aqc5, 2026-08-01T19:02:46Z, 3, 1, 33, 0, 0, 0, 0, 0, 0, 2, 67
oy0s, 2026-08-01T19:47:48Z, 278, 39, 14, 22, 8, 35, 13, 48, 17, 134, 48
wgm6, 2026-08-29T19:35:10Z, 86, 8, 9, 1, 1, 2, 2, 5, 6, 70, 81
c9m0, 2026-08-01T19:06:28Z, 2647, 954, 36, 258, 10, 335, 13, 331, 13, 769, 29
s0pl, 2026-08-01T19:55:51Z, 218, 23, 11, 13, 6, 27, 12, 51, 23, 104, 48
u4nd, 2026-08-01T20:25:52Z, 679, 63, 9, 32, 5, 86, 13, 140, 21, 358, 53
l835, 2026-08-29T19:13:55Z, 799, 49, 6, 26, 3, 63, 8, 116, 15, 545, 68
d9jk, 2026-08-01T19:10:27Z, 35, 6, 17, 3, 9, 7, 20, 6, 17, 13, 37
u0fu, 2026-08-29T19:27:13Z, 1305, 135, 10, 64, 5, 137, 11, 279, 21, 690, 53
t0qo, 2026-08-29T19:24:33Z, 20449, 2365, 12, 1032, 5, 2189, 11, 4136, 20, 10727, 52
n5aj, 2026-08-29T19:13:56Z, 181, 44, 24, 16, 9, 18, 10, 24, 13, 79, 44
hl01, 2026-08-01T19:21:44Z, 45, 5, 11, 8, 18, 9, 20, 8, 18, 15, 33
u6fs, 2026-08-29T19:24:30Z, 848, 82, 10, 26, 3, 66, 8, 134, 16, 540, 64
ar6y, 2026-08-29T19:00:22Z, 516, 52, 10, 28, 5, 56, 11, 90, 17, 290, 56
s3kp, 2026-08-29T19:21:02Z, 7796, 829, 11, 342, 4, 773, 10, 1420, 18, 4432, 57
rbiy, 2026-08-10T15:21:05Z, 6579, 750, 11, 313, 5, 725, 11, 1400, 21, 3391, 52
d3o8, 2026-08-14T19:04:42Z, 478, 155, 32, 52, 11, 47, 10, 69, 14, 155, 32
s2rx, 2026-08-01T20:05:45Z, 3130, 358, 11, 172, 6, 396, 13, 665, 21, 1539, 49
luzf, 2026-08-01T19:35:00Z, 17, 6, 35, 1, 6, 2, 12, 1, 6, 7, 41
h0ow, 2026-08-05T19:06:02Z, 636, 66, 10, 25, 4, 45, 7, 94, 15, 406, 64
haa1, 2026-08-29T19:09:17Z, 587, 54, 9, 19, 3, 66, 11, 129, 22, 319, 54
ph2k, 2026-08-01T19:49:08Z, 281, 57, 20, 29, 10, 47, 17, 43, 15, 105, 37
v83g, 2026-08-29T19:35:06Z, 212, 20, 9, 7, 3, 10, 5, 34, 16, 141, 67
dws9, 2026-08-01T19:15:09Z, 74, 8, 11, 3, 4, 5, 7, 17, 23, 41, 55
u2ft, 2026-08-29T19:27:13Z, 498, 63, 13, 22, 4, 55, 11, 92, 18, 266, 53
l8ae, 2026-08-01T19:33:15Z, 11, 4, 36, 2, 18, 0, 0, 2, 18, 3, 27
s9sd, 2026-08-01T20:02:25Z, 2006, 99, 5, 75, 4, 157, 8, 451, 22, 1224, 61
ho0l, 2026-08-29T19:09:12Z, 204, 14, 7, 9, 4, 16, 8, 40, 20, 125, 61
n2qc, 2026-08-29T19:14:07Z, 1726, 193, 11, 79, 5, 158, 9, 285, 17, 1011, 59
t8dz, 2026-08-29T19:20:34Z, 1878, 219, 12, 85, 5, 181, 10, 410, 22, 983, 52
pojr, 2026-08-29T19:15:31Z, 4218, 335, 8, 178, 4, 405, 10, 884, 21, 2416, 57
irmi, 2026-08-01T19:26:18Z, 63, 3, 5, 4, 6, 9, 14, 6, 10, 41, 65
cqe6, 2026-08-01T19:09:19Z, 502, 157, 31, 58, 12, 49, 10, 41, 8, 197, 39
rfjk, 2026-08-29T19:19:29Z, 359, 39, 11, 23, 6, 30, 8, 67, 19, 200, 56
k0pm, 2026-08-11T19:07:36Z, 510, 153, 30, 40, 8, 53, 10, 66, 13, 198, 39
x6wl, 2026-08-29T19:33:13Z, 1104, 276, 25, 110, 10, 170, 15, 171, 15, 377, 34
hpso, 2026-08-29T19:08:34Z, 2367, 328, 14, 128, 5, 253, 11, 338, 14, 1320, 56
