rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
k0pm, 2025-01-01T19:20:54Z, 444, 132, 30, 37, 8, 45, 10, 59, 13, 171, 39
qpt6, 2025-01-07T19:08:02Z, 183, 32, 17, 13, 7, 19, 10, 35, 19, 84, 46
s7hw, 2025-01-07T19:16:24Z, 3340, 212, 6, 117, 4, 297, 9, 710, 21, 2004, 60
w1v1, 2025-01-07T19:24:00Z, 257, 15, 6, 3, 1, 17, 7, 30, 12, 192, 75
kdop, 2025-01-07T19:05:09Z, 938, 96, 10, 53, 6, 84, 9, 172, 18, 533, 57
s2om, 2025-01-07T19:13:31Z, 573, 62, 11, 38, 7, 65, 11, 126, 22, 282, 49
kwzq, 2025-01-02T19:05:55Z, 460, 47, 10, 28, 6, 72, 16, 68, 15, 245, 53
nsan, 2025-01-05T19:09:26Z, 1081, 79, 7, 32, 3, 73, 7, 176, 16, 721, 67
u0mi, 2025-01-07T19:16:14Z, 833, 70, 8, 34, 4, 62, 7, 120, 14, 547, 66
s3qa, 2025-01-07T19:13:40Z, 6123, 441, 7, 211, 3, 528, 9, 1070, 17, 3873, 63
s3xz, 2025-01-07T19:13:43Z, 13350, 2368, 18, 883, 7, 1734, 13, 2455, 18, 5910, 44
u9uk, 2025-01-07T19:22:37Z, 1871, 170, 9, 75, 4, 213, 11, 442, 24, 971, 52
x3ui, 2025-01-07T19:19:58Z, 230, 55, 24, 16, 7, 22, 10, 28, 12, 109, 47
t5dw, 2025-01-07T19:20:43Z, 3812, 486, 13, 212, 6, 469, 12, 777, 20, 1868, 49
s2dj, 2025-01-07T19:15:03Z, 3930, 330, 8, 174, 4, 397, 10, 757, 19, 2272, 58
pgpv, 2025-01-06T19:10:41Z, 71, 12, 17, 7, 10, 9, 13, 11, 15, 32, 45
evp2, 2025-01-07T19:01:37Z, 1141, 115, 10, 61, 5, 118, 10, 229, 20, 618, 54
eph0, 2025-01-01T19:08:03Z, 148, 9, 6, 10, 7, 22, 15, 23, 16, 84, 57
s7zi, 2025-01-07T19:17:43Z, 2253, 291, 13, 94, 4, 214, 10, 470, 21, 1184, 53
s4ki, 2025-01-07T19:16:38Z, 16205, 1151, 7, 699, 4, 1595, 10, 3293, 20, 9467, 58
fvjp, 2025-01-01T19:11:14Z, 107, 19, 18, 11, 10, 16, 15, 25, 23, 36, 34
pw9e, 2025-01-07T19:06:06Z, 420, 31, 7, 7, 2, 35, 8, 71, 17, 276, 66
bvf1, 2025-01-01T19:04:28Z, 7, 1, 14, 0, 0, 1, 14, 0, 0, 5, 71
s3se, 2025-01-07T19:08:42Z, 2516, 251, 10, 130, 5, 264, 10, 508, 20, 1363, 54
p8xn, 2025-01-07T19:05:30Z, 569, 86, 15, 36, 6, 58, 10, 132, 23, 257, 45
th8d, 2025-01-01T19:44:39Z, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100
u2ky, 2025-01-07T19:20:51Z, 5969, 275, 5, 100, 2, 272, 5, 790, 13, 4532, 76
iyuu, 2025-01-01T19:16:15Z, 32, 2, 6, 3, 9, 3, 9, 6, 19, 18, 56
a2y0, None, 0, TypeError('cannot unpack non-iterable NoneType object')
f7ht, 2025-01-07T19:04:07Z, 4443, 637, 14, 255, 6, 574, 13, 959, 22, 2018, 45
zy4g, 2025-01-07T19:25:04Z, 61, 5, 8, 2, 3, 6, 10, 12, 20, 36, 59
s2xc, 2025-01-07T19:15:02Z, 2261, 156, 7, 73, 3, 203, 9, 438, 19, 1391, 62
s4ip, 2025-01-07T19:06:52Z, 639, 23, 4, 28, 4, 53, 8, 123, 19, 412, 64
cpbk, 2025-01-03T19:01:15Z, 490, 201, 41, 42, 9, 56, 11, 58, 12, 133, 27
tx5y, 2025-01-01T19:45:54Z, 333, 30, 9, 17, 5, 37, 11, 72, 22, 177, 53
s5gh, 2025-01-07T19:16:21Z, 2850, 570, 20, 195, 7, 443, 16, 575, 20, 1067, 37
w8cg, 2025-01-07T19:19:44Z, 986, 295, 30, 100, 10, 126, 13, 145, 15, 320, 32
s8ev, 2025-01-07T19:09:28Z, 2969, 210, 7, 90, 3, 236, 8, 539, 18, 1894, 64
kfni, 2025-01-05T19:05:39Z, 145, 15, 10, 9, 6, 13, 9, 27, 19, 81, 56
s3qh, 2025-01-01T19:41:56Z, 1729, 134, 8, 76, 4, 172, 10, 351, 20, 996, 58
oksi, 2025-01-07T19:08:39Z, 1205, 171, 14, 79, 7, 104, 9, 233, 19, 618, 51
v7iw, 2025-01-06T19:25:06Z, 95, 8, 8, 7, 7, 3, 3, 18, 19, 59, 62
d6k0, 2025-01-06T19:02:11Z, 274, 35, 13, 15, 5, 29, 11, 44, 16, 151, 55
iyrm, 2025-01-01T19:17:35Z, 203, 57, 28, 15, 7, 26, 13, 30, 15, 75, 37
xw7b, 2025-01-01T20:15:04Z, 7, 0, 0, 0, 0, 1, 14, 1, 14, 5, 71
eo3p, 2025-01-05T19:03:41Z, 514, 141, 27, 47, 9, 58, 11, 78, 15, 190, 37
lyun, 2025-01-05T19:06:22Z, 52, 16, 31, 4, 8, 3, 6, 12, 23, 17, 33
s2an, 2025-01-07T19:10:41Z, 689, 59, 9, 25, 4, 63, 9, 121, 18, 421, 61
t0bz, 2025-01-01T19:44:50Z, 240, 23, 10, 19, 8, 26, 11, 36, 15, 136, 57
t5h7, 2025-01-07T19:12:26Z, 45, 2, 4, 2, 4, 17, 38, 10, 22, 14, 31
