rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
p66p, 2025-12-20T19:08:14Z, 8124, 497, 6, 210, 3, 505, 6, 1160, 14, 5752, 71
ejzc, 2025-12-01T19:13:13Z, 411, 56, 14, 18, 4, 57, 14, 86, 21, 194, 47
s5fk, 2025-12-12T19:15:07Z, 172, 23, 13, 13, 8, 25, 15, 23, 13, 88, 51
a2ni, 2025-12-20T19:00:08Z, 360, 66, 18, 15, 4, 24, 7, 45, 13, 210, 58
haa1, 2025-12-20T19:04:43Z, 405, 39, 10, 13, 3, 51, 13, 80, 20, 222, 55
s6ua, 2025-12-20T19:12:29Z, 7083, 546, 8, 240, 3, 579, 8, 1251, 18, 4467, 63
u5sa, 2025-12-20T19:16:10Z, 4008, 890, 22, 300, 7, 504, 13, 697, 17, 1617, 40
lh6q, 2025-12-19T19:05:22Z, 637, 44, 7, 24, 4, 57, 9, 91, 14, 421, 66
h0ow, 2025-12-10T19:04:21Z, 635, 66, 10, 25, 4, 45, 7, 94, 15, 405, 64
e2vv, 2025-12-11T19:02:50Z, 357, 15, 4, 2, 1, 10, 3, 25, 7, 305, 85
s4nw, 2025-12-19T19:09:28Z, 2577, 170, 7, 84, 3, 189, 7, 405, 16, 1729, 67
s6nc, 2025-12-19T19:10:00Z, 1187, 180, 15, 30, 3, 85, 7, 224, 19, 668, 56
lf2o, 2025-12-01T19:31:19Z, 196, 42, 21, 14, 7, 23, 12, 42, 21, 75, 38
t5dw, 2025-12-20T19:16:33Z, 4574, 590, 13, 253, 6, 542, 12, 925, 20, 2264, 50
hbgy, 2025-12-01T19:15:19Z, 54, 21, 39, 4, 7, 5, 9, 5, 9, 19, 35
s6ea, 2025-12-20T19:10:21Z, 4580, 843, 18, 303, 7, 603, 13, 883, 19, 1948, 43
f80g, 2025-12-01T19:15:08Z, 124, 11, 9, 8, 6, 11, 9, 17, 14, 77, 62
t2ul, 2025-12-01T19:51:49Z, 5403, 875, 16, 379, 7, 795, 15, 1102, 20, 2252, 42
s0wl, 2025-12-20T19:11:22Z, 13409, 1122, 8, 450, 3, 1069, 8, 2256, 17, 8512, 63
rjbp, 2025-12-01T19:42:48Z, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
s0wa, 2025-12-20T19:09:56Z, 1488, 76, 5, 25, 2, 77, 5, 188, 13, 1122, 75
oy5p, 2025-12-20T19:06:56Z, 985, 109, 11, 44, 4, 105, 11, 183, 19, 544, 55
xw7b, 2025-12-07T19:13:54Z, 28, 3, 11, 0, 0, 3, 11, 6, 21, 16, 57
q0ji, 2025-12-20T19:09:08Z, 760, 74, 10, 32, 4, 82, 11, 146, 19, 426, 56
styd, 2025-12-20T19:11:11Z, 762, 274, 36, 45, 6, 92, 12, 85, 11, 266, 35
jc93, 2025-12-01T19:24:59Z, 56, 3, 5, 6, 11, 9, 16, 5, 9, 33, 59
sqhd, 2025-12-20T19:13:43Z, 835, 132, 16, 53, 6, 106, 13, 153, 18, 391, 47
e2fm, 2025-12-01T19:11:21Z, 322, 25, 8, 19, 6, 27, 8, 61, 19, 190, 59
hdr3, 2025-12-01T19:19:01Z, 39, 9, 23, 3, 8, 6, 15, 3, 8, 18, 46
skhi, 2025-12-17T19:16:17Z, 305, 54, 18, 28, 9, 44, 14, 42, 14, 137, 45
s5vb, 2025-12-20T19:12:29Z, 6298, 486, 8, 280, 4, 708, 11, 1283, 20, 3541, 56
cqb1, 2025-12-01T19:08:08Z, 43, 10, 23, 6, 14, 4, 9, 4, 9, 19, 44
iyrm, 2025-12-13T19:02:39Z, 284, 69, 24, 17, 6, 35, 12, 40, 14, 123, 43
uj76, 2025-12-20T19:16:59Z, 650, 72, 11, 33, 5, 99, 15, 128, 20, 318, 49
oksi, 2025-12-20T19:07:31Z, 3420, 472, 14, 180, 5, 326, 10, 559, 16, 1883, 55
gldd, 2025-12-20T19:03:58Z, 505, 79, 16, 32, 6, 62, 12, 123, 24, 209, 41
s8dn, 2025-12-20T19:12:36Z, 2125, 383, 18, 169, 8, 252, 12, 408, 19, 913, 43
suds, 2025-12-01T19:57:32Z, 817, 50, 6, 48, 6, 104, 13, 217, 27, 398, 49
s2dj, 2025-12-20T19:10:24Z, 4517, 371, 8, 206, 5, 447, 10, 849, 19, 2644, 59
u4zo, 2025-12-14T19:14:53Z, 1588, 130, 8, 54, 3, 140, 9, 278, 18, 986, 62
qjga, 2025-12-20T19:09:02Z, 1388, 93, 7, 36, 3, 134, 10, 274, 20, 851, 61
ljzb, 2025-12-01T19:28:30Z, 483, 82, 17, 23, 5, 38, 8, 86, 18, 254, 53
ra54, 2025-12-20T19:10:10Z, 2352, 140, 6, 85, 4, 195, 8, 415, 18, 1517, 65
lb5h, 2025-12-20T19:04:09Z, 4705, 781, 17, 286, 6, 503, 11, 674, 14, 2461, 52
ndec, 2025-12-16T19:06:52Z, 1268, 172, 14, 62, 5, 157, 12, 226, 18, 651, 51
s4ve, 2025-12-20T19:15:27Z, 7945, 1273, 16, 505, 6, 1032, 13, 1636, 21, 3499, 44
lmzn, 2025-12-19T19:06:05Z, 39, 1, 3, 1, 3, 4, 10, 5, 13, 28, 72
u6fs, 2025-12-15T19:14:04Z, 795, 78, 10, 23, 3, 61, 8, 122, 15, 511, 64
cqe6, 2025-12-01T19:08:17Z, 507, 162, 32, 58, 11, 49, 10, 41, 8, 197, 39
d6kv, 2025-12-20T19:02:28Z, 1872, 147, 8, 77, 4, 217, 12, 390, 21, 1041, 56
