rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
t0bz, 2026-01-01T19:57:57Z, 250, 24, 10, 19, 8, 29, 12, 36, 14, 142, 57
h5lo, 2026-01-01T19:18:51Z, 6, 0, 0, 3, 50, 1, 17, 1, 17, 1, 17
k8nj, 2026-01-23T19:05:52Z, 99, 28, 28, 9, 9, 6, 6, 10, 10, 46, 46
h2f2, 2026-01-24T19:04:06Z, 1262, 137, 11, 69, 5, 173, 14, 260, 21, 623, 49
gune, 2026-01-24T19:03:19Z, 1329, 190, 14, 79, 6, 153, 12, 220, 17, 687, 52
y16s, 2026-01-24T19:17:35Z, 1099, 69, 6, 35, 3, 70, 6, 157, 14, 768, 70
hxzu, 2026-01-24T19:04:12Z, 1661, 95, 6, 70, 4, 123, 7, 240, 14, 1133, 68
s4lt, 2026-01-24T19:13:28Z, 5154, 418, 8, 247, 5, 539, 10, 1033, 20, 2917, 57
f4hh, 2026-01-02T19:03:44Z, 38, 6, 16, 2, 5, 3, 8, 5, 13, 22, 58
atyu, 2026-01-24T19:00:41Z, 875, 138, 16, 39, 4, 92, 11, 164, 19, 442, 51
fzqa, 2026-01-01T19:13:47Z, 104, 16, 15, 2, 2, 14, 13, 18, 17, 54, 52
p0pg, 2026-01-14T19:07:17Z, 175, 19, 11, 12, 7, 13, 7, 33, 19, 98, 56
s2ll, 2026-01-24T19:12:05Z, 4974, 364, 7, 162, 3, 349, 7, 797, 16, 3302, 66
mj26, 2026-01-01T19:31:15Z, 113, 39, 35, 12, 11, 15, 13, 9, 8, 38, 34
p186, 2026-01-24T19:08:36Z, 647, 61, 9, 18, 3, 48, 7, 90, 14, 430, 66
ra54, 2026-01-23T19:08:54Z, 2372, 141, 6, 86, 4, 196, 8, 415, 18, 1534, 65
nsan, 2026-01-17T19:06:10Z, 1196, 87, 7, 39, 3, 77, 6, 191, 16, 802, 67
t8dz, 2026-01-24T19:15:52Z, 1602, 198, 12, 76, 5, 162, 10, 327, 20, 839, 52
haa1, 2026-01-24T19:03:30Z, 429, 40, 9, 15, 4, 55, 13, 89, 21, 230, 54
s9it, 2026-01-24T19:11:12Z, 8455, 1170, 14, 457, 5, 975, 12, 1635, 19, 4218, 50
s7jm, 2026-01-15T19:09:21Z, 853, 162, 19, 58, 7, 122, 14, 157, 18, 354, 42
wgm6, 2026-01-01T20:16:09Z, 48, 3, 6, 1, 2, 2, 4, 2, 4, 40, 83
t1bc, 2026-01-24T19:15:41Z, 9341, 830, 9, 328, 4, 728, 8, 1603, 17, 5852, 63
ptbp, 2026-01-24T19:11:00Z, 456, 47, 10, 16, 4, 29, 6, 83, 18, 281, 62
l8ae, 2026-01-01T19:29:51Z, 11, 4, 36, 2, 18, 0, 0, 2, 18, 3, 27
psty, 2026-01-24T19:08:34Z, 1336, 73, 5, 50, 4, 117, 9, 225, 17, 871, 65
bwtk, 2026-01-24T19:01:56Z, 1915, 169, 9, 94, 5, 181, 9, 334, 17, 1137, 59
v83g, 2026-01-08T19:15:44Z, 188, 19, 10, 6, 3, 9, 5, 32, 17, 122, 65
filb, 2026-01-01T19:14:41Z, 163, 9, 6, 4, 2, 17, 10, 33, 20, 100, 61
n2qc, 2026-01-23T19:09:50Z, 1451, 155, 11, 68, 5, 132, 9, 260, 18, 836, 58
k9of, 2026-01-23T19:09:41Z, 2450, 564, 23, 178, 7, 300, 12, 365, 15, 1043, 43
q0ji, 2026-01-24T19:09:31Z, 785, 77, 10, 35, 4, 86, 11, 149, 19, 438, 56
a2ni, 2026-01-16T19:00:08Z, 371, 70, 19, 15, 4, 25, 7, 48, 13, 213, 57
u2rc, 2026-01-03T19:11:48Z, 1003, 122, 12, 55, 5, 100, 10, 162, 16, 564, 56
yo5g, 2026-01-24T19:18:07Z, 4753, 284, 6, 140, 3, 344, 7, 857, 18, 3128, 66
u3bd, 2026-01-24T19:16:23Z, 15289, 1458, 10, 602, 4, 1296, 8, 2633, 17, 9300, 61
s2nl, 2026-01-23T19:14:21Z, 1925, 119, 6, 75, 4, 165, 9, 374, 19, 1192, 62
wuxi, 2026-01-24T19:17:06Z, 47, 6, 13, 2, 4, 6, 13, 7, 15, 26, 55
xx0k, 2026-01-24T19:17:55Z, 478, 103, 22, 49, 10, 48, 10, 48, 10, 230, 48
s9ed, 2026-01-24T19:11:46Z, 26644, 3078, 12, 1238, 5, 2642, 10, 4899, 18, 14787, 56
s00k, 2026-01-19T19:08:33Z, 315, 19, 6, 10, 3, 20, 6, 48, 15, 218, 69
n7us, 2026-01-23T19:06:50Z, 741, 63, 9, 29, 4, 87, 12, 143, 19, 419, 57
e5sg, 2026-01-24T19:02:27Z, 3398, 395, 12, 173, 5, 306, 9, 685, 20, 1839, 54
rfjk, 2026-01-24T19:07:05Z, 252, 30, 12, 17, 7, 21, 8, 46, 18, 138, 55
lf2o, 2026-01-01T19:25:00Z, 196, 42, 21, 14, 7, 23, 12, 42, 21, 75, 38
u2qd, 2026-01-24T19:13:33Z, 4741, 372, 8, 182, 4, 335, 7, 844, 18, 3008, 63
t6zm, 2026-01-24T19:12:25Z, 1283, 87, 7, 50, 4, 95, 7, 196, 15, 855, 67
t5dw, 2026-01-24T19:13:01Z, 4624, 593, 13, 253, 5, 547, 12, 936, 20, 2295, 50
pgpv, 2026-01-01T19:43:00Z, 112, 22, 20, 8, 7, 14, 13, 12, 11, 56, 50
kd7l, 2026-01-15T19:05:57Z, 410, 36, 9, 13, 3, 35, 9, 87, 21, 239, 58
