rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
s5gh, 2025-12-01T19:51:15Z, 3322, 733, 22, 251, 8, 488, 15, 621, 19, 1229, 37
n7us, 2025-12-01T19:31:47Z, 738, 63, 9, 29, 4, 87, 12, 143, 19, 416, 56
xx0k, 2025-12-13T19:17:14Z, 431, 94, 22, 47, 11, 47, 11, 44, 10, 199, 46
sqak, 2025-12-13T19:14:48Z, 1310, 455, 35, 132, 10, 183, 14, 177, 14, 363, 28
fzqa, 2025-12-01T19:15:12Z, 104, 16, 15, 2, 2, 14, 13, 18, 17, 54, 52
kwzq, 2025-12-07T19:05:32Z, 539, 54, 10, 33, 6, 74, 14, 88, 16, 290, 54
yufs, 2025-12-10T19:19:14Z, 1823, 135, 7, 58, 3, 164, 9, 277, 15, 1189, 65
m8yt, 2025-12-01T19:34:01Z, 482, 81, 17, 39, 8, 65, 13, 85, 18, 212, 44
w632, 2025-12-13T19:17:27Z, 880, 78, 9, 51, 6, 85, 10, 170, 19, 496, 56
izvp, 2025-12-01T19:23:44Z, 159, 62, 39, 11, 7, 18, 11, 14, 9, 54, 34
rzst, 2025-12-13T19:08:21Z, 100, 10, 10, 4, 4, 7, 7, 11, 11, 68, 68
m371, 2025-12-13T19:09:44Z, 299, 91, 30, 23, 8, 32, 11, 30, 10, 123, 41
t5h7, 2025-12-02T19:14:04Z, 146, 23, 16, 7, 5, 26, 18, 20, 14, 70, 48
zy4g, 2025-12-13T19:18:16Z, 244, 13, 5, 6, 2, 24, 10, 41, 17, 160, 66
mbsh, 2025-12-12T19:04:52Z, 359, 51, 14, 20, 6, 44, 12, 66, 18, 178, 50
w1v1, 2025-12-13T19:17:13Z, 381, 21, 6, 3, 1, 25, 7, 51, 13, 281, 74
lb5h, 2025-12-13T19:04:29Z, 4675, 775, 17, 285, 6, 502, 11, 669, 14, 2444, 52
jhdc, 2025-12-13T19:03:39Z, 856, 73, 9, 28, 3, 81, 9, 115, 13, 559, 65
dbll, 2025-12-13T19:01:59Z, 1159, 116, 10, 62, 5, 110, 9, 260, 22, 611, 53
s8ea, 2025-12-03T19:12:11Z, 1944, 127, 7, 56, 3, 166, 9, 313, 16, 1282, 66
t8dz, 2025-12-13T19:15:47Z, 1537, 190, 12, 76, 5, 156, 10, 307, 20, 808, 53
iyuu, 2025-12-01T19:20:50Z, 74, 8, 11, 4, 5, 8, 11, 14, 19, 40, 54
v0uh, 2025-12-01T20:11:27Z, 521, 128, 25, 31, 6, 71, 14, 73, 14, 218, 42
z1hj, 2025-12-13T19:18:15Z, 1612, 328, 20, 130, 8, 214, 13, 255, 16, 685, 42
dws9, 2025-12-01T19:08:41Z, 74, 8, 11, 3, 4, 5, 7, 17, 23, 41, 55
uf3u, 2025-12-10T19:18:40Z, 1092, 81, 7, 41, 4, 79, 7, 153, 14, 738, 68
t7lv, 2025-12-13T19:15:47Z, 3334, 570, 17, 205, 6, 510, 15, 652, 20, 1397, 42
u0fu, 2025-12-08T19:13:40Z, 1233, 130, 11, 63, 5, 128, 10, 263, 21, 649, 53
t547, 2025-12-01T19:49:17Z, 706, 69, 10, 29, 4, 77, 11, 124, 18, 407, 58
u5sa, 2025-12-13T19:15:44Z, 3997, 884, 22, 299, 7, 504, 13, 696, 17, 1614, 40
s5fk, 2025-12-12T19:15:07Z, 172, 23, 13, 13, 8, 25, 15, 23, 13, 88, 51
wils, 2025-12-12T19:17:57Z, 279, 46, 16, 16, 6, 37, 13, 62, 22, 118, 42
vdrs, 2025-12-01T20:02:59Z, 91, 9, 10, 5, 5, 11, 12, 15, 16, 51, 56
ecdn, 2025-12-01T19:12:06Z, 208, 37, 18, 21, 10, 25, 12, 38, 18, 87, 42
ho0l, 2025-12-11T19:03:36Z, 158, 11, 7, 9, 6, 14, 9, 32, 20, 92, 58
u6jz, 2025-12-13T19:14:24Z, 970, 99, 10, 38, 4, 103, 11, 172, 18, 558, 58
eome, 2025-12-13T19:02:37Z, 288, 21, 7, 7, 2, 16, 6, 40, 14, 204, 71
s9az, 2025-12-01T19:55:48Z, 292, 35, 12, 17, 6, 26, 9, 50, 17, 164, 56
s8mp, 2025-12-13T19:10:19Z, 3021, 213, 7, 95, 3, 222, 7, 391, 13, 2100, 70
esde, 2025-12-01T19:13:56Z, 12, 1, 8, 0, 0, 0, 0, 4, 33, 7, 58
o3ss, 2025-12-13T19:11:14Z, 694, 58, 8, 26, 4, 47, 7, 96, 14, 467, 67
s3kp, 2025-12-13T19:08:22Z, 7166, 771, 11, 323, 5, 713, 10, 1329, 19, 4030, 56
s9mg, 2025-12-13T19:08:44Z, 11150, 996, 9, 515, 5, 1113, 10, 2367, 21, 6159, 55
i6qb, 2025-12-01T19:21:35Z, 23, 8, 35, 1, 4, 2, 9, 0, 0, 12, 52
cqb1, 2025-12-01T19:08:08Z, 43, 10, 23, 6, 14, 4, 9, 4, 9, 19, 44
u4nd, 2025-12-08T19:14:35Z, 679, 63, 9, 32, 5, 86, 13, 140, 21, 358, 53
xgcz, 2025-12-13T19:17:13Z, 3083, 239, 8, 124, 4, 246, 8, 569, 18, 1905, 62
s4ve, 2025-12-13T19:13:09Z, 7939, 1270, 16, 504, 6, 1032, 13, 1636, 21, 3497, 44
wvzp, 2025-12-13T19:15:07Z, 1611, 76, 5, 32, 2, 109, 7, 187, 12, 1207, 75
u2rc, 2025-12-12T19:09:43Z, 1001, 122, 12, 55, 5, 100, 10, 161, 16, 563, 56
